2019-05-20 19:35:44:161 260 sec: 336 operations; 1.3 current ops/sec; est completion in 21 minutes [READ: Count=13, Max=858623, Min=725504, Avg=774990.77, 90=858111, 99=858623, 99.9=858623, 99.99=858623] 
2019-05-20 19:35:54:160 270 sec: 349 operations; 1.3 current ops/sec; est completion in 21 minutes [READ: Count=13, Max=850431, Min=719872, Avg=778692.92, 90=837119, 99=850431, 99.9=850431, 99.99=850431] 
2019-05-20 19:36:04:160 280 sec: 362 operations; 1.3 current ops/sec; est completion in 21 minutes [READ: Count=13, Max=824319, Min=708096, Avg=765065.85, 90=820735, 99=824319, 99.9=824319, 99.99=824319] 
2019-05-20 19:36:14:160 290 sec: 375 operations; 1.3 current ops/sec; est completion in 20 minutes [READ: Count=13, Max=843263, Min=718336, Avg=772076.31, 90=836607, 99=843263, 99.9=843263, 99.99=843263] 
2019-05-20 19:36:24:160 300 sec: 387 operations; 1.2 current ops/sec; est completion in 20 minutes [READ: Count=12, Max=848895, Min=709120, Avg=772821.33, 90=838143, 99=848895, 99.9=848895, 99.99=848895] 
2019-05-20 19:36:34:160 310 sec: 400 operations; 1.3 current ops/sec; est completion in 20 minutes [READ: Count=13, Max=866303, Min=702464, Avg=774754.46, 90=832511, 99=866303, 99.9=866303, 99.99=866303] 
2019-05-20 19:36:44:161 320 sec: 413 operations; 1.3 current ops/sec; est completion in 20 minutes [READ: Count=13, Max=862207, Min=724992, Avg=774518.15, 90=844287, 99=862207, 99.9=862207, 99.99=862207] 
2019-05-20 19:36:54:160 330 sec: 426 operations; 1.3 current ops/sec; est completion in 20 minutes [READ: Count=13, Max=892415, Min=711680, Avg=772115.69, 90=848895, 99=892415, 99.9=892415, 99.99=892415] 
2019-05-20 19:37:04:161 340 sec: 439 operations; 1.3 current ops/sec; est completion in 20 minutes [READ: Count=13, Max=884223, Min=717312, Avg=777078.15, 90=844287, 99=884223, 99.9=884223, 99.99=884223] 
2019-05-20 19:37:14:160 350 sec: 452 operations; 1.3 current ops/sec; est completion in 19 minutes [READ: Count=13, Max=853503, Min=710144, Avg=777511.38, 90=840703, 99=853503, 99.9=853503, 99.99=853503] 
2019-05-20 19:37:24:160 360 sec: 465 operations; 1.3 current ops/sec; est completion in 19 minutes [READ: Count=13, Max=843775, Min=687104, Avg=768019.69, 90=830975, 99=843775, 99.9=843775, 99.99=843775] 
2019-05-20 19:37:34:160 370 sec: 478 operations; 1.3 current ops/sec; est completion in 19 minutes [READ: Count=13, Max=836095, Min=715264, Avg=758409.85, 90=830463, 99=836095, 99.9=836095, 99.99=836095] 
2019-05-20 19:37:44:161 380 sec: 491 operations; 1.3 current ops/sec; est completion in 19 minutes [READ: Count=13, Max=856063, Min=708096, Avg=767940.92, 90=839167, 99=856063, 99.9=856063, 99.99=856063] 
2019-05-20 19:37:54:161 390 sec: 504 operations; 1.3 current ops/sec; est completion in 19 minutes [READ: Count=13, Max=852991, Min=705536, Avg=779401.85, 90=851967, 99=852991, 99.9=852991, 99.99=852991] 
2019-05-20 19:38:04:161 400 sec: 517 operations; 1.3 current ops/sec; est completion in 19 minutes [READ: Count=13, Max=838143, Min=709120, Avg=767468.31, 90=829951, 99=838143, 99.9=838143, 99.99=838143] 
2019-05-20 19:38:14:160 410 sec: 530 operations; 1.3 current ops/sec; est completion in 18 minutes [READ: Count=13, Max=830975, Min=720384, Avg=768334.77, 90=822271, 99=830975, 99.9=830975, 99.99=830975] 
2019-05-20 19:38:24:160 420 sec: 543 operations; 1.3 current ops/sec; est completion in 18 minutes [READ: Count=13, Max=846847, Min=712192, Avg=772864, 90=831999, 99=846847, 99.9=846847, 99.99=846847] 
2019-05-20 19:38:34:160 430 sec: 556 operations; 1.3 current ops/sec; est completion in 18 minutes [READ: Count=13, Max=847871, Min=714752, Avg=773769.85, 90=833023, 99=847871, 99.9=847871, 99.99=847871] 
2019-05-20 19:38:44:163 440 sec: 569 operations; 1.3 current ops/sec; est completion in 18 minutes [READ: Count=13, Max=858111, Min=709632, Avg=767625.85, 90=844287, 99=858111, 99.9=858111, 99.99=858111] 
2019-05-20 19:38:54:160 450 sec: 582 operations; 1.3 current ops/sec; est completion in 18 minutes [READ: Count=13, Max=858623, Min=724992, Avg=766798.77, 90=832511, 99=858623, 99.9=858623, 99.99=858623] 
2019-05-20 19:39:04:160 460 sec: 595 operations; 1.3 current ops/sec; est completion in 18 minutes [READ: Count=13, Max=849919, Min=717312, Avg=772903.38, 90=819711, 99=849919, 99.9=849919, 99.99=849919] 
2019-05-20 19:39:14:160 470 sec: 608 operations; 1.3 current ops/sec; est completion in 17 minutes [READ: Count=13, Max=842239, Min=705536, Avg=772588.31, 90=837119, 99=842239, 99.9=842239, 99.99=842239] 
2019-05-20 19:39:24:160 480 sec: 621 operations; 1.3 current ops/sec; est completion in 17 minutes [READ: Count=13, Max=851455, Min=714752, Avg=764868.92, 90=813567, 99=851455, 99.9=851455, 99.99=851455] 
2019-05-20 19:39:34:162 490 sec: 634 operations; 1.3 current ops/sec; est completion in 17 minutes [READ: Count=13, Max=834559, Min=701952, Avg=765420.31, 90=827903, 99=834559, 99.9=834559, 99.99=834559] 
2019-05-20 19:39:44:170 500 sec: 647 operations; 1.3 current ops/sec; est completion in 17 minutes [READ: Count=13, Max=848383, Min=724480, Avg=771367.38, 90=847871, 99=848383, 99.9=848383, 99.99=848383] 
2019-05-20 19:39:54:160 510 sec: 660 operations; 1.3 current ops/sec; est completion in 17 minutes [READ: Count=13, Max=889855, Min=724992, Avg=775660.31, 90=837119, 99=889855, 99.9=889855, 99.99=889855] 
2019-05-20 19:40:04:161 520 sec: 673 operations; 1.3 current ops/sec; est completion in 17 minutes [READ: Count=13, Max=869375, Min=708096, Avg=760379.08, 90=826879, 99=869375, 99.9=869375, 99.99=869375] 
2019-05-20 19:40:14:160 530 sec: 686 operations; 1.3 current ops/sec; est completion in 16 minutes [READ: Count=13, Max=844799, Min=707584, Avg=764002.46, 90=829439, 99=844799, 99.9=844799, 99.99=844799] 
2019-05-20 19:40:24:160 540 sec: 699 operations; 1.3 current ops/sec; est completion in 16 minutes [READ: Count=13, Max=847871, Min=714240, Avg=756204.31, 90=815103, 99=847871, 99.9=847871, 99.99=847871] 
2019-05-20 19:40:34:160 550 sec: 712 operations; 1.3 current ops/sec; est completion in 16 minutes [READ: Count=13, Max=870399, Min=726528, Avg=791611.08, 90=860671, 99=870399, 99.9=870399, 99.99=870399] 
2019-05-20 19:40:44:159 560 sec: 725 operations; 1.3 current ops/sec; est completion in 16 minutes [READ: Count=13, Max=821759, Min=726528, Avg=772903.38, 90=808959, 99=821759, 99.9=821759, 99.99=821759] 
2019-05-20 19:40:54:160 570 sec: 738 operations; 1.3 current ops/sec; est completion in 16 minutes [READ: Count=13, Max=846847, Min=714752, Avg=763136, 90=840703, 99=846847, 99.9=846847, 99.99=846847] 
2019-05-20 19:41:04:160 580 sec: 751 operations; 1.3 current ops/sec; est completion in 16 minutes [READ: Count=13, Max=857087, Min=714752, Avg=771288.62, 90=847871, 99=857087, 99.9=857087, 99.99=857087] 
2019-05-20 19:41:14:160 590 sec: 764 operations; 1.3 current ops/sec; est completion in 15 minutes [READ: Count=13, Max=861695, Min=723456, Avg=779244.31, 90=837119, 99=861695, 99.9=861695, 99.99=861695] 
2019-05-20 19:41:24:160 600 sec: 777 operations; 1.3 current ops/sec; est completion in 15 minutes [READ: Count=13, Max=864767, Min=729600, Avg=772903.38, 90=835071, 99=864767, 99.9=864767, 99.99=864767] 
2019-05-20 19:41:34:159 610 sec: 790 operations; 1.3 current ops/sec; est completion in 15 minutes [READ: Count=13, Max=807423, Min=721920, Avg=761442.46, 90=806911, 99=807423, 99.9=807423, 99.99=807423] 
