2019-05-20 15:28:43:903 260 sec: 336 operations; 1.3 current ops/sec; est completion in 8 minutes [READ: Count=13, Max=862719, Min=717312, Avg=778180.92, 90=844287, 99=862719, 99.9=862719, 99.99=862719] 
2019-05-20 15:28:53:904 270 sec: 349 operations; 1.3 current ops/sec; est completion in 8 minutes [READ: Count=13, Max=853503, Min=717824, Avg=772273.23, 90=851455, 99=853503, 99.9=853503, 99.99=853503] 
2019-05-20 15:29:03:904 280 sec: 362 operations; 1.3 current ops/sec; est completion in 8 minutes [READ: Count=13, Max=860159, Min=706560, Avg=773691.08, 90=832511, 99=860159, 99.9=860159, 99.99=860159] 
2019-05-20 15:29:13:904 290 sec: 375 operations; 1.3 current ops/sec; est completion in 8 minutes [READ: Count=13, Max=855551, Min=706048, Avg=771170.46, 90=827903, 99=855551, 99.9=855551, 99.99=855551] 
2019-05-20 15:29:23:904 300 sec: 388 operations; 1.3 current ops/sec; est completion in 7 minutes [READ: Count=13, Max=828415, Min=713216, Avg=765420.31, 90=826879, 99=828415, 99.9=828415, 99.99=828415] 
2019-05-20 15:29:33:904 310 sec: 401 operations; 1.3 current ops/sec; est completion in 7 minutes [READ: Count=13, Max=955391, Min=729600, Avg=779598.77, 90=836607, 99=955391, 99.9=955391, 99.99=955391] 
2019-05-20 15:29:43:904 320 sec: 414 operations; 1.3 current ops/sec; est completion in 7 minutes [READ: Count=13, Max=838143, Min=717824, Avg=765380.92, 90=835583, 99=838143, 99.9=838143, 99.99=838143] 
2019-05-20 15:29:53:904 330 sec: 427 operations; 1.3 current ops/sec; est completion in 7 minutes [READ: Count=13, Max=837631, Min=719360, Avg=766680.62, 90=822783, 99=837631, 99.9=837631, 99.99=837631] 
2019-05-20 15:30:03:904 340 sec: 440 operations; 1.3 current ops/sec; est completion in 7 minutes [READ: Count=13, Max=839167, Min=708096, Avg=763490.46, 90=816639, 99=839167, 99.9=839167, 99.99=839167] 
2019-05-20 15:30:13:904 350 sec: 453 operations; 1.3 current ops/sec; est completion in 7 minutes [READ: Count=13, Max=821247, Min=717312, Avg=755889.23, 90=815103, 99=821247, 99.9=821247, 99.99=821247] 
