2019-05-16 21:22:27:485 260 sec: 331 operations; 1.2 current ops/sec; est completion in 8 minutes [READ: Count=12, Max=870911, Min=731136, Avg=786090.67, 90=846847, 99=870911, 99.9=870911, 99.99=870911] 
2019-05-16 21:22:37:484 270 sec: 344 operations; 1.3 current ops/sec; est completion in 8 minutes [READ: Count=13, Max=895487, Min=700928, Avg=788696.62, 90=867839, 99=895487, 99.9=895487, 99.99=895487] 
2019-05-16 21:22:47:484 280 sec: 357 operations; 1.3 current ops/sec; est completion in 8 minutes [READ: Count=13, Max=842751, Min=650240, Avg=764514.46, 90=823295, 99=842751, 99.9=842751, 99.99=842751] 
2019-05-16 21:22:57:484 290 sec: 370 operations; 1.3 current ops/sec; est completion in 8 minutes [READ: Count=13, Max=888831, Min=686592, Avg=780544, 90=861183, 99=888831, 99.9=888831, 99.99=888831] 
2019-05-16 21:23:07:484 300 sec: 383 operations; 1.3 current ops/sec; est completion in 8 minutes [READ: Count=13, Max=920575, Min=670720, Avg=773060.92, 90=846847, 99=920575, 99.9=920575, 99.99=920575] 
2019-05-16 21:23:17:484 310 sec: 396 operations; 1.3 current ops/sec; est completion in 7 minutes [READ: Count=13, Max=920063, Min=746496, Avg=803584, 90=873471, 99=920063, 99.9=920063, 99.99=920063] 
2019-05-16 21:23:27:484 320 sec: 408 operations; 1.2 current ops/sec; est completion in 7 minutes [READ: Count=12, Max=868863, Min=671232, Avg=780288, 90=843775, 99=868863, 99.9=868863, 99.99=868863] 
2019-05-16 21:23:37:484 330 sec: 421 operations; 1.3 current ops/sec; est completion in 7 minutes [READ: Count=13, Max=893951, Min=702464, Avg=784324.92, 90=862719, 99=893951, 99.9=893951, 99.99=893951] 
2019-05-16 21:23:47:485 340 sec: 434 operations; 1.3 current ops/sec; est completion in 7 minutes [READ: Count=13, Max=898047, Min=736256, Avg=788932.92, 90=862207, 99=898047, 99.9=898047, 99.99=898047] 
2019-05-16 21:23:57:484 350 sec: 447 operations; 1.3 current ops/sec; est completion in 7 minutes [READ: Count=13, Max=869375, Min=693760, Avg=781961.85, 90=866303, 99=869375, 99.9=869375, 99.99=869375] 
2019-05-16 21:24:07:488 360 sec: 459 operations; 1.2 current ops/sec; est completion in 7 minutes [READ: Count=12, Max=902655, Min=664064, Avg=786645.33, 90=902143, 99=902655, 99.9=902655, 99.99=902655] 
2019-05-16 21:24:17:485 370 sec: 472 operations; 1.3 current ops/sec; est completion in 6 minutes [READ: Count=13, Max=870911, Min=702976, Avg=794446.77, 90=867839, 99=870911, 99.9=870911, 99.99=870911] 
2019-05-16 21:24:27:484 380 sec: 485 operations; 1.3 current ops/sec; est completion in 6 minutes [READ: Count=13, Max=868863, Min=734208, Avg=786766.77, 90=867839, 99=868863, 99.9=868863, 99.99=868863] 
2019-05-16 21:24:37:484 390 sec: 497 operations; 1.2 current ops/sec; est completion in 6 minutes [READ: Count=12, Max=887295, Min=667648, Avg=776661.33, 90=872447, 99=887295, 99.9=887295, 99.99=887295] 
2019-05-16 21:24:47:486 400 sec: 510 operations; 1.3 current ops/sec; est completion in 6 minutes [READ: Count=13, Max=926719, Min=718336, Avg=792044.31, 90=877055, 99=926719, 99.9=926719, 99.99=926719] 
2019-05-16 21:24:57:484 410 sec: 523 operations; 1.3 current ops/sec; est completion in 6 minutes [READ: Count=13, Max=881151, Min=710656, Avg=787160.62, 90=849919, 99=881151, 99.9=881151, 99.99=881151] 
2019-05-16 21:25:07:484 420 sec: 535 operations; 1.2 current ops/sec; est completion in 6 minutes [READ: Count=12, Max=890367, Min=694272, Avg=784512, 90=881663, 99=890367, 99.9=890367, 99.99=890367] 
2019-05-16 21:25:17:485 430 sec: 548 operations; 1.3 current ops/sec; est completion in 5 minutes [READ: Count=13, Max=910847, Min=685056, Avg=782237.54, 90=852479, 99=910847, 99.9=910847, 99.99=910847] 
2019-05-16 21:25:27:485 440 sec: 561 operations; 1.3 current ops/sec; est completion in 5 minutes [READ: Count=13, Max=879103, Min=665088, Avg=774242.46, 90=864255, 99=879103, 99.9=879103, 99.99=879103] 
2019-05-16 21:25:37:484 450 sec: 574 operations; 1.3 current ops/sec; est completion in 5 minutes [READ: Count=13, Max=857087, Min=712704, Avg=791768.62, 90=845823, 99=857087, 99.9=857087, 99.99=857087] 
2019-05-16 21:25:47:484 460 sec: 587 operations; 1.3 current ops/sec; est completion in 5 minutes [READ: Count=13, Max=892415, Min=639488, Avg=772273.23, 90=867839, 99=892415, 99.9=892415, 99.99=892415] 
2019-05-16 21:25:57:485 470 sec: 600 operations; 1.3 current ops/sec; est completion in 5 minutes [READ: Count=13, Max=858111, Min=719872, Avg=779204.92, 90=851967, 99=858111, 99.9=858111, 99.99=858111] 
2019-05-16 21:26:07:484 480 sec: 612 operations; 1.2 current ops/sec; est completion in 5 minutes [READ: Count=12, Max=905727, Min=708608, Avg=776533.33, 90=841215, 99=905727, 99.9=905727, 99.99=905727] 
2019-05-16 21:26:17:484 490 sec: 625 operations; 1.3 current ops/sec; est completion in 4 minutes [READ: Count=13, Max=886783, Min=623616, Avg=773179.08, 90=844799, 99=886783, 99.9=886783, 99.99=886783] 
2019-05-16 21:26:27:485 500 sec: 638 operations; 1.3 current ops/sec; est completion in 4 minutes [READ: Count=13, Max=899071, Min=684032, Avg=778692.92, 90=839679, 99=899071, 99.9=899071, 99.99=899071] 
2019-05-16 21:26:37:485 510 sec: 651 operations; 1.3 current ops/sec; est completion in 4 minutes [READ: Count=13, Max=877055, Min=701952, Avg=777038.77, 90=871423, 99=877055, 99.9=877055, 99.99=877055] 
2019-05-16 21:26:47:484 520 sec: 664 operations; 1.3 current ops/sec; est completion in 4 minutes [READ: Count=13, Max=896511, Min=726016, Avg=793737.85, 90=878591, 99=896511, 99.9=896511, 99.99=896511] 
2019-05-16 21:26:57:484 530 sec: 676 operations; 1.2 current ops/sec; est completion in 4 minutes [READ: Count=12, Max=887295, Min=690688, Avg=785280, 90=869375, 99=887295, 99.9=887295, 99.99=887295] 
2019-05-16 21:27:07:484 540 sec: 689 operations; 1.3 current ops/sec; est completion in 4 minutes [READ: Count=13, Max=928255, Min=719872, Avg=780977.23, 90=884735, 99=928255, 99.9=928255, 99.99=928255] 
2019-05-16 21:27:17:484 550 sec: 702 operations; 1.3 current ops/sec; est completion in 3 minutes [READ: Count=13, Max=874495, Min=739328, Avg=784561.23, 90=862207, 99=874495, 99.9=874495, 99.99=874495] 
2019-05-16 21:27:27:484 560 sec: 715 operations; 1.3 current ops/sec; est completion in 3 minutes [READ: Count=13, Max=889343, Min=707072, Avg=777432.62, 90=889343, 99=889343, 99.9=889343, 99.99=889343] 
2019-05-16 21:27:37:484 570 sec: 728 operations; 1.3 current ops/sec; est completion in 3 minutes [READ: Count=13, Max=900095, Min=694784, Avg=785782.15, 90=876543, 99=900095, 99.9=900095, 99.99=900095] 
2019-05-16 21:27:47:484 580 sec: 740 operations; 1.2 current ops/sec; est completion in 3 minutes [READ: Count=12, Max=903679, Min=623616, Avg=785493.33, 90=868351, 99=903679, 99.9=903679, 99.99=903679] 
2019-05-16 21:27:57:484 590 sec: 753 operations; 1.3 current ops/sec; est completion in 3 minutes [READ: Count=13, Max=870911, Min=710656, Avg=782670.77, 90=839167, 99=870911, 99.9=870911, 99.99=870911] 
2019-05-16 21:28:07:484 600 sec: 766 operations; 1.3 current ops/sec; est completion in 3 minutes [READ: Count=13, Max=927231, Min=716800, Avg=789720.62, 90=917503, 99=927231, 99.9=927231, 99.99=927231] 
2019-05-16 21:28:17:485 610 sec: 778 operations; 1.2 current ops/sec; est completion in 2 minutes [READ: Count=12, Max=884735, Min=744448, Avg=786730.67, 90=862207, 99=884735, 99.9=884735, 99.99=884735] 
2019-05-16 21:28:27:485 620 sec: 791 operations; 1.3 current ops/sec; est completion in 2 minutes [READ: Count=13, Max=882175, Min=704512, Avg=772273.23, 90=839167, 99=882175, 99.9=882175, 99.99=882175] 
2019-05-16 21:28:37:484 630 sec: 804 operations; 1.3 current ops/sec; est completion in 2 minutes [READ: Count=13, Max=843263, Min=713216, Avg=776802.46, 90=841727, 99=843263, 99.9=843263, 99.99=843263] 
2019-05-16 21:28:47:484 640 sec: 817 operations; 1.3 current ops/sec; est completion in 2 minutes [READ: Count=13, Max=859135, Min=677376, Avg=777905.23, 90=834559, 99=859135, 99.9=859135, 99.99=859135] 
2019-05-16 21:28:57:484 650 sec: 830 operations; 1.3 current ops/sec; est completion in 2 minutes [READ: Count=13, Max=856575, Min=702464, Avg=779047.38, 90=850943, 99=856575, 99.9=856575, 99.99=856575] 
2019-05-16 21:29:07:484 660 sec: 843 operations; 1.3 current ops/sec; est completion in 2 minutes [READ: Count=13, Max=889855, Min=714752, Avg=785821.54, 90=865791, 99=889855, 99.9=889855, 99.99=889855] 
2019-05-16 21:29:17:485 670 sec: 855 operations; 1.2 current ops/sec; est completion in 1 minute [READ: Count=12, Max=858111, Min=654336, Avg=782037.33, 90=854015, 99=858111, 99.9=858111, 99.99=858111] 
2019-05-16 21:29:27:485 680 sec: 868 operations; 1.3 current ops/sec; est completion in 1 minute [READ: Count=13, Max=888831, Min=734720, Avg=799094.15, 90=853503, 99=888831, 99.9=888831, 99.99=888831] 
2019-05-16 21:29:37:484 690 sec: 881 operations; 1.3 current ops/sec; est completion in 1 minute [READ: Count=13, Max=862719, Min=693248, Avg=770461.54, 90=846335, 99=862719, 99.9=862719, 99.99=862719] 
2019-05-16 21:29:47:484 700 sec: 894 operations; 1.3 current ops/sec; est completion in 1 minute [READ: Count=13, Max=856575, Min=725504, Avg=777472, 90=839679, 99=856575, 99.9=856575, 99.99=856575] 
2019-05-16 21:29:57:484 710 sec: 906 operations; 1.2 current ops/sec; est completion in 1 minute [READ: Count=12, Max=846335, Min=734720, Avg=785237.33, 90=837631, 99=846335, 99.9=846335, 99.99=846335] 
2019-05-16 21:30:07:484 720 sec: 919 operations; 1.3 current ops/sec; est completion in 1 minute [READ: Count=13, Max=866815, Min=689664, Avg=775384.62, 90=854015, 99=866815, 99.9=866815, 99.99=866815] 
2019-05-16 21:30:17:484 730 sec: 932 operations; 1.3 current ops/sec; est completion in 54 seconds [READ: Count=13, Max=893951, Min=727552, Avg=801063.38, 90=866303, 99=893951, 99.9=893951, 99.99=893951] 
2019-05-16 21:30:27:484 740 sec: 945 operations; 1.3 current ops/sec; est completion in 44 seconds [READ: Count=13, Max=857087, Min=718336, Avg=782631.38, 90=833023, 99=857087, 99.9=857087, 99.99=857087] 
2019-05-16 21:30:37:484 750 sec: 958 operations; 1.3 current ops/sec; est completion in 33 seconds [READ: Count=13, Max=865791, Min=698368, Avg=773572.92, 90=827391, 99=865791, 99.9=865791, 99.99=865791] 
2019-05-16 21:30:47:484 760 sec: 970 operations; 1.2 current ops/sec; est completion in 24 seconds [READ: Count=12, Max=835071, Min=745984, Avg=790570.67, 90=827903, 99=835071, 99.9=835071, 99.99=835071] 
2019-05-16 21:30:57:484 770 sec: 983 operations; 1.3 current ops/sec; est completion in 14 seconds [READ: Count=13, Max=850431, Min=714752, Avg=783419.08, 90=840703, 99=850431, 99.9=850431, 99.99=850431] 
2019-05-16 21:31:07:485 780 sec: 996 operations; 1.3 current ops/sec; est completion in 4 second [READ: Count=13, Max=943615, Min=717824, Avg=792083.69, 90=879103, 99=943615, 99.9=943615, 99.99=943615] 
2019-05-16 21:31:10:638 783 sec: 1000 operations; 1.27 current ops/sec; [READ: Count=4, Max=850431, Min=754176, Avg=797568, 90=850431, 99=850431, 99.9=850431, 99.99=850431] [CLEANUP: Count=1, Max=5, Min=5, Avg=5, 90=5, 99=5, 99.9=5, 99.99=5] 
