2019-05-22 04:55:42:982 260 sec: 339 operations; 1.3 current ops/sec; est completion in 14 minutes [READ: Count=13, Max=851455, Min=691200, Avg=772155.08, 90=831487, 99=851455, 99.9=851455, 99.99=851455] 
2019-05-22 04:55:52:982 270 sec: 351 operations; 1.2 current ops/sec; est completion in 14 minutes [READ: Count=12, Max=883199, Min=719872, Avg=779648, 90=821759, 99=883199, 99.9=883199, 99.99=883199] 
2019-05-22 04:56:02:981 280 sec: 364 operations; 1.3 current ops/sec; est completion in 14 minutes [READ: Count=13, Max=849919, Min=716288, Avg=772785.23, 90=838655, 99=849919, 99.9=849919, 99.99=849919] 
2019-05-22 04:56:12:983 290 sec: 378 operations; 1.4 current ops/sec; est completion in 14 minutes [READ: Count=14, Max=822271, Min=698880, Avg=756443.43, 90=792063, 99=822271, 99.9=822271, 99.99=822271] 
2019-05-22 04:56:22:982 300 sec: 391 operations; 1.3 current ops/sec; est completion in 14 minutes [READ: Count=13, Max=826879, Min=697344, Avg=758331.08, 90=818175, 99=826879, 99.9=826879, 99.99=826879] 
2019-05-22 04:56:32:982 310 sec: 404 operations; 1.3 current ops/sec; est completion in 14 minutes [READ: Count=13, Max=836095, Min=705024, Avg=772194.46, 90=836095, 99=836095, 99.9=836095, 99.99=836095] 
2019-05-22 04:56:42:982 320 sec: 417 operations; 1.3 current ops/sec; est completion in 13 minutes [READ: Count=13, Max=838143, Min=719360, Avg=763411.69, 90=803839, 99=838143, 99.9=838143, 99.99=838143] 
2019-05-22 04:56:52:982 330 sec: 430 operations; 1.3 current ops/sec; est completion in 13 minutes [READ: Count=13, Max=875007, Min=705536, Avg=769555.69, 90=844799, 99=875007, 99.9=875007, 99.99=875007] 
2019-05-22 04:57:02:982 340 sec: 443 operations; 1.3 current ops/sec; est completion in 13 minutes [READ: Count=13, Max=856575, Min=682496, Avg=767232, 90=842239, 99=856575, 99.9=856575, 99.99=856575] 
2019-05-22 04:57:12:981 350 sec: 456 operations; 1.3 current ops/sec; est completion in 13 minutes [READ: Count=13, Max=875007, Min=707072, Avg=786412.31, 90=822783, 99=875007, 99.9=875007, 99.99=875007] 
2019-05-22 04:57:22:981 360 sec: 469 operations; 1.3 current ops/sec; est completion in 13 minutes [READ: Count=13, Max=820735, Min=711168, Avg=760260.92, 90=812543, 99=820735, 99.9=820735, 99.99=820735] 
2019-05-22 04:57:32:982 370 sec: 482 operations; 1.3 current ops/sec; est completion in 13 minutes [READ: Count=13, Max=848895, Min=703488, Avg=767940.92, 90=844799, 99=848895, 99.9=848895, 99.99=848895] 
2019-05-22 04:57:42:983 380 sec: 495 operations; 1.3 current ops/sec; est completion in 12 minutes [READ: Count=13, Max=854527, Min=723968, Avg=775936, 90=836607, 99=854527, 99.9=854527, 99.99=854527] 
2019-05-22 04:57:52:982 390 sec: 507 operations; 1.2 current ops/sec; est completion in 12 minutes [READ: Count=12, Max=906751, Min=719872, Avg=774485.33, 90=817663, 99=906751, 99.9=906751, 99.99=906751] 
2019-05-22 04:58:02:983 400 sec: 520 operations; 1.3 current ops/sec; est completion in 12 minutes [READ: Count=13, Max=859647, Min=726016, Avg=780544, 90=846335, 99=859647, 99.9=859647, 99.99=859647] 
2019-05-22 04:58:12:982 410 sec: 534 operations; 1.4 current ops/sec; est completion in 12 minutes [READ: Count=14, Max=823807, Min=678912, Avg=751908.57, 90=808447, 99=823807, 99.9=823807, 99.99=823807] 
2019-05-22 04:58:22:981 420 sec: 547 operations; 1.3 current ops/sec; est completion in 12 minutes [READ: Count=13, Max=848383, Min=692224, Avg=756952.62, 90=829951, 99=848383, 99.9=848383, 99.99=848383] 
2019-05-22 04:58:32:982 430 sec: 560 operations; 1.3 current ops/sec; est completion in 12 minutes [READ: Count=13, Max=847871, Min=704000, Avg=774754.46, 90=833535, 99=847871, 99.9=847871, 99.99=847871] 
2019-05-22 04:58:42:983 440 sec: 573 operations; 1.3 current ops/sec; est completion in 11 minutes [READ: Count=13, Max=827903, Min=714240, Avg=755889.23, 90=809471, 99=827903, 99.9=827903, 99.99=827903] 
2019-05-22 04:58:52:983 450 sec: 586 operations; 1.3 current ops/sec; est completion in 11 minutes [READ: Count=13, Max=872959, Min=710144, Avg=768334.77, 90=845823, 99=872959, 99.9=872959, 99.99=872959] 
2019-05-22 04:59:02:982 460 sec: 599 operations; 1.3 current ops/sec; est completion in 11 minutes [READ: Count=13, Max=849919, Min=722432, Avg=766404.92, 90=812543, 99=849919, 99.9=849919, 99.99=849919] 
2019-05-22 04:59:12:982 470 sec: 612 operations; 1.3 current ops/sec; est completion in 11 minutes [READ: Count=13, Max=839679, Min=705024, Avg=765656.62, 90=829439, 99=839679, 99.9=839679, 99.99=839679] 
2019-05-22 04:59:22:982 480 sec: 625 operations; 1.3 current ops/sec; est completion in 11 minutes [READ: Count=13, Max=849919, Min=716288, Avg=766050.46, 90=829439, 99=849919, 99.9=849919, 99.99=849919] 
2019-05-22 04:59:32:982 490 sec: 638 operations; 1.3 current ops/sec; est completion in 11 minutes [READ: Count=13, Max=865791, Min=712704, Avg=763884.31, 90=815615, 99=865791, 99.9=865791, 99.99=865791] 
2019-05-22 04:59:42:982 500 sec: 651 operations; 1.3 current ops/sec; est completion in 10 minutes [READ: Count=13, Max=863231, Min=699904, Avg=764868.92, 90=811519, 99=863231, 99.9=863231, 99.99=863231] 
2019-05-22 04:59:52:984 510 sec: 664 operations; 1.3 current ops/sec; est completion in 10 minutes [READ: Count=13, Max=846847, Min=695296, Avg=762939.08, 90=836095, 99=846847, 99.9=846847, 99.99=846847] 
2019-05-22 05:00:02:982 520 sec: 678 operations; 1.4 current ops/sec; est completion in 10 minutes [READ: Count=14, Max=836095, Min=695296, Avg=762733.71, 90=821759, 99=836095, 99.9=836095, 99.99=836095] 
2019-05-22 05:00:12:982 530 sec: 691 operations; 1.3 current ops/sec; est completion in 10 minutes [READ: Count=13, Max=832511, Min=695296, Avg=759040, 90=829439, 99=832511, 99.9=832511, 99.99=832511] 
2019-05-22 05:00:22:982 540 sec: 704 operations; 1.3 current ops/sec; est completion in 10 minutes [READ: Count=13, Max=839167, Min=709120, Avg=773651.69, 90=836095, 99=839167, 99.9=839167, 99.99=839167] 
2019-05-22 05:00:32:982 550 sec: 717 operations; 1.3 current ops/sec; est completion in 10 minutes [READ: Count=13, Max=868351, Min=712192, Avg=756007.38, 90=817151, 99=868351, 99.9=868351, 99.99=868351] 
2019-05-22 05:00:42:982 560 sec: 730 operations; 1.3 current ops/sec; est completion in 9 minutes [READ: Count=13, Max=833535, Min=697344, Avg=760260.92, 90=828927, 99=833535, 99.9=833535, 99.99=833535] 
2019-05-22 05:00:52:982 570 sec: 743 operations; 1.3 current ops/sec; est completion in 9 minutes [READ: Count=13, Max=902655, Min=693248, Avg=769161.85, 90=850943, 99=902655, 99.9=902655, 99.99=902655] 
2019-05-22 05:01:02:982 580 sec: 756 operations; 1.3 current ops/sec; est completion in 9 minutes [READ: Count=13, Max=859647, Min=731136, Avg=770461.54, 90=831487, 99=859647, 99.9=859647, 99.99=859647] 
2019-05-22 05:01:12:982 590 sec: 769 operations; 1.3 current ops/sec; est completion in 9 minutes [READ: Count=13, Max=831487, Min=725504, Avg=766680.62, 90=800255, 99=831487, 99.9=831487, 99.99=831487] 
2019-05-22 05:01:22:983 600 sec: 782 operations; 1.3 current ops/sec; est completion in 9 minutes [READ: Count=13, Max=848895, Min=726016, Avg=765184, 90=843775, 99=848895, 99.9=848895, 99.99=848895] 
2019-05-22 05:01:32:982 610 sec: 795 operations; 1.3 current ops/sec; est completion in 9 minutes [READ: Count=13, Max=823807, Min=708096, Avg=764790.15, 90=823295, 99=823807, 99.9=823807, 99.99=823807] 
2019-05-22 05:01:42:982 620 sec: 808 operations; 1.3 current ops/sec; est completion in 8 minutes [READ: Count=13, Max=863743, Min=721920, Avg=781252.92, 90=847871, 99=863743, 99.9=863743, 99.99=863743] 
2019-05-22 05:01:52:982 630 sec: 821 operations; 1.3 current ops/sec; est completion in 8 minutes [READ: Count=13, Max=863231, Min=708096, Avg=770855.38, 90=847871, 99=863231, 99.9=863231, 99.99=863231] 
2019-05-22 05:02:02:981 640 sec: 834 operations; 1.3 current ops/sec; est completion in 8 minutes [READ: Count=13, Max=894463, Min=714752, Avg=771249.23, 90=883199, 99=894463, 99.9=894463, 99.99=894463] 
2019-05-22 05:02:12:983 650 sec: 847 operations; 1.3 current ops/sec; est completion in 8 minutes [READ: Count=13, Max=907775, Min=723456, Avg=773415.38, 90=831487, 99=907775, 99.9=907775, 99.99=907775] 
2019-05-22 05:02:22:983 660 sec: 860 operations; 1.3 current ops/sec; est completion in 8 minutes [READ: Count=13, Max=862719, Min=705024, Avg=773809.23, 90=835071, 99=862719, 99.9=862719, 99.99=862719] 
2019-05-22 05:02:32:982 670 sec: 873 operations; 1.3 current ops/sec; est completion in 8 minutes [READ: Count=13, Max=882687, Min=719872, Avg=773888, 90=853503, 99=882687, 99.9=882687, 99.99=882687] 
2019-05-22 05:02:42:981 680 sec: 886 operations; 1.3 current ops/sec; est completion in 7 minutes [READ: Count=13, Max=827391, Min=712192, Avg=757661.54, 90=821759, 99=827391, 99.9=827391, 99.99=827391] 
2019-05-22 05:02:52:983 690 sec: 899 operations; 1.3 current ops/sec; est completion in 7 minutes [READ: Count=13, Max=850943, Min=716288, Avg=770422.15, 90=843775, 99=850943, 99.9=850943, 99.99=850943] 
2019-05-22 05:03:02:982 700 sec: 912 operations; 1.3 current ops/sec; est completion in 7 minutes [READ: Count=13, Max=850943, Min=693248, Avg=765735.38, 90=842239, 99=850943, 99.9=850943, 99.99=850943] 
2019-05-22 05:03:12:982 710 sec: 925 operations; 1.3 current ops/sec; est completion in 7 minutes [READ: Count=13, Max=860671, Min=711168, Avg=771052.31, 90=817663, 99=860671, 99.9=860671, 99.99=860671] 
2019-05-22 05:03:22:981 720 sec: 938 operations; 1.3 current ops/sec; est completion in 7 minutes [READ: Count=13, Max=868863, Min=709120, Avg=765971.69, 90=823295, 99=868863, 99.9=868863, 99.99=868863] 
2019-05-22 05:03:32:981 730 sec: 951 operations; 1.3 current ops/sec; est completion in 7 minutes [READ: Count=13, Max=816127, Min=714752, Avg=764356.92, 90=814079, 99=816127, 99.9=816127, 99.99=816127] 
2019-05-22 05:03:42:982 740 sec: 964 operations; 1.3 current ops/sec; est completion in 6 minutes [READ: Count=13, Max=873471, Min=704512, Avg=775463.38, 90=869375, 99=873471, 99.9=873471, 99.99=873471] 
2019-05-22 05:03:52:981 750 sec: 977 operations; 1.3 current ops/sec; est completion in 6 minutes [READ: Count=13, Max=868863, Min=713216, Avg=767350.15, 90=857599, 99=868863, 99.9=868863, 99.99=868863] 
2019-05-22 05:04:02:982 760 sec: 990 operations; 1.3 current ops/sec; est completion in 6 minutes [READ: Count=13, Max=837631, Min=690176, Avg=756243.69, 90=828927, 99=837631, 99.9=837631, 99.99=837631] 
2019-05-22 05:04:12:981 770 sec: 1003 operations; 1.3 current ops/sec; est completion in 6 minutes [READ: Count=13, Max=841215, Min=718848, Avg=767113.85, 90=839167, 99=841215, 99.9=841215, 99.99=841215] 
2019-05-22 05:04:22:981 780 sec: 1016 operations; 1.3 current ops/sec; est completion in 6 minutes [READ: Count=13, Max=825343, Min=718336, Avg=775896.62, 90=821247, 99=825343, 99.9=825343, 99.99=825343] 
2019-05-22 05:04:32:982 790 sec: 1029 operations; 1.3 current ops/sec; est completion in 6 minutes [READ: Count=13, Max=836607, Min=723968, Avg=760103.38, 90=827903, 99=836607, 99.9=836607, 99.99=836607] 
2019-05-22 05:04:42:982 800 sec: 1042 operations; 1.3 current ops/sec; est completion in 5 minutes [READ: Count=13, Max=848383, Min=700928, Avg=758331.08, 90=831999, 99=848383, 99.9=848383, 99.99=848383] 
2019-05-22 05:04:52:981 810 sec: 1055 operations; 1.3 current ops/sec; est completion in 5 minutes [READ: Count=13, Max=900607, Min=708096, Avg=764672, 90=824831, 99=900607, 99.9=900607, 99.99=900607] 
2019-05-22 05:05:02:981 820 sec: 1068 operations; 1.3 current ops/sec; est completion in 5 minutes [READ: Count=13, Max=848895, Min=692224, Avg=765577.85, 90=824831, 99=848895, 99.9=848895, 99.99=848895] 
2019-05-22 05:05:12:982 830 sec: 1082 operations; 1.4 current ops/sec; est completion in 5 minutes [READ: Count=14, Max=816127, Min=719360, Avg=759515.43, 90=809983, 99=816127, 99.9=816127, 99.99=816127] 
2019-05-22 05:05:22:982 840 sec: 1095 operations; 1.3 current ops/sec; est completion in 5 minutes [READ: Count=13, Max=887807, Min=708608, Avg=766720, 90=811007, 99=887807, 99.9=887807, 99.99=887807] 
2019-05-22 05:05:32:981 850 sec: 1108 operations; 1.3 current ops/sec; est completion in 5 minutes [READ: Count=13, Max=826879, Min=694784, Avg=763096.62, 90=826367, 99=826879, 99.9=826879, 99.99=826879] 
2019-05-22 05:05:42:982 860 sec: 1121 operations; 1.3 current ops/sec; est completion in 4 minutes [READ: Count=13, Max=843775, Min=706048, Avg=757307.08, 90=834559, 99=843775, 99.9=843775, 99.99=843775] 
2019-05-22 05:05:52:982 870 sec: 1134 operations; 1.3 current ops/sec; est completion in 4 minutes [READ: Count=13, Max=1084415, Min=718336, Avg=789897.85, 90=847359, 99=1084415, 99.9=1084415, 99.99=1084415] 
2019-05-22 05:06:02:982 880 sec: 1147 operations; 1.3 current ops/sec; est completion in 4 minutes [READ: Count=13, Max=831487, Min=698368, Avg=755652.92, 90=822271, 99=831487, 99.9=831487, 99.99=831487] 
