timestamp;status;request_time;upstream_response_time
1558498338.202;200;0.804;0.000, 0.804
1558498339.016;200;0.806;0.000, 0.804
1558498339.754;200;0.736;0.736
1558498340.567;200;0.811;0.000, 0.812
1558498341.345;200;0.775;0.000, 0.776
1558498342.130;200;0.782;0.784
1558498342.873;200;0.740;0.000, 0.740
1558498343.688;200;0.811;0.000, 0.808
1558498344.443;200;0.749;0.748
1558498345.272;200;0.827;0.000, 0.824
1558498346.025;200;0.751;0.000, 0.752
1558498346.871;200;0.843;0.844
1558498347.604;200;0.730;0.000, 0.728
1558498348.401;200;0.792;0.004, 0.792
1558498349.224;200;0.820;0.820
1558498350.009;200;0.780;0.004, 0.780
1558498350.789;200;0.777;0.000, 0.780
1558498351.626;200;0.834;0.836
1558498352.373;200;0.745;0.000, 0.748
1558498353.205;200;0.829;0.000, 0.832
1558498353.964;200;0.754;0.752
1558498354.773;200;0.805;0.000, 0.808
1558498355.494;200;0.718;0.000, 0.720
1558498356.294;200;0.798;0.800
1558498357.042;200;0.746;0.004, 0.744
1558498357.876;200;0.829;0.000, 0.828
1558498358.652;200;0.774;0.776
1558498359.469;200;0.814;0.000, 0.816
1558498360.260;200;0.788;0.000, 0.788
1558498361.093;200;0.829;0.832
1558498361.878;200;0.784;0.000, 0.784
1558498362.714;200;0.833;0.000, 0.832
1558498363.524;200;0.799;0.800
1558498364.361;200;0.832;0.004, 0.832
1558498365.141;200;0.777;0.000, 0.780
1558498365.957;200;0.812;0.816
1558498366.707;200;0.746;0.000, 0.744
1558498367.532;200;0.821;0.000, 0.820
1558498368.291;200;0.757;0.756
1558498369.117;200;0.823;0.000, 0.824
1558498369.828;200;0.707;0.004, 0.704
1558498370.650;200;0.820;0.820
1558498371.412;200;0.760;0.004, 0.756
1558498372.206;200;0.791;0.000, 0.792
1558498372.971;200;0.761;0.760
1558498373.796;200;0.819;0.004, 0.820
1558498374.548;200;0.749;0.000, 0.752
1558498375.372;200;0.821;0.820
1558498376.111;200;0.737;0.000, 0.736
1558498376.934;200;0.821;0.004, 0.820
1558498377.640;200;0.704;0.704
1558498378.454;200;0.812;0.000, 0.812
1558498379.212;200;0.755;0.004, 0.752
1558498380.052;200;0.836;0.836
1558498380.818;200;0.764;0.000, 0.764
1558498381.608;200;0.786;0.000, 0.788
1558498382.345;200;0.733;0.736
1558498383.228;200;0.879;0.004, 0.876
1558498384.025;200;0.792;0.004, 0.792
1558498384.839;200;0.811;0.812
1558498385.560;200;0.718;0.000, 0.716
1558498386.394;200;0.832;0.000, 0.832
1558498387.185;200;0.788;0.792
1558498387.989;200;0.801;0.004, 0.796
1558498388.702;200;0.711;0.000, 0.712
1558498389.472;200;0.767;0.764
1558498390.237;200;0.763;0.000, 0.764
1558498391.064;200;0.822;0.000, 0.820
1558498391.838;200;0.767;0.768
1558498392.646;200;0.805;0.000, 0.804
1558498393.403;200;0.753;0.000, 0.753
1558498394.238;200;0.830;0.832
1558498395.032;200;0.791;0.004, 0.788
1558498395.852;200;0.817;0.000, 0.820
1558498396.593;200;0.737;0.740
1558498397.436;200;0.840;0.000, 0.844
1558498398.211;200;0.772;0.000, 0.772
1558498399.012;200;0.797;0.800
1558498399.754;200;0.728;0.000, 0.728
1558498400.564;200;0.807;0.004, 0.804
1558498401.361;200;0.793;0.796
1558498402.172;200;0.806;0.000, 0.804
1558498402.960;200;0.786;0.000, 0.784
1558498403.808;200;0.843;0.844
1558498404.609;200;0.798;0.000, 0.800
1558498405.427;200;0.814;0.000, 0.812
1558498406.144;200;0.715;0.712
1558498406.936;200;0.790;0.000, 0.788
1558498407.634;200;0.696;0.000, 0.696
1558498408.498;200;0.861;0.864
1558498409.259;200;0.759;0.004, 0.756
1558498410.067;200;0.806;0.000, 0.804
1558498410.779;200;0.706;0.704
1558498411.644;200;0.862;0.000, 0.864
1558498412.350;200;0.703;0.000, 0.704
1558498413.178;200;0.825;0.828
1558498413.873;200;0.691;0.000, 0.692
1558498414.727;200;0.851;0.000, 0.852
1558498415.483;200;0.754;0.756
1558498416.290;200;0.804;0.000, 0.804
1558498416.298;502;0.005;0.000, 0.000, 0.000, 0.004
1558498416.309;502;0.006;0.004, 0.000, 0.000, 0.004
1558498417.061;200;0.749;0.000, 0.752
1558498417.856;200;0.792;0.792
1558498418.581;200;0.722;0.000, 0.720
