2019-05-21 08:25:38:246 260 sec: 336 operations; 1.3 current ops/sec; est completion in 15 minutes [READ: Count=13, Max=834559, Min=717824, Avg=762781.54, 90=830975, 99=834559, 99.9=834559, 99.99=834559] 
2019-05-21 08:25:48:247 270 sec: 349 operations; 1.3 current ops/sec; est completion in 14 minutes [READ: Count=13, Max=830975, Min=701440, Avg=757976.62, 90=823295, 99=830975, 99.9=830975, 99.99=830975] 
2019-05-21 08:25:58:246 280 sec: 362 operations; 1.3 current ops/sec; est completion in 14 minutes [READ: Count=13, Max=837631, Min=720384, Avg=771091.69, 90=825855, 99=837631, 99.9=837631, 99.99=837631] 
2019-05-21 08:26:08:247 290 sec: 375 operations; 1.3 current ops/sec; est completion in 14 minutes [READ: Count=13, Max=841215, Min=727552, Avg=771524.92, 90=823295, 99=841215, 99.9=841215, 99.99=841215] 
2019-05-21 08:26:18:247 300 sec: 388 operations; 1.3 current ops/sec; est completion in 14 minutes [READ: Count=13, Max=837631, Min=697344, Avg=764593.23, 90=823807, 99=837631, 99.9=837631, 99.99=837631] 
2019-05-21 08:26:28:248 310 sec: 401 operations; 1.3 current ops/sec; est completion in 14 minutes [READ: Count=13, Max=844799, Min=725504, Avg=777117.54, 90=840703, 99=844799, 99.9=844799, 99.99=844799] 
2019-05-21 08:26:38:247 320 sec: 414 operations; 1.3 current ops/sec; est completion in 14 minutes [READ: Count=13, Max=840703, Min=712192, Avg=768019.69, 90=828415, 99=840703, 99.9=840703, 99.99=840703] 
2019-05-21 08:26:48:246 330 sec: 427 operations; 1.3 current ops/sec; est completion in 13 minutes [READ: Count=13, Max=861695, Min=710144, Avg=771209.85, 90=840703, 99=861695, 99.9=861695, 99.99=861695] 
2019-05-21 08:26:58:246 340 sec: 440 operations; 1.3 current ops/sec; est completion in 13 minutes [READ: Count=13, Max=856575, Min=718848, Avg=776644.92, 90=845823, 99=856575, 99.9=856575, 99.99=856575] 
2019-05-21 08:27:08:247 350 sec: 453 operations; 1.3 current ops/sec; est completion in 13 minutes [READ: Count=13, Max=881151, Min=727040, Avg=772194.46, 90=838655, 99=881151, 99.9=881151, 99.99=881151] 
2019-05-21 08:27:18:246 360 sec: 466 operations; 1.3 current ops/sec; est completion in 13 minutes [READ: Count=13, Max=826879, Min=709632, Avg=762978.46, 90=792575, 99=826879, 99.9=826879, 99.99=826879] 
2019-05-21 08:27:28:246 370 sec: 479 operations; 1.3 current ops/sec; est completion in 13 minutes [READ: Count=13, Max=854527, Min=732672, Avg=778614.15, 90=807935, 99=854527, 99.9=854527, 99.99=854527] 
2019-05-21 08:27:38:247 380 sec: 492 operations; 1.3 current ops/sec; est completion in 12 minutes [READ: Count=13, Max=911871, Min=713728, Avg=779677.54, 90=843775, 99=911871, 99.9=911871, 99.99=911871] 
2019-05-21 08:27:48:246 390 sec: 505 operations; 1.3 current ops/sec; est completion in 12 minutes [READ: Count=13, Max=855551, Min=711680, Avg=770225.23, 90=835583, 99=855551, 99.9=855551, 99.99=855551] 
2019-05-21 08:27:58:246 400 sec: 518 operations; 1.3 current ops/sec; est completion in 12 minutes [READ: Count=13, Max=846847, Min=707584, Avg=766798.77, 90=843263, 99=846847, 99.9=846847, 99.99=846847] 
2019-05-21 08:28:08:247 410 sec: 531 operations; 1.3 current ops/sec; est completion in 12 minutes [READ: Count=13, Max=909311, Min=714752, Avg=780544, 90=858623, 99=909311, 99.9=909311, 99.99=909311] 
2019-05-21 08:28:18:246 420 sec: 543 operations; 1.2 current ops/sec; est completion in 12 minutes [READ: Count=12, Max=817151, Min=721920, Avg=768725.33, 90=811007, 99=817151, 99.9=817151, 99.99=817151] 
2019-05-21 08:28:28:246 430 sec: 557 operations; 1.4 current ops/sec; est completion in 12 minutes [READ: Count=14, Max=866815, Min=725504, Avg=769353.14, 90=827391, 99=866815, 99.9=866815, 99.99=866815] 
2019-05-21 08:28:38:247 440 sec: 569 operations; 1.2 current ops/sec; est completion in 12 minutes [READ: Count=12, Max=860671, Min=717312, Avg=785962.67, 90=840191, 99=860671, 99.9=860671, 99.99=860671] 
2019-05-21 08:28:48:248 450 sec: 582 operations; 1.3 current ops/sec; est completion in 11 minutes [READ: Count=13, Max=838143, Min=729600, Avg=770816, 90=834559, 99=838143, 99.9=838143, 99.99=838143] 
2019-05-21 08:28:58:246 460 sec: 595 operations; 1.3 current ops/sec; est completion in 11 minutes [READ: Count=13, Max=824319, Min=709632, Avg=763766.15, 90=805375, 99=824319, 99.9=824319, 99.99=824319] 
2019-05-21 08:29:08:246 470 sec: 608 operations; 1.3 current ops/sec; est completion in 11 minutes [READ: Count=13, Max=848895, Min=730112, Avg=773021.54, 90=817151, 99=848895, 99.9=848895, 99.99=848895] 
2019-05-21 08:29:18:246 480 sec: 621 operations; 1.3 current ops/sec; est completion in 11 minutes [READ: Count=13, Max=858623, Min=722432, Avg=765735.38, 90=819199, 99=858623, 99.9=858623, 99.99=858623] 
2019-05-21 08:29:28:246 490 sec: 634 operations; 1.3 current ops/sec; est completion in 11 minutes [READ: Count=13, Max=829951, Min=724480, Avg=775227.08, 90=826879, 99=829951, 99.9=829951, 99.99=829951] 
2019-05-21 08:29:38:246 500 sec: 647 operations; 1.3 current ops/sec; est completion in 11 minutes [READ: Count=13, Max=819711, Min=714240, Avg=761600, 90=812543, 99=819711, 99.9=819711, 99.99=819711] 
2019-05-21 08:29:48:248 510 sec: 660 operations; 1.3 current ops/sec; est completion in 10 minutes [READ: Count=13, Max=845823, Min=721920, Avg=765026.46, 90=833535, 99=845823, 99.9=845823, 99.99=845823] 
2019-05-21 08:29:58:246 520 sec: 674 operations; 1.4 current ops/sec; est completion in 10 minutes [READ: Count=14, Max=829439, Min=723456, Avg=763428.57, 90=824831, 99=829439, 99.9=829439, 99.99=829439] 
2019-05-21 08:30:08:246 530 sec: 687 operations; 1.3 current ops/sec; est completion in 10 minutes [READ: Count=13, Max=848895, Min=728064, Avg=769634.46, 90=825855, 99=848895, 99.9=848895, 99.99=848895] 
2019-05-21 08:30:18:250 540 sec: 699 operations; 1.2 current ops/sec; est completion in 10 minutes [READ: Count=12, Max=830975, Min=717312, Avg=772266.67, 90=821759, 99=830975, 99.9=830975, 99.99=830975] 
2019-05-21 08:30:28:246 550 sec: 712 operations; 1.3 current ops/sec; est completion in 10 minutes [READ: Count=13, Max=843775, Min=730624, Avg=769476.92, 90=819199, 99=843775, 99.9=843775, 99.99=843775] 
2019-05-21 08:30:38:246 560 sec: 725 operations; 1.3 current ops/sec; est completion in 9 minutes [READ: Count=13, Max=872959, Min=706560, Avg=778377.85, 90=833023, 99=872959, 99.9=872959, 99.99=872959] 
2019-05-21 08:30:48:246 570 sec: 738 operations; 1.3 current ops/sec; est completion in 9 minutes [READ: Count=13, Max=831999, Min=726528, Avg=777787.08, 90=831999, 99=831999, 99.9=831999, 99.99=831999] 
2019-05-21 08:30:58:246 580 sec: 751 operations; 1.3 current ops/sec; est completion in 9 minutes [READ: Count=13, Max=876543, Min=706560, Avg=770264.62, 90=849407, 99=876543, 99.9=876543, 99.99=876543] 
2019-05-21 08:31:08:260 590 sec: 764 operations; 1.3 current ops/sec; est completion in 9 minutes [READ: Count=13, Max=861695, Min=727552, Avg=782552.62, 90=856575, 99=861695, 99.9=861695, 99.99=861695] 
2019-05-21 08:31:18:246 600 sec: 777 operations; 1.3 current ops/sec; est completion in 9 minutes [READ: Count=13, Max=829951, Min=704512, Avg=763057.23, 90=820735, 99=829951, 99.9=829951, 99.99=829951] 
2019-05-21 08:31:28:246 610 sec: 790 operations; 1.3 current ops/sec; est completion in 9 minutes [READ: Count=13, Max=835583, Min=719360, Avg=763569.23, 90=812031, 99=835583, 99.9=835583, 99.99=835583] 
2019-05-21 08:31:38:246 620 sec: 803 operations; 1.3 current ops/sec; est completion in 8 minutes [READ: Count=13, Max=823295, Min=721920, Avg=764987.08, 90=815615, 99=823295, 99.9=823295, 99.99=823295] 
2019-05-21 08:31:48:248 630 sec: 816 operations; 1.3 current ops/sec; est completion in 8 minutes [READ: Count=13, Max=823807, Min=680448, Avg=758291.69, 90=808447, 99=823807, 99.9=823807, 99.99=823807] 
2019-05-21 08:31:58:246 640 sec: 829 operations; 1.3 current ops/sec; est completion in 8 minutes [READ: Count=13, Max=854015, Min=717824, Avg=768019.69, 90=833023, 99=854015, 99.9=854015, 99.99=854015] 
2019-05-21 08:32:08:246 650 sec: 842 operations; 1.3 current ops/sec; est completion in 8 minutes [READ: Count=13, Max=907775, Min=700416, Avg=762939.08, 90=813055, 99=907775, 99.9=907775, 99.99=907775] 
2019-05-21 08:32:18:246 660 sec: 855 operations; 1.3 current ops/sec; est completion in 8 minutes [READ: Count=13, Max=840191, Min=702464, Avg=764947.69, 90=828415, 99=840191, 99.9=840191, 99.99=840191] 
2019-05-21 08:32:28:246 670 sec: 869 operations; 1.4 current ops/sec; est completion in 8 minutes [READ: Count=14, Max=842239, Min=724480, Avg=762477.71, 90=820223, 99=842239, 99.9=842239, 99.99=842239] 
2019-05-21 08:32:38:246 680 sec: 882 operations; 1.3 current ops/sec; est completion in 7 minutes [READ: Count=13, Max=812031, Min=719360, Avg=755062.15, 90=805375, 99=812031, 99.9=812031, 99.99=812031] 
2019-05-21 08:32:48:247 690 sec: 895 operations; 1.3 current ops/sec; est completion in 7 minutes [READ: Count=13, Max=859647, Min=703488, Avg=767310.77, 90=856575, 99=859647, 99.9=859647, 99.99=859647] 
2019-05-21 08:32:58:246 700 sec: 908 operations; 1.3 current ops/sec; est completion in 7 minutes [READ: Count=13, Max=880639, Min=709120, Avg=774912, 90=834559, 99=880639, 99.9=880639, 99.99=880639] 
2019-05-21 08:33:08:246 710 sec: 921 operations; 1.3 current ops/sec; est completion in 7 minutes [READ: Count=13, Max=829951, Min=708096, Avg=765105.23, 90=829439, 99=829951, 99.9=829951, 99.99=829951] 
2019-05-21 08:33:18:247 720 sec: 934 operations; 1.3 current ops/sec; est completion in 7 minutes [READ: Count=13, Max=816127, Min=719872, Avg=766641.23, 90=812031, 99=816127, 99.9=816127, 99.99=816127] 
2019-05-21 08:33:28:246 730 sec: 947 operations; 1.3 current ops/sec; est completion in 7 minutes [READ: Count=13, Max=854527, Min=713728, Avg=769713.23, 90=838655, 99=854527, 99.9=854527, 99.99=854527] 
2019-05-21 08:33:38:246 740 sec: 960 operations; 1.3 current ops/sec; est completion in 6 minutes [READ: Count=13, Max=852479, Min=718848, Avg=768452.92, 90=817151, 99=852479, 99.9=852479, 99.99=852479] 
2019-05-21 08:33:48:247 750 sec: 973 operations; 1.3 current ops/sec; est completion in 6 minutes [READ: Count=13, Max=860159, Min=724992, Avg=769398.15, 90=827903, 99=860159, 99.9=860159, 99.99=860159] 
2019-05-21 08:33:58:246 760 sec: 986 operations; 1.3 current ops/sec; est completion in 6 minutes [READ: Count=13, Max=824831, Min=694784, Avg=766916.92, 90=822271, 99=824831, 99.9=824831, 99.99=824831] 
2019-05-21 08:34:08:246 770 sec: 999 operations; 1.3 current ops/sec; est completion in 6 minutes [READ: Count=13, Max=842751, Min=718336, Avg=769122.46, 90=834047, 99=842751, 99.9=842751, 99.99=842751] 
2019-05-21 08:34:18:246 780 sec: 1012 operations; 1.3 current ops/sec; est completion in 6 minutes [READ: Count=13, Max=857087, Min=717312, Avg=781292.31, 90=846847, 99=857087, 99.9=857087, 99.99=857087] 
