2019-05-21 03:34:07:468 260 sec: 335 operations; 1.3 current ops/sec; est completion in 15 minutes [READ: Count=13, Max=893439, Min=728576, Avg=784324.92, 90=822271, 99=893439, 99.9=893439, 99.99=893439] 
2019-05-21 03:34:17:468 270 sec: 347 operations; 1.2 current ops/sec; est completion in 14 minutes [READ: Count=12, Max=847359, Min=705536, Avg=775168, 90=844799, 99=847359, 99.9=847359, 99.99=847359] 
2019-05-21 03:34:27:468 280 sec: 360 operations; 1.3 current ops/sec; est completion in 14 minutes [READ: Count=13, Max=863231, Min=722432, Avg=779953.23, 90=831487, 99=863231, 99.9=863231, 99.99=863231] 
2019-05-21 03:34:37:468 290 sec: 373 operations; 1.3 current ops/sec; est completion in 14 minutes [READ: Count=13, Max=832511, Min=726528, Avg=769870.77, 90=824831, 99=832511, 99.9=832511, 99.99=832511] 
2019-05-21 03:34:47:468 300 sec: 386 operations; 1.3 current ops/sec; est completion in 14 minutes [READ: Count=13, Max=898559, Min=711168, Avg=775069.54, 90=866303, 99=898559, 99.9=898559, 99.99=898559] 
2019-05-21 03:34:57:468 310 sec: 399 operations; 1.3 current ops/sec; est completion in 14 minutes [READ: Count=13, Max=855039, Min=728064, Avg=781568, 90=832511, 99=855039, 99.9=855039, 99.99=855039] 
2019-05-21 03:35:07:468 320 sec: 412 operations; 1.3 current ops/sec; est completion in 14 minutes [READ: Count=13, Max=831487, Min=730112, Avg=768571.08, 90=822271, 99=831487, 99.9=831487, 99.99=831487] 
2019-05-21 03:35:17:468 330 sec: 425 operations; 1.3 current ops/sec; est completion in 13 minutes [READ: Count=13, Max=830975, Min=695296, Avg=763175.38, 90=829951, 99=830975, 99.9=830975, 99.99=830975] 
2019-05-21 03:35:27:468 340 sec: 438 operations; 1.3 current ops/sec; est completion in 13 minutes [READ: Count=13, Max=831487, Min=695808, Avg=767744, 90=822783, 99=831487, 99.9=831487, 99.99=831487] 
2019-05-21 03:35:37:468 350 sec: 451 operations; 1.3 current ops/sec; est completion in 13 minutes [READ: Count=13, Max=866815, Min=712704, Avg=774833.23, 90=837119, 99=866815, 99.9=866815, 99.99=866815] 
2019-05-21 03:35:47:471 360 sec: 464 operations; 1.3 current ops/sec; est completion in 13 minutes [READ: Count=13, Max=904191, Min=724480, Avg=784364.31, 90=846335, 99=904191, 99.9=904191, 99.99=904191] 
2019-05-21 03:35:57:468 370 sec: 477 operations; 1.3 current ops/sec; est completion in 13 minutes [READ: Count=13, Max=839167, Min=722944, Avg=769161.85, 90=828415, 99=839167, 99.9=839167, 99.99=839167] 
2019-05-21 03:36:07:468 380 sec: 490 operations; 1.3 current ops/sec; est completion in 13 minutes [READ: Count=13, Max=847871, Min=716800, Avg=772706.46, 90=838655, 99=847871, 99.9=847871, 99.99=847871] 
2019-05-21 03:36:17:468 390 sec: 503 operations; 1.3 current ops/sec; est completion in 12 minutes [READ: Count=13, Max=861695, Min=708096, Avg=767232, 90=837119, 99=861695, 99.9=861695, 99.99=861695] 
2019-05-21 03:36:27:468 400 sec: 516 operations; 1.3 current ops/sec; est completion in 12 minutes [READ: Count=13, Max=872447, Min=714240, Avg=777944.62, 90=857599, 99=872447, 99.9=872447, 99.99=872447] 
2019-05-21 03:36:37:468 410 sec: 529 operations; 1.3 current ops/sec; est completion in 12 minutes [READ: Count=13, Max=863743, Min=713216, Avg=775620.92, 90=843775, 99=863743, 99.9=863743, 99.99=863743] 
2019-05-21 03:36:47:468 420 sec: 542 operations; 1.3 current ops/sec; est completion in 12 minutes [READ: Count=13, Max=854527, Min=711168, Avg=762545.23, 90=831487, 99=854527, 99.9=854527, 99.99=854527] 
2019-05-21 03:36:57:468 430 sec: 555 operations; 1.3 current ops/sec; est completion in 12 minutes [READ: Count=13, Max=851455, Min=692736, Avg=772036.92, 90=836607, 99=851455, 99.9=851455, 99.99=851455] 
2019-05-21 03:37:07:468 440 sec: 568 operations; 1.3 current ops/sec; est completion in 12 minutes [READ: Count=13, Max=829439, Min=708608, Avg=763884.31, 90=811007, 99=829439, 99.9=829439, 99.99=829439] 
2019-05-21 03:37:17:468 450 sec: 581 operations; 1.3 current ops/sec; est completion in 11 minutes [READ: Count=13, Max=858623, Min=712192, Avg=769201.23, 90=825343, 99=858623, 99.9=858623, 99.99=858623] 
2019-05-21 03:37:27:468 460 sec: 594 operations; 1.3 current ops/sec; est completion in 11 minutes [READ: Count=13, Max=837631, Min=712192, Avg=767428.92, 90=825855, 99=837631, 99.9=837631, 99.99=837631] 
2019-05-21 03:37:37:468 470 sec: 607 operations; 1.3 current ops/sec; est completion in 11 minutes [READ: Count=13, Max=866815, Min=712192, Avg=769634.46, 90=834559, 99=866815, 99.9=866815, 99.99=866815] 
2019-05-21 03:37:47:468 480 sec: 619 operations; 1.2 current ops/sec; est completion in 11 minutes [READ: Count=12, Max=873983, Min=732672, Avg=776661.33, 90=824319, 99=873983, 99.9=873983, 99.99=873983] 
2019-05-21 03:37:57:468 490 sec: 632 operations; 1.3 current ops/sec; est completion in 11 minutes [READ: Count=13, Max=851967, Min=731648, Avg=782276.92, 90=849407, 99=851967, 99.9=851967, 99.99=851967] 
2019-05-21 03:38:07:468 500 sec: 645 operations; 1.3 current ops/sec; est completion in 11 minutes [READ: Count=13, Max=849407, Min=715264, Avg=771603.69, 90=836095, 99=849407, 99.9=849407, 99.99=849407] 
2019-05-21 03:38:17:468 510 sec: 658 operations; 1.3 current ops/sec; est completion in 10 minutes [READ: Count=13, Max=847359, Min=710656, Avg=766759.38, 90=829439, 99=847359, 99.9=847359, 99.99=847359] 
2019-05-21 03:38:27:468 520 sec: 671 operations; 1.3 current ops/sec; est completion in 10 minutes [READ: Count=13, Max=847871, Min=696832, Avg=769437.54, 90=833023, 99=847871, 99.9=847871, 99.99=847871] 
2019-05-21 03:38:37:468 530 sec: 684 operations; 1.3 current ops/sec; est completion in 10 minutes [READ: Count=13, Max=847359, Min=722944, Avg=772470.15, 90=841215, 99=847359, 99.9=847359, 99.99=847359] 
2019-05-21 03:38:47:468 540 sec: 697 operations; 1.3 current ops/sec; est completion in 10 minutes [READ: Count=13, Max=841215, Min=715264, Avg=769673.85, 90=818687, 99=841215, 99.9=841215, 99.99=841215] 
2019-05-21 03:38:57:468 550 sec: 711 operations; 1.4 current ops/sec; est completion in 10 minutes [READ: Count=14, Max=831999, Min=717824, Avg=756114.29, 90=800255, 99=831999, 99.9=831999, 99.99=831999] 
2019-05-21 03:39:07:468 560 sec: 724 operations; 1.3 current ops/sec; est completion in 10 minutes [READ: Count=13, Max=821247, Min=689152, Avg=757267.69, 90=817151, 99=821247, 99.9=821247, 99.99=821247] 
2019-05-21 03:39:17:468 570 sec: 737 operations; 1.3 current ops/sec; est completion in 9 minutes [READ: Count=13, Max=822271, Min=726528, Avg=757661.54, 90=816639, 99=822271, 99.9=822271, 99.99=822271] 
2019-05-21 03:39:27:468 580 sec: 750 operations; 1.3 current ops/sec; est completion in 9 minutes [READ: Count=13, Max=828415, Min=699904, Avg=763726.77, 90=816639, 99=828415, 99.9=828415, 99.99=828415] 
2019-05-21 03:39:37:468 590 sec: 763 operations; 1.3 current ops/sec; est completion in 9 minutes [READ: Count=13, Max=832511, Min=692736, Avg=761206.15, 90=811007, 99=832511, 99.9=832511, 99.99=832511] 
2019-05-21 03:39:47:468 600 sec: 776 operations; 1.3 current ops/sec; est completion in 9 minutes [READ: Count=13, Max=897535, Min=710656, Avg=768768, 90=829439, 99=897535, 99.9=897535, 99.99=897535] 
2019-05-21 03:39:57:468 610 sec: 789 operations; 1.3 current ops/sec; est completion in 9 minutes [READ: Count=13, Max=858623, Min=713728, Avg=760221.54, 90=816127, 99=858623, 99.9=858623, 99.99=858623] 
2019-05-21 03:40:07:468 620 sec: 802 operations; 1.3 current ops/sec; est completion in 9 minutes [READ: Count=13, Max=846847, Min=701952, Avg=771091.69, 90=843775, 99=846847, 99.9=846847, 99.99=846847] 
2019-05-21 03:40:17:468 630 sec: 815 operations; 1.3 current ops/sec; est completion in 8 minutes [READ: Count=13, Max=828415, Min=724992, Avg=771328, 90=817151, 99=828415, 99.9=828415, 99.99=828415] 
2019-05-21 03:40:27:468 640 sec: 828 operations; 1.3 current ops/sec; est completion in 8 minutes [READ: Count=13, Max=845823, Min=711168, Avg=770894.77, 90=824831, 99=845823, 99.9=845823, 99.99=845823] 
2019-05-21 03:40:37:468 650 sec: 841 operations; 1.3 current ops/sec; est completion in 8 minutes [READ: Count=13, Max=815103, Min=706560, Avg=757858.46, 90=812031, 99=815103, 99.9=815103, 99.99=815103] 
2019-05-21 03:40:47:468 660 sec: 854 operations; 1.3 current ops/sec; est completion in 8 minutes [READ: Count=13, Max=839167, Min=714752, Avg=774557.54, 90=824319, 99=839167, 99.9=839167, 99.99=839167] 
2019-05-21 03:40:57:468 670 sec: 867 operations; 1.3 current ops/sec; est completion in 8 minutes [READ: Count=13, Max=833535, Min=701952, Avg=764475.08, 90=823807, 99=833535, 99.9=833535, 99.99=833535] 
2019-05-21 03:41:07:468 680 sec: 880 operations; 1.3 current ops/sec; est completion in 8 minutes [READ: Count=13, Max=830463, Min=709632, Avg=771288.62, 90=822271, 99=830463, 99.9=830463, 99.99=830463] 
2019-05-21 03:41:17:468 690 sec: 893 operations; 1.3 current ops/sec; est completion in 7 minutes [READ: Count=13, Max=857087, Min=709632, Avg=764593.23, 90=817663, 99=857087, 99.9=857087, 99.99=857087] 
2019-05-21 03:41:27:469 700 sec: 906 operations; 1.3 current ops/sec; est completion in 7 minutes [READ: Count=13, Max=852991, Min=719872, Avg=765341.54, 90=821247, 99=852991, 99.9=852991, 99.99=852991] 
2019-05-21 03:41:37:468 710 sec: 919 operations; 1.3 current ops/sec; est completion in 7 minutes [READ: Count=13, Max=839679, Min=681984, Avg=767428.92, 90=827903, 99=839679, 99.9=839679, 99.99=839679] 
