[WARN]  Running against a source checkout. In order to get our runtime dependencies we'll have to invoke Maven. Depending on the state of your system, this may take ~30-45 seconds
[DEBUG]  Running 'mvn -pl com.yahoo.ycsb:rest-binding -am package -DskipTests dependency:build-classpath -DincludeScope=compile -Dmdep.outputFilterFile=true'
WARNING: An illegal reflective access operation has occurred
WARNING: Illegal reflective access by com.google.inject.internal.cglib.core.$ReflectUtils$1 (file:/usr/share/maven/lib/guice.jar) to method java.lang.ClassLoader.defineClass(java.lang.String,byte[],int,int,java.security.ProtectionDomain)
WARNING: Please consider reporting this to the maintainers of com.google.inject.internal.cglib.core.$ReflectUtils$1
WARNING: Use --illegal-access=warn to enable warnings of further illegal reflective access operations
WARNING: All illegal access operations will be denied in a future release
java -cp /home/ubuntu/YCSB/rest/conf:/home/ubuntu/YCSB/rest/target/rest-binding-0.16.0-SNAPSHOT.jar:/home/ubuntu/.m2/repository/org/hdrhistogram/HdrHistogram/2.1.4/HdrHistogram-2.1.4.jar:/home/ubuntu/.m2/repository/org/glassfish/hk2/external/javax.inject/2.2.0/javax.inject-2.2.0.jar:/home/ubuntu/.m2/repository/com/github/stefanbirkner/system-rules/1.16.0/system-rules-1.16.0.jar:/home/ubuntu/.m2/repository/org/codehaus/jackson/jackson-core-asl/1.9.4/jackson-core-asl-1.9.4.jar:/home/ubuntu/.m2/repository/org/glassfish/jersey/core/jersey-server/2.6/jersey-server-2.6.jar:/home/ubuntu/YCSB/core/target/core-0.16.0-SNAPSHOT.jar:/home/ubuntu/.m2/repository/org/glassfish/hk2/hk2-api/2.2.0/hk2-api-2.2.0.jar:/home/ubuntu/.m2/repository/javax/ws/rs/javax.ws.rs-api/2.0/javax.ws.rs-api-2.0.jar:/home/ubuntu/.m2/repository/org/glassfish/hk2/hk2-locator/2.2.0/hk2-locator-2.2.0.jar:/home/ubuntu/.m2/repository/org/eclipse/jdt/core/compiler/ecj/4.4.2/ecj-4.4.2.jar:/home/ubuntu/.m2/repository/org/codehaus/jackson/jackson-mapper-asl/1.9.4/jackson-mapper-asl-1.9.4.jar:/home/ubuntu/.m2/repository/org/glassfish/jersey/bundles/repackaged/jersey-guava/2.6/jersey-guava-2.6.jar:/home/ubuntu/.m2/repository/org/glassfish/hk2/external/aopalliance-repackaged/2.2.0/aopalliance-repackaged-2.2.0.jar:/home/ubuntu/.m2/repository/org/javassist/javassist/3.18.1-GA/javassist-3.18.1-GA.jar:/home/ubuntu/.m2/repository/javax/annotation/javax.annotation-api/1.2/javax.annotation-api-1.2.jar:/home/ubuntu/.m2/repository/org/apache/htrace/htrace-core4/4.1.0-incubating/htrace-core4-4.1.0-incubating.jar:/home/ubuntu/.m2/repository/org/apache/tomcat/embed/tomcat-embed-logging-log4j/8.0.28/tomcat-embed-logging-log4j-8.0.28.jar:/home/ubuntu/.m2/repository/org/apache/tomcat/embed/tomcat-embed-el/8.0.28/tomcat-embed-el-8.0.28.jar:/home/ubuntu/.m2/repository/org/apache/tomcat/embed/tomcat-embed-logging-juli/8.0.28/tomcat-embed-logging-juli-8.0.28.jar:/home/ubuntu/.m2/repository/org/apache/tomcat/embed/tomcat-embed-core/8.0.28/tomcat-embed-core-8.0.28.jar:/home/ubuntu/.m2/repository/org/glassfish/hk2/osgi-resource-locator/1.0.1/osgi-resource-locator-1.0.1.jar:/home/ubuntu/.m2/repository/commons-codec/commons-codec/1.9/commons-codec-1.9.jar:/home/ubuntu/.m2/repository/org/glassfish/jersey/core/jersey-client/2.6/jersey-client-2.6.jar:/home/ubuntu/.m2/repository/org/apache/tomcat/embed/tomcat-embed-websocket/8.0.28/tomcat-embed-websocket-8.0.28.jar:/home/ubuntu/.m2/repository/commons-logging/commons-logging/1.2/commons-logging-1.2.jar:/home/ubuntu/.m2/repository/org/glassfish/hk2/hk2-utils/2.2.0/hk2-utils-2.2.0.jar:/home/ubuntu/.m2/repository/javax/validation/validation-api/1.1.0.Final/validation-api-1.1.0.Final.jar:/home/ubuntu/.m2/repository/org/apache/httpcomponents/httpclient/4.5.1/httpclient-4.5.1.jar:/home/ubuntu/.m2/repository/org/apache/tomcat/tomcat-dbcp/8.0.28/tomcat-dbcp-8.0.28.jar:/home/ubuntu/.m2/repository/org/glassfish/jersey/containers/jersey-container-servlet-core/2.6/jersey-container-servlet-core-2.6.jar:/home/ubuntu/.m2/repository/org/apache/tomcat/embed/tomcat-embed-jasper/8.0.28/tomcat-embed-jasper-8.0.28.jar:/home/ubuntu/.m2/repository/org/glassfish/jersey/core/jersey-common/2.6/jersey-common-2.6.jar:/home/ubuntu/.m2/repository/org/apache/httpcomponents/httpcore/4.4.4/httpcore-4.4.4.jar com.yahoo.ycsb.Client -db com.yahoo.ycsb.webservice.rest.RestClient -s -P workloads/rest_workload -t
Command line: -db com.yahoo.ycsb.webservice.rest.RestClient -s -P workloads/rest_workload -t
YCSB Client 0.16.0-SNAPSHOT

Loading workload...
Starting test.
2019-05-21 07:24:26:449 0 sec: 0 operations; est completion in 0 second 
DBWrapper: report latency for each error is false and specific error codes to track for latency are: []
2019-05-21 07:24:36:395 10 sec: 12 operations; 1.2 current ops/sec; est completion in 20 minutes [READ: Count=12, Max=884223, Min=732672, Avg=793386.67, 90=859647, 99=884223, 99.9=884223, 99.99=884223] 
2019-05-21 07:24:46:391 20 sec: 24 operations; 1.2 current ops/sec; est completion in 20 minutes [READ: Count=12, Max=898559, Min=707584, Avg=780117.33, 90=878079, 99=898559, 99.9=898559, 99.99=898559] 
2019-05-21 07:24:56:391 30 sec: 37 operations; 1.3 current ops/sec; est completion in 19 minutes [READ: Count=13, Max=842239, Min=721920, Avg=769240.62, 90=836095, 99=842239, 99.9=842239, 99.99=842239] 
2019-05-21 07:25:06:390 40 sec: 50 operations; 1.3 current ops/sec; est completion in 19 minutes [READ: Count=13, Max=859647, Min=710144, Avg=799527.38, 90=858111, 99=859647, 99.9=859647, 99.99=859647] 
2019-05-21 07:25:16:391 50 sec: 63 operations; 1.3 current ops/sec; est completion in 19 minutes [READ: Count=13, Max=839679, Min=724992, Avg=778023.38, 90=828415, 99=839679, 99.9=839679, 99.99=839679] 
2019-05-21 07:25:26:391 60 sec: 76 operations; 1.3 current ops/sec; est completion in 18 minutes [READ: Count=13, Max=842751, Min=695296, Avg=770067.69, 90=833023, 99=842751, 99.9=842751, 99.99=842751] 
2019-05-21 07:25:36:392 70 sec: 88 operations; 1.2 current ops/sec; est completion in 18 minutes [READ: Count=12, Max=859647, Min=730112, Avg=792234.67, 90=832511, 99=859647, 99.9=859647, 99.99=859647] 
2019-05-21 07:25:46:393 80 sec: 101 operations; 1.3 current ops/sec; est completion in 18 minutes [READ: Count=13, Max=837119, Min=735232, Avg=774045.54, 90=836607, 99=837119, 99.9=837119, 99.99=837119] 
2019-05-21 07:25:56:390 90 sec: 114 operations; 1.3 current ops/sec; est completion in 18 minutes [READ: Count=13, Max=820735, Min=714240, Avg=766404.92, 90=811007, 99=820735, 99.9=820735, 99.99=820735] 
2019-05-21 07:26:06:391 100 sec: 127 operations; 1.3 current ops/sec; est completion in 18 minutes [READ: Count=13, Max=843263, Min=727552, Avg=772667.08, 90=817663, 99=843263, 99.9=843263, 99.99=843263] 
2019-05-21 07:26:16:391 110 sec: 140 operations; 1.3 current ops/sec; est completion in 17 minutes [READ: Count=13, Max=821247, Min=728064, Avg=769831.38, 90=816639, 99=821247, 99.9=821247, 99.99=821247] 
2019-05-21 07:26:26:391 120 sec: 153 operations; 1.3 current ops/sec; est completion in 17 minutes [READ: Count=13, Max=857087, Min=711680, Avg=771012.92, 90=817663, 99=857087, 99.9=857087, 99.99=857087] 
2019-05-21 07:26:36:391 130 sec: 166 operations; 1.3 current ops/sec; est completion in 17 minutes [READ: Count=13, Max=828415, Min=708096, Avg=769910.15, 90=818175, 99=828415, 99.9=828415, 99.99=828415] 
2019-05-21 07:26:46:391 140 sec: 179 operations; 1.3 current ops/sec; est completion in 17 minutes [READ: Count=13, Max=865791, Min=725504, Avg=778732.31, 90=852991, 99=865791, 99.9=865791, 99.99=865791] 
2019-05-21 07:26:56:391 150 sec: 192 operations; 1.3 current ops/sec; est completion in 17 minutes [READ: Count=13, Max=827391, Min=693760, Avg=764593.23, 90=826879, 99=827391, 99.9=827391, 99.99=827391] 
2019-05-21 07:27:06:392 160 sec: 205 operations; 1.3 current ops/sec; est completion in 16 minutes [READ: Count=13, Max=828927, Min=716800, Avg=762230.15, 90=813055, 99=828927, 99.9=828927, 99.99=828927] 
2019-05-21 07:27:16:391 170 sec: 218 operations; 1.3 current ops/sec; est completion in 16 minutes [READ: Count=13, Max=886271, Min=723968, Avg=776329.85, 90=808959, 99=886271, 99.9=886271, 99.99=886271] 
2019-05-21 07:27:26:391 180 sec: 231 operations; 1.3 current ops/sec; est completion in 16 minutes [READ: Count=13, Max=843263, Min=721408, Avg=774557.54, 90=834047, 99=843263, 99.9=843263, 99.99=843263] 
2019-05-21 07:27:36:391 190 sec: 244 operations; 1.3 current ops/sec; est completion in 16 minutes [READ: Count=13, Max=838143, Min=732160, Avg=782237.54, 90=834559, 99=838143, 99.9=838143, 99.99=838143] 
2019-05-21 07:27:46:390 200 sec: 257 operations; 1.3 current ops/sec; est completion in 16 minutes [READ: Count=13, Max=836095, Min=724992, Avg=767113.85, 90=825855, 99=836095, 99.9=836095, 99.99=836095] 
2019-05-21 07:27:56:390 210 sec: 270 operations; 1.3 current ops/sec; est completion in 15 minutes [READ: Count=13, Max=831487, Min=713216, Avg=769083.08, 90=824831, 99=831487, 99.9=831487, 99.99=831487] 
2019-05-21 07:28:06:391 220 sec: 283 operations; 1.3 current ops/sec; est completion in 15 minutes [READ: Count=13, Max=830975, Min=711168, Avg=761403.08, 90=828415, 99=830975, 99.9=830975, 99.99=830975] 
2019-05-21 07:28:16:391 230 sec: 296 operations; 1.3 current ops/sec; est completion in 15 minutes [READ: Count=13, Max=894975, Min=697856, Avg=781331.69, 90=831487, 99=894975, 99.9=894975, 99.99=894975] 
2019-05-21 07:28:26:391 240 sec: 309 operations; 1.3 current ops/sec; est completion in 15 minutes [READ: Count=13, Max=822271, Min=685568, Avg=766720, 90=816127, 99=822271, 99.9=822271, 99.99=822271] 
2019-05-21 07:28:36:391 250 sec: 322 operations; 1.3 current ops/sec; est completion in 15 minutes [READ: Count=13, Max=838655, Min=671744, Avg=764002.46, 90=837631, 99=838655, 99.9=838655, 99.99=838655] 
