2019-05-21 05:11:13:678 260 sec: 338 operations; 1.3 current ops/sec; est completion in 14 minutes [READ: Count=13, Max=842239, Min=708096, Avg=767744, 90=815615, 99=842239, 99.9=842239, 99.99=842239] 
2019-05-21 05:11:23:678 270 sec: 351 operations; 1.3 current ops/sec; est completion in 14 minutes [READ: Count=13, Max=821247, Min=697856, Avg=764317.54, 90=817151, 99=821247, 99.9=821247, 99.99=821247] 
2019-05-21 05:11:33:679 280 sec: 364 operations; 1.3 current ops/sec; est completion in 14 minutes [READ: Count=13, Max=864255, Min=734208, Avg=776408.62, 90=820735, 99=864255, 99.9=864255, 99.99=864255] 
2019-05-21 05:11:43:679 290 sec: 377 operations; 1.3 current ops/sec; est completion in 14 minutes [READ: Count=13, Max=818687, Min=709632, Avg=757700.92, 90=816127, 99=818687, 99.9=818687, 99.99=818687] 
2019-05-21 05:11:53:678 300 sec: 390 operations; 1.3 current ops/sec; est completion in 14 minutes [READ: Count=13, Max=848383, Min=703488, Avg=758921.85, 90=831487, 99=848383, 99.9=848383, 99.99=848383] 
2019-05-21 05:12:03:678 310 sec: 403 operations; 1.3 current ops/sec; est completion in 14 minutes [READ: Count=13, Max=834559, Min=726528, Avg=761206.15, 90=815103, 99=834559, 99.9=834559, 99.99=834559] 
2019-05-21 05:12:13:678 320 sec: 416 operations; 1.3 current ops/sec; est completion in 13 minutes [READ: Count=13, Max=850943, Min=716800, Avg=771800.62, 90=812543, 99=850943, 99.9=850943, 99.99=850943] 
2019-05-21 05:12:23:678 330 sec: 429 operations; 1.3 current ops/sec; est completion in 13 minutes [READ: Count=13, Max=838143, Min=720896, Avg=764160, 90=828927, 99=838143, 99.9=838143, 99.99=838143] 
2019-05-21 05:12:33:679 340 sec: 442 operations; 1.3 current ops/sec; est completion in 13 minutes [READ: Count=13, Max=848383, Min=708608, Avg=776841.85, 90=838655, 99=848383, 99.9=848383, 99.99=848383] 
2019-05-21 05:12:43:679 350 sec: 455 operations; 1.3 current ops/sec; est completion in 13 minutes [READ: Count=13, Max=820223, Min=717824, Avg=766247.38, 90=812031, 99=820223, 99.9=820223, 99.99=820223] 
2019-05-21 05:12:53:682 360 sec: 468 operations; 1.3 current ops/sec; est completion in 13 minutes [READ: Count=13, Max=877567, Min=715264, Avg=778496, 90=854015, 99=877567, 99.9=877567, 99.99=877567] 
