[WARN]  Running against a source checkout. In order to get our runtime dependencies we'll have to invoke Maven. Depending on the state of your system, this may take ~30-45 seconds
[DEBUG]  Running 'mvn -pl com.yahoo.ycsb:rest-binding -am package -DskipTests dependency:build-classpath -DincludeScope=compile -Dmdep.outputFilterFile=true'
WARNING: An illegal reflective access operation has occurred
WARNING: Illegal reflective access by com.google.inject.internal.cglib.core.$ReflectUtils$1 (file:/usr/share/maven/lib/guice.jar) to method java.lang.ClassLoader.defineClass(java.lang.String,byte[],int,int,java.security.ProtectionDomain)
WARNING: Please consider reporting this to the maintainers of com.google.inject.internal.cglib.core.$ReflectUtils$1
WARNING: Use --illegal-access=warn to enable warnings of further illegal reflective access operations
WARNING: All illegal access operations will be denied in a future release
java -cp /home/ubuntu/YCSB/rest/conf:/home/ubuntu/YCSB/rest/target/rest-binding-0.16.0-SNAPSHOT.jar:/home/ubuntu/.m2/repository/org/hdrhistogram/HdrHistogram/2.1.4/HdrHistogram-2.1.4.jar:/home/ubuntu/.m2/repository/org/glassfish/hk2/external/javax.inject/2.2.0/javax.inject-2.2.0.jar:/home/ubuntu/.m2/repository/com/github/stefanbirkner/system-rules/1.16.0/system-rules-1.16.0.jar:/home/ubuntu/.m2/repository/org/codehaus/jackson/jackson-core-asl/1.9.4/jackson-core-asl-1.9.4.jar:/home/ubuntu/.m2/repository/org/glassfish/jersey/core/jersey-server/2.6/jersey-server-2.6.jar:/home/ubuntu/YCSB/core/target/core-0.16.0-SNAPSHOT.jar:/home/ubuntu/.m2/repository/org/glassfish/hk2/hk2-api/2.2.0/hk2-api-2.2.0.jar:/home/ubuntu/.m2/repository/javax/ws/rs/javax.ws.rs-api/2.0/javax.ws.rs-api-2.0.jar:/home/ubuntu/.m2/repository/org/glassfish/hk2/hk2-locator/2.2.0/hk2-locator-2.2.0.jar:/home/ubuntu/.m2/repository/org/eclipse/jdt/core/compiler/ecj/4.4.2/ecj-4.4.2.jar:/home/ubuntu/.m2/repository/org/codehaus/jackson/jackson-mapper-asl/1.9.4/jackson-mapper-asl-1.9.4.jar:/home/ubuntu/.m2/repository/org/glassfish/jersey/bundles/repackaged/jersey-guava/2.6/jersey-guava-2.6.jar:/home/ubuntu/.m2/repository/org/glassfish/hk2/external/aopalliance-repackaged/2.2.0/aopalliance-repackaged-2.2.0.jar:/home/ubuntu/.m2/repository/org/javassist/javassist/3.18.1-GA/javassist-3.18.1-GA.jar:/home/ubuntu/.m2/repository/javax/annotation/javax.annotation-api/1.2/javax.annotation-api-1.2.jar:/home/ubuntu/.m2/repository/org/apache/htrace/htrace-core4/4.1.0-incubating/htrace-core4-4.1.0-incubating.jar:/home/ubuntu/.m2/repository/org/apache/tomcat/embed/tomcat-embed-logging-log4j/8.0.28/tomcat-embed-logging-log4j-8.0.28.jar:/home/ubuntu/.m2/repository/org/apache/tomcat/embed/tomcat-embed-el/8.0.28/tomcat-embed-el-8.0.28.jar:/home/ubuntu/.m2/repository/org/apache/tomcat/embed/tomcat-embed-logging-juli/8.0.28/tomcat-embed-logging-juli-8.0.28.jar:/home/ubuntu/.m2/repository/org/apache/tomcat/embed/tomcat-embed-core/8.0.28/tomcat-embed-core-8.0.28.jar:/home/ubuntu/.m2/repository/org/glassfish/hk2/osgi-resource-locator/1.0.1/osgi-resource-locator-1.0.1.jar:/home/ubuntu/.m2/repository/commons-codec/commons-codec/1.9/commons-codec-1.9.jar:/home/ubuntu/.m2/repository/org/glassfish/jersey/core/jersey-client/2.6/jersey-client-2.6.jar:/home/ubuntu/.m2/repository/org/apache/tomcat/embed/tomcat-embed-websocket/8.0.28/tomcat-embed-websocket-8.0.28.jar:/home/ubuntu/.m2/repository/commons-logging/commons-logging/1.2/commons-logging-1.2.jar:/home/ubuntu/.m2/repository/org/glassfish/hk2/hk2-utils/2.2.0/hk2-utils-2.2.0.jar:/home/ubuntu/.m2/repository/javax/validation/validation-api/1.1.0.Final/validation-api-1.1.0.Final.jar:/home/ubuntu/.m2/repository/org/apache/httpcomponents/httpclient/4.5.1/httpclient-4.5.1.jar:/home/ubuntu/.m2/repository/org/apache/tomcat/tomcat-dbcp/8.0.28/tomcat-dbcp-8.0.28.jar:/home/ubuntu/.m2/repository/org/glassfish/jersey/containers/jersey-container-servlet-core/2.6/jersey-container-servlet-core-2.6.jar:/home/ubuntu/.m2/repository/org/apache/tomcat/embed/tomcat-embed-jasper/8.0.28/tomcat-embed-jasper-8.0.28.jar:/home/ubuntu/.m2/repository/org/glassfish/jersey/core/jersey-common/2.6/jersey-common-2.6.jar:/home/ubuntu/.m2/repository/org/apache/httpcomponents/httpcore/4.4.4/httpcore-4.4.4.jar com.yahoo.ycsb.Client -db com.yahoo.ycsb.webservice.rest.RestClient -s -P workloads/rest_workload -t
Command line: -db com.yahoo.ycsb.webservice.rest.RestClient -s -P workloads/rest_workload -t
YCSB Client 0.16.0-SNAPSHOT

Loading workload...
Starting test.
2019-05-21 07:04:11:524 0 sec: 0 operations; est completion in 0 second 
DBWrapper: report latency for each error is false and specific error codes to track for latency are: []
2019-05-21 07:04:21:463 10 sec: 12 operations; 1.2 current ops/sec; est completion in 20 minutes [READ: Count=12, Max=847359, Min=707584, Avg=777258.67, 90=819199, 99=847359, 99.9=847359, 99.99=847359] 
2019-05-21 07:04:31:461 20 sec: 25 operations; 1.3 current ops/sec; est completion in 19 minutes [READ: Count=13, Max=827391, Min=733184, Avg=765341.54, 90=808959, 99=827391, 99.9=827391, 99.99=827391] 
2019-05-21 07:04:41:460 30 sec: 38 operations; 1.3 current ops/sec; est completion in 19 minutes [READ: Count=13, Max=832511, Min=724480, Avg=764002.46, 90=820735, 99=832511, 99.9=832511, 99.99=832511] 
2019-05-21 07:04:51:460 40 sec: 51 operations; 1.3 current ops/sec; est completion in 18 minutes [READ: Count=13, Max=833023, Min=737792, Avg=770816, 90=828415, 99=833023, 99.9=833023, 99.99=833023] 
2019-05-21 07:05:01:460 50 sec: 64 operations; 1.3 current ops/sec; est completion in 18 minutes [READ: Count=13, Max=885247, Min=720896, Avg=775817.85, 90=848895, 99=885247, 99.9=885247, 99.99=885247] 
2019-05-21 07:05:11:460 60 sec: 77 operations; 1.3 current ops/sec; est completion in 18 minutes [READ: Count=13, Max=841727, Min=717312, Avg=768649.85, 90=817151, 99=841727, 99.9=841727, 99.99=841727] 
2019-05-21 07:05:21:461 70 sec: 90 operations; 1.3 current ops/sec; est completion in 18 minutes [READ: Count=13, Max=855551, Min=684544, Avg=765538.46, 90=841727, 99=855551, 99.9=855551, 99.99=855551] 
2019-05-21 07:05:31:461 80 sec: 103 operations; 1.3 current ops/sec; est completion in 18 minutes [READ: Count=13, Max=824831, Min=721408, Avg=769713.23, 90=819199, 99=824831, 99.9=824831, 99.99=824831] 
2019-05-21 07:05:41:460 90 sec: 116 operations; 1.3 current ops/sec; est completion in 17 minutes [READ: Count=13, Max=859135, Min=704000, Avg=771406.77, 90=855039, 99=859135, 99.9=859135, 99.99=859135] 
2019-05-21 07:05:51:460 100 sec: 129 operations; 1.3 current ops/sec; est completion in 17 minutes [READ: Count=13, Max=846335, Min=719360, Avg=769280, 90=813567, 99=846335, 99.9=846335, 99.99=846335] 
2019-05-21 07:06:01:461 110 sec: 142 operations; 1.3 current ops/sec; est completion in 17 minutes [READ: Count=13, Max=868863, Min=719872, Avg=771012.92, 90=819199, 99=868863, 99.9=868863, 99.99=868863] 
2019-05-21 07:06:11:461 120 sec: 155 operations; 1.3 current ops/sec; est completion in 17 minutes [READ: Count=13, Max=849919, Min=714752, Avg=766365.54, 90=841727, 99=849919, 99.9=849919, 99.99=849919] 
2019-05-21 07:06:21:460 130 sec: 168 operations; 1.3 current ops/sec; est completion in 17 minutes [READ: Count=13, Max=847359, Min=692224, Avg=774636.31, 90=837119, 99=847359, 99.9=847359, 99.99=847359] 
2019-05-21 07:06:31:462 140 sec: 181 operations; 1.3 current ops/sec; est completion in 17 minutes [READ: Count=13, Max=820735, Min=717312, Avg=760221.54, 90=819711, 99=820735, 99.9=820735, 99.99=820735] 
2019-05-21 07:06:41:460 150 sec: 194 operations; 1.3 current ops/sec; est completion in 16 minutes [READ: Count=13, Max=850431, Min=711680, Avg=775305.85, 90=850431, 99=850431, 99.9=850431, 99.99=850431] 
2019-05-21 07:06:51:461 160 sec: 207 operations; 1.3 current ops/sec; est completion in 16 minutes [READ: Count=13, Max=831999, Min=702976, Avg=763726.77, 90=804351, 99=831999, 99.9=831999, 99.99=831999] 
2019-05-21 07:07:01:461 170 sec: 220 operations; 1.3 current ops/sec; est completion in 16 minutes [READ: Count=13, Max=836095, Min=734208, Avg=772627.69, 90=806399, 99=836095, 99.9=836095, 99.99=836095] 
2019-05-21 07:07:11:461 180 sec: 233 operations; 1.3 current ops/sec; est completion in 16 minutes [READ: Count=13, Max=818175, Min=696320, Avg=759748.92, 90=815103, 99=818175, 99.9=818175, 99.99=818175] 
2019-05-21 07:07:21:461 190 sec: 246 operations; 1.3 current ops/sec; est completion in 16 minutes [READ: Count=13, Max=823807, Min=707584, Avg=758724.92, 90=820735, 99=823807, 99.9=823807, 99.99=823807] 
2019-05-21 07:07:31:461 200 sec: 259 operations; 1.3 current ops/sec; est completion in 15 minutes [READ: Count=13, Max=817663, Min=728064, Avg=762545.23, 90=803327, 99=817663, 99.9=817663, 99.99=817663] 
2019-05-21 07:07:41:462 210 sec: 272 operations; 1.3 current ops/sec; est completion in 15 minutes [READ: Count=13, Max=834047, Min=712192, Avg=774478.77, 90=826879, 99=834047, 99.9=834047, 99.99=834047] 
2019-05-21 07:07:51:461 220 sec: 285 operations; 1.3 current ops/sec; est completion in 15 minutes [READ: Count=13, Max=825855, Min=718336, Avg=759197.54, 90=818175, 99=825855, 99.9=825855, 99.99=825855] 
2019-05-21 07:08:01:462 230 sec: 298 operations; 1.3 current ops/sec; est completion in 15 minutes [READ: Count=13, Max=872959, Min=710656, Avg=777590.15, 90=846847, 99=872959, 99.9=872959, 99.99=872959] 
2019-05-21 07:08:11:461 240 sec: 311 operations; 1.3 current ops/sec; est completion in 15 minutes [READ: Count=13, Max=868351, Min=693248, Avg=769004.31, 90=848895, 99=868351, 99.9=868351, 99.99=868351] 
2019-05-21 07:08:21:461 250 sec: 324 operations; 1.3 current ops/sec; est completion in 15 minutes [READ: Count=13, Max=850943, Min=715264, Avg=774360.62, 90=831999, 99=850943, 99.9=850943, 99.99=850943] 
