[WARN]  Running against a source checkout. In order to get our runtime dependencies we'll have to invoke Maven. Depending on the state of your system, this may take ~30-45 seconds
[DEBUG]  Running 'mvn -pl com.yahoo.ycsb:rest-binding -am package -DskipTests dependency:build-classpath -DincludeScope=compile -Dmdep.outputFilterFile=true'
WARNING: An illegal reflective access operation has occurred
WARNING: Illegal reflective access by com.google.inject.internal.cglib.core.$ReflectUtils$1 (file:/usr/share/maven/lib/guice.jar) to method java.lang.ClassLoader.defineClass(java.lang.String,byte[],int,int,java.security.ProtectionDomain)
WARNING: Please consider reporting this to the maintainers of com.google.inject.internal.cglib.core.$ReflectUtils$1
WARNING: Use --illegal-access=warn to enable warnings of further illegal reflective access operations
WARNING: All illegal access operations will be denied in a future release
java -cp /home/ubuntu/YCSB/rest/conf:/home/ubuntu/YCSB/rest/target/rest-binding-0.16.0-SNAPSHOT.jar:/home/ubuntu/.m2/repository/org/hdrhistogram/HdrHistogram/2.1.4/HdrHistogram-2.1.4.jar:/home/ubuntu/.m2/repository/org/glassfish/hk2/external/javax.inject/2.2.0/javax.inject-2.2.0.jar:/home/ubuntu/.m2/repository/com/github/stefanbirkner/system-rules/1.16.0/system-rules-1.16.0.jar:/home/ubuntu/.m2/repository/org/codehaus/jackson/jackson-core-asl/1.9.4/jackson-core-asl-1.9.4.jar:/home/ubuntu/.m2/repository/org/glassfish/jersey/core/jersey-server/2.6/jersey-server-2.6.jar:/home/ubuntu/YCSB/core/target/core-0.16.0-SNAPSHOT.jar:/home/ubuntu/.m2/repository/org/glassfish/hk2/hk2-api/2.2.0/hk2-api-2.2.0.jar:/home/ubuntu/.m2/repository/javax/ws/rs/javax.ws.rs-api/2.0/javax.ws.rs-api-2.0.jar:/home/ubuntu/.m2/repository/org/glassfish/hk2/hk2-locator/2.2.0/hk2-locator-2.2.0.jar:/home/ubuntu/.m2/repository/org/eclipse/jdt/core/compiler/ecj/4.4.2/ecj-4.4.2.jar:/home/ubuntu/.m2/repository/org/codehaus/jackson/jackson-mapper-asl/1.9.4/jackson-mapper-asl-1.9.4.jar:/home/ubuntu/.m2/repository/org/glassfish/jersey/bundles/repackaged/jersey-guava/2.6/jersey-guava-2.6.jar:/home/ubuntu/.m2/repository/org/glassfish/hk2/external/aopalliance-repackaged/2.2.0/aopalliance-repackaged-2.2.0.jar:/home/ubuntu/.m2/repository/org/javassist/javassist/3.18.1-GA/javassist-3.18.1-GA.jar:/home/ubuntu/.m2/repository/javax/annotation/javax.annotation-api/1.2/javax.annotation-api-1.2.jar:/home/ubuntu/.m2/repository/org/apache/htrace/htrace-core4/4.1.0-incubating/htrace-core4-4.1.0-incubating.jar:/home/ubuntu/.m2/repository/org/apache/tomcat/embed/tomcat-embed-logging-log4j/8.0.28/tomcat-embed-logging-log4j-8.0.28.jar:/home/ubuntu/.m2/repository/org/apache/tomcat/embed/tomcat-embed-el/8.0.28/tomcat-embed-el-8.0.28.jar:/home/ubuntu/.m2/repository/org/apache/tomcat/embed/tomcat-embed-logging-juli/8.0.28/tomcat-embed-logging-juli-8.0.28.jar:/home/ubuntu/.m2/repository/org/apache/tomcat/embed/tomcat-embed-core/8.0.28/tomcat-embed-core-8.0.28.jar:/home/ubuntu/.m2/repository/org/glassfish/hk2/osgi-resource-locator/1.0.1/osgi-resource-locator-1.0.1.jar:/home/ubuntu/.m2/repository/commons-codec/commons-codec/1.9/commons-codec-1.9.jar:/home/ubuntu/.m2/repository/org/glassfish/jersey/core/jersey-client/2.6/jersey-client-2.6.jar:/home/ubuntu/.m2/repository/org/apache/tomcat/embed/tomcat-embed-websocket/8.0.28/tomcat-embed-websocket-8.0.28.jar:/home/ubuntu/.m2/repository/commons-logging/commons-logging/1.2/commons-logging-1.2.jar:/home/ubuntu/.m2/repository/org/glassfish/hk2/hk2-utils/2.2.0/hk2-utils-2.2.0.jar:/home/ubuntu/.m2/repository/javax/validation/validation-api/1.1.0.Final/validation-api-1.1.0.Final.jar:/home/ubuntu/.m2/repository/org/apache/httpcomponents/httpclient/4.5.1/httpclient-4.5.1.jar:/home/ubuntu/.m2/repository/org/apache/tomcat/tomcat-dbcp/8.0.28/tomcat-dbcp-8.0.28.jar:/home/ubuntu/.m2/repository/org/glassfish/jersey/containers/jersey-container-servlet-core/2.6/jersey-container-servlet-core-2.6.jar:/home/ubuntu/.m2/repository/org/apache/tomcat/embed/tomcat-embed-jasper/8.0.28/tomcat-embed-jasper-8.0.28.jar:/home/ubuntu/.m2/repository/org/glassfish/jersey/core/jersey-common/2.6/jersey-common-2.6.jar:/home/ubuntu/.m2/repository/org/apache/httpcomponents/httpcore/4.4.4/httpcore-4.4.4.jar com.yahoo.ycsb.Client -db com.yahoo.ycsb.webservice.rest.RestClient -s -P workloads/rest_workload -t
Command line: -db com.yahoo.ycsb.webservice.rest.RestClient -s -P workloads/rest_workload -t
YCSB Client 0.16.0-SNAPSHOT

Loading workload...
Starting test.
2019-05-21 08:00:52:875 0 sec: 0 operations; est completion in 0 second 
DBWrapper: report latency for each error is false and specific error codes to track for latency are: []
2019-05-21 08:01:02:830 10 sec: 12 operations; 1.2 current ops/sec; est completion in 20 minutes [READ: Count=12, Max=893951, Min=726016, Avg=798549.33, 90=879103, 99=893951, 99.9=893951, 99.99=893951] 
2019-05-21 08:01:12:827 20 sec: 25 operations; 1.3 current ops/sec; est completion in 19 minutes [READ: Count=13, Max=858623, Min=718336, Avg=769752.62, 90=837631, 99=858623, 99.9=858623, 99.99=858623] 
2019-05-21 08:01:22:826 30 sec: 37 operations; 1.2 current ops/sec; est completion in 19 minutes [READ: Count=12, Max=852991, Min=714240, Avg=783061.33, 90=851455, 99=852991, 99.9=852991, 99.99=852991] 
2019-05-21 08:01:32:826 40 sec: 50 operations; 1.3 current ops/sec; est completion in 19 minutes [READ: Count=13, Max=894975, Min=738816, Avg=790193.23, 90=884223, 99=894975, 99.9=894975, 99.99=894975] 
2019-05-21 08:01:42:826 50 sec: 63 operations; 1.3 current ops/sec; est completion in 19 minutes [READ: Count=13, Max=834559, Min=718848, Avg=772194.46, 90=827903, 99=834559, 99.9=834559, 99.99=834559] 
2019-05-21 08:01:52:826 60 sec: 76 operations; 1.3 current ops/sec; est completion in 18 minutes [READ: Count=13, Max=908799, Min=699904, Avg=772155.08, 90=846335, 99=908799, 99.9=908799, 99.99=908799] 
2019-05-21 08:02:02:826 70 sec: 89 operations; 1.3 current ops/sec; est completion in 18 minutes [READ: Count=13, Max=859135, Min=719360, Avg=775857.23, 90=840703, 99=859135, 99.9=859135, 99.99=859135] 
2019-05-21 08:02:12:826 80 sec: 102 operations; 1.3 current ops/sec; est completion in 18 minutes [READ: Count=13, Max=864767, Min=728064, Avg=774754.46, 90=825343, 99=864767, 99.9=864767, 99.99=864767] 
2019-05-21 08:02:22:826 90 sec: 114 operations; 1.2 current ops/sec; est completion in 18 minutes [READ: Count=12, Max=849919, Min=732160, Avg=781952, 90=841215, 99=849919, 99.9=849919, 99.99=849919] 
2019-05-21 08:02:32:828 100 sec: 127 operations; 1.3 current ops/sec; est completion in 18 minutes [READ: Count=13, Max=869375, Min=740352, Avg=777747.69, 90=848383, 99=869375, 99.9=869375, 99.99=869375] 
2019-05-21 08:02:42:827 110 sec: 140 operations; 1.3 current ops/sec; est completion in 17 minutes [READ: Count=13, Max=882687, Min=716800, Avg=784206.77, 90=826879, 99=882687, 99.9=882687, 99.99=882687] 
2019-05-21 08:02:52:826 120 sec: 153 operations; 1.3 current ops/sec; est completion in 17 minutes [READ: Count=13, Max=845823, Min=721408, Avg=769319.38, 90=829439, 99=845823, 99.9=845823, 99.99=845823] 
2019-05-21 08:03:02:828 130 sec: 166 operations; 1.3 current ops/sec; est completion in 17 minutes [READ: Count=13, Max=830463, Min=728576, Avg=771091.69, 90=822783, 99=830463, 99.9=830463, 99.99=830463] 
2019-05-21 08:03:12:825 140 sec: 179 operations; 1.3 current ops/sec; est completion in 17 minutes [READ: Count=13, Max=840703, Min=712192, Avg=770146.46, 90=822271, 99=840703, 99.9=840703, 99.99=840703] 
2019-05-21 08:03:22:826 150 sec: 192 operations; 1.3 current ops/sec; est completion in 17 minutes [READ: Count=13, Max=841727, Min=729088, Avg=779992.62, 90=836095, 99=841727, 99.9=841727, 99.99=841727] 
2019-05-21 08:03:32:828 160 sec: 205 operations; 1.3 current ops/sec; est completion in 16 minutes [READ: Count=13, Max=832511, Min=732160, Avg=775108.92, 90=828927, 99=832511, 99.9=832511, 99.99=832511] 
2019-05-21 08:03:42:828 170 sec: 217 operations; 1.2 current ops/sec; est completion in 16 minutes [READ: Count=12, Max=854527, Min=734208, Avg=785152, 90=845823, 99=854527, 99.9=854527, 99.99=854527] 
2019-05-21 08:03:52:826 180 sec: 230 operations; 1.3 current ops/sec; est completion in 16 minutes [READ: Count=13, Max=876543, Min=697856, Avg=775660.31, 90=844799, 99=876543, 99.9=876543, 99.99=876543] 
2019-05-21 08:04:02:828 190 sec: 243 operations; 1.3 current ops/sec; est completion in 16 minutes [READ: Count=13, Max=834047, Min=730624, Avg=768295.38, 90=814591, 99=834047, 99.9=834047, 99.99=834047] 
2019-05-21 08:04:12:826 200 sec: 256 operations; 1.3 current ops/sec; est completion in 16 minutes [READ: Count=13, Max=846847, Min=729600, Avg=782788.92, 90=838655, 99=846847, 99.9=846847, 99.99=846847] 
2019-05-21 08:04:22:826 210 sec: 269 operations; 1.3 current ops/sec; est completion in 16 minutes [READ: Count=13, Max=871935, Min=718336, Avg=775502.77, 90=812543, 99=871935, 99.9=871935, 99.99=871935] 
2019-05-21 08:04:32:829 220 sec: 282 operations; 1.3 current ops/sec; est completion in 15 minutes [READ: Count=13, Max=806911, Min=730624, Avg=767113.85, 90=799231, 99=806911, 99.9=806911, 99.99=806911] 
2019-05-21 08:04:42:826 230 sec: 295 operations; 1.3 current ops/sec; est completion in 15 minutes [READ: Count=13, Max=907775, Min=739840, Avg=779874.46, 90=816127, 99=907775, 99.9=907775, 99.99=907775] 
2019-05-21 08:04:52:826 240 sec: 308 operations; 1.3 current ops/sec; est completion in 15 minutes [READ: Count=13, Max=845823, Min=713728, Avg=771997.54, 90=828415, 99=845823, 99.9=845823, 99.99=845823] 
2019-05-21 08:05:02:828 250 sec: 321 operations; 1.3 current ops/sec; est completion in 15 minutes [READ: Count=13, Max=883711, Min=722944, Avg=771091.69, 90=857087, 99=883711, 99.9=883711, 99.99=883711] 
