[WARN]  Running against a source checkout. In order to get our runtime dependencies we'll have to invoke Maven. Depending on the state of your system, this may take ~30-45 seconds
[DEBUG]  Running 'mvn -pl com.yahoo.ycsb:rest-binding -am package -DskipTests dependency:build-classpath -DincludeScope=compile -Dmdep.outputFilterFile=true'
WARNING: An illegal reflective access operation has occurred
WARNING: Illegal reflective access by com.google.inject.internal.cglib.core.$ReflectUtils$1 (file:/usr/share/maven/lib/guice.jar) to method java.lang.ClassLoader.defineClass(java.lang.String,byte[],int,int,java.security.ProtectionDomain)
WARNING: Please consider reporting this to the maintainers of com.google.inject.internal.cglib.core.$ReflectUtils$1
WARNING: Use --illegal-access=warn to enable warnings of further illegal reflective access operations
WARNING: All illegal access operations will be denied in a future release
java -cp /home/ubuntu/YCSB/rest/conf:/home/ubuntu/YCSB/rest/target/rest-binding-0.16.0-SNAPSHOT.jar:/home/ubuntu/.m2/repository/org/hdrhistogram/HdrHistogram/2.1.4/HdrHistogram-2.1.4.jar:/home/ubuntu/.m2/repository/org/glassfish/hk2/external/javax.inject/2.2.0/javax.inject-2.2.0.jar:/home/ubuntu/.m2/repository/com/github/stefanbirkner/system-rules/1.16.0/system-rules-1.16.0.jar:/home/ubuntu/.m2/repository/org/codehaus/jackson/jackson-core-asl/1.9.4/jackson-core-asl-1.9.4.jar:/home/ubuntu/.m2/repository/org/glassfish/jersey/core/jersey-server/2.6/jersey-server-2.6.jar:/home/ubuntu/YCSB/core/target/core-0.16.0-SNAPSHOT.jar:/home/ubuntu/.m2/repository/org/glassfish/hk2/hk2-api/2.2.0/hk2-api-2.2.0.jar:/home/ubuntu/.m2/repository/javax/ws/rs/javax.ws.rs-api/2.0/javax.ws.rs-api-2.0.jar:/home/ubuntu/.m2/repository/org/glassfish/hk2/hk2-locator/2.2.0/hk2-locator-2.2.0.jar:/home/ubuntu/.m2/repository/org/eclipse/jdt/core/compiler/ecj/4.4.2/ecj-4.4.2.jar:/home/ubuntu/.m2/repository/org/codehaus/jackson/jackson-mapper-asl/1.9.4/jackson-mapper-asl-1.9.4.jar:/home/ubuntu/.m2/repository/org/glassfish/jersey/bundles/repackaged/jersey-guava/2.6/jersey-guava-2.6.jar:/home/ubuntu/.m2/repository/org/glassfish/hk2/external/aopalliance-repackaged/2.2.0/aopalliance-repackaged-2.2.0.jar:/home/ubuntu/.m2/repository/org/javassist/javassist/3.18.1-GA/javassist-3.18.1-GA.jar:/home/ubuntu/.m2/repository/javax/annotation/javax.annotation-api/1.2/javax.annotation-api-1.2.jar:/home/ubuntu/.m2/repository/org/apache/htrace/htrace-core4/4.1.0-incubating/htrace-core4-4.1.0-incubating.jar:/home/ubuntu/.m2/repository/org/apache/tomcat/embed/tomcat-embed-logging-log4j/8.0.28/tomcat-embed-logging-log4j-8.0.28.jar:/home/ubuntu/.m2/repository/org/apache/tomcat/embed/tomcat-embed-el/8.0.28/tomcat-embed-el-8.0.28.jar:/home/ubuntu/.m2/repository/org/apache/tomcat/embed/tomcat-embed-logging-juli/8.0.28/tomcat-embed-logging-juli-8.0.28.jar:/home/ubuntu/.m2/repository/org/apache/tomcat/embed/tomcat-embed-core/8.0.28/tomcat-embed-core-8.0.28.jar:/home/ubuntu/.m2/repository/org/glassfish/hk2/osgi-resource-locator/1.0.1/osgi-resource-locator-1.0.1.jar:/home/ubuntu/.m2/repository/commons-codec/commons-codec/1.9/commons-codec-1.9.jar:/home/ubuntu/.m2/repository/org/glassfish/jersey/core/jersey-client/2.6/jersey-client-2.6.jar:/home/ubuntu/.m2/repository/org/apache/tomcat/embed/tomcat-embed-websocket/8.0.28/tomcat-embed-websocket-8.0.28.jar:/home/ubuntu/.m2/repository/commons-logging/commons-logging/1.2/commons-logging-1.2.jar:/home/ubuntu/.m2/repository/org/glassfish/hk2/hk2-utils/2.2.0/hk2-utils-2.2.0.jar:/home/ubuntu/.m2/repository/javax/validation/validation-api/1.1.0.Final/validation-api-1.1.0.Final.jar:/home/ubuntu/.m2/repository/org/apache/httpcomponents/httpclient/4.5.1/httpclient-4.5.1.jar:/home/ubuntu/.m2/repository/org/apache/tomcat/tomcat-dbcp/8.0.28/tomcat-dbcp-8.0.28.jar:/home/ubuntu/.m2/repository/org/glassfish/jersey/containers/jersey-container-servlet-core/2.6/jersey-container-servlet-core-2.6.jar:/home/ubuntu/.m2/repository/org/apache/tomcat/embed/tomcat-embed-jasper/8.0.28/tomcat-embed-jasper-8.0.28.jar:/home/ubuntu/.m2/repository/org/glassfish/jersey/core/jersey-common/2.6/jersey-common-2.6.jar:/home/ubuntu/.m2/repository/org/apache/httpcomponents/httpcore/4.4.4/httpcore-4.4.4.jar com.yahoo.ycsb.Client -db com.yahoo.ycsb.webservice.rest.RestClient -s -P workloads/rest_workload -t
Command line: -db com.yahoo.ycsb.webservice.rest.RestClient -s -P workloads/rest_workload -t
YCSB Client 0.16.0-SNAPSHOT

Loading workload...
Starting test.
2019-05-21 00:11:45:504 0 sec: 0 operations; est completion in 0 second 
DBWrapper: report latency for each error is false and specific error codes to track for latency are: []
2019-05-21 00:11:55:454 10 sec: 12 operations; 1.2 current ops/sec; est completion in 20 minutes [READ: Count=12, Max=839679, Min=701440, Avg=770517.33, 90=829439, 99=839679, 99.9=839679, 99.99=839679] 
2019-05-21 00:12:05:450 20 sec: 25 operations; 1.3 current ops/sec; est completion in 19 minutes [READ: Count=13, Max=842751, Min=722432, Avg=778692.92, 90=835583, 99=842751, 99.9=842751, 99.99=842751] 
2019-05-21 00:12:15:450 30 sec: 38 operations; 1.3 current ops/sec; est completion in 19 minutes [READ: Count=13, Max=845823, Min=721920, Avg=782001.23, 90=828927, 99=845823, 99.9=845823, 99.99=845823] 
2019-05-21 00:12:25:450 40 sec: 51 operations; 1.3 current ops/sec; est completion in 18 minutes [READ: Count=13, Max=850431, Min=686592, Avg=769043.69, 90=829951, 99=850431, 99.9=850431, 99.99=850431] 
2019-05-21 00:12:35:450 50 sec: 63 operations; 1.2 current ops/sec; est completion in 19 minutes [READ: Count=12, Max=835071, Min=737280, Avg=775978.67, 90=833023, 99=835071, 99.9=835071, 99.99=835071] 
2019-05-21 00:12:45:450 60 sec: 76 operations; 1.3 current ops/sec; est completion in 18 minutes [READ: Count=13, Max=861183, Min=710656, Avg=780032, 90=842239, 99=861183, 99.9=861183, 99.99=861183] 
2019-05-21 00:12:55:450 70 sec: 89 operations; 1.3 current ops/sec; est completion in 18 minutes [READ: Count=13, Max=855551, Min=674304, Avg=760339.69, 90=829439, 99=855551, 99.9=855551, 99.99=855551] 
2019-05-21 00:13:05:451 80 sec: 102 operations; 1.3 current ops/sec; est completion in 18 minutes [READ: Count=13, Max=882175, Min=726528, Avg=776251.08, 90=844799, 99=882175, 99.9=882175, 99.99=882175] 
2019-05-21 00:13:15:450 90 sec: 115 operations; 1.3 current ops/sec; est completion in 18 minutes [READ: Count=13, Max=836607, Min=728064, Avg=781056, 90=828927, 99=836607, 99.9=836607, 99.99=836607] 
2019-05-21 00:13:25:450 100 sec: 128 operations; 1.3 current ops/sec; est completion in 17 minutes [READ: Count=13, Max=926719, Min=719872, Avg=787003.08, 90=865791, 99=926719, 99.9=926719, 99.99=926719] 
2019-05-21 00:13:35:450 110 sec: 141 operations; 1.3 current ops/sec; est completion in 17 minutes [READ: Count=13, Max=867839, Min=711680, Avg=776999.38, 90=836607, 99=867839, 99.9=867839, 99.99=867839] 
2019-05-21 00:13:45:450 120 sec: 154 operations; 1.3 current ops/sec; est completion in 17 minutes [READ: Count=13, Max=854527, Min=710656, Avg=770146.46, 90=829951, 99=854527, 99.9=854527, 99.99=854527] 
2019-05-21 00:13:55:450 130 sec: 167 operations; 1.3 current ops/sec; est completion in 17 minutes [READ: Count=13, Max=835071, Min=704000, Avg=767783.38, 90=831999, 99=835071, 99.9=835071, 99.99=835071] 
2019-05-21 00:14:05:450 140 sec: 179 operations; 1.2 current ops/sec; est completion in 17 minutes [READ: Count=12, Max=866815, Min=719872, Avg=779904, 90=849407, 99=866815, 99.9=866815, 99.99=866815] 
2019-05-21 00:14:15:450 150 sec: 192 operations; 1.3 current ops/sec; est completion in 17 minutes [READ: Count=13, Max=851967, Min=725504, Avg=774675.69, 90=844799, 99=851967, 99.9=851967, 99.99=851967] 
2019-05-21 00:14:25:450 160 sec: 205 operations; 1.3 current ops/sec; est completion in 16 minutes [READ: Count=13, Max=860671, Min=705536, Avg=771170.46, 90=826367, 99=860671, 99.9=860671, 99.99=860671] 
2019-05-21 00:14:35:450 170 sec: 218 operations; 1.3 current ops/sec; est completion in 16 minutes [READ: Count=13, Max=851967, Min=721408, Avg=774990.77, 90=838655, 99=851967, 99.9=851967, 99.99=851967] 
2019-05-21 00:14:45:450 180 sec: 231 operations; 1.3 current ops/sec; est completion in 16 minutes [READ: Count=13, Max=858623, Min=695808, Avg=777275.08, 90=852479, 99=858623, 99.9=858623, 99.99=858623] 
2019-05-21 00:14:55:451 190 sec: 244 operations; 1.3 current ops/sec; est completion in 16 minutes [READ: Count=13, Max=881663, Min=726528, Avg=786294.15, 90=855551, 99=881663, 99.9=881663, 99.99=881663] 
2019-05-21 00:15:05:450 200 sec: 257 operations; 1.3 current ops/sec; est completion in 16 minutes [READ: Count=13, Max=875007, Min=726528, Avg=776684.31, 90=863743, 99=875007, 99.9=875007, 99.99=875007] 
2019-05-21 00:15:15:450 210 sec: 270 operations; 1.3 current ops/sec; est completion in 15 minutes [READ: Count=13, Max=842751, Min=721920, Avg=766404.92, 90=840191, 99=842751, 99.9=842751, 99.99=842751] 
2019-05-21 00:15:25:450 220 sec: 283 operations; 1.3 current ops/sec; est completion in 15 minutes [READ: Count=13, Max=860671, Min=622592, Avg=762624, 90=859135, 99=860671, 99.9=860671, 99.99=860671] 
2019-05-21 00:15:35:451 230 sec: 295 operations; 1.2 current ops/sec; est completion in 15 minutes [READ: Count=12, Max=839167, Min=728064, Avg=783317.33, 90=834047, 99=839167, 99.9=839167, 99.99=839167] 
2019-05-21 00:15:45:450 240 sec: 308 operations; 1.3 current ops/sec; est completion in 15 minutes [READ: Count=13, Max=862207, Min=717312, Avg=797518.77, 90=847871, 99=862207, 99.9=862207, 99.99=862207] 
2019-05-21 00:15:55:450 250 sec: 321 operations; 1.3 current ops/sec; est completion in 15 minutes [READ: Count=13, Max=851455, Min=736256, Avg=784324.92, 90=826367, 99=851455, 99.9=851455, 99.99=851455] 
