2019-05-21 07:49:07:103 260 sec: 335 operations; 1.2 current ops/sec; est completion in 15 minutes [READ: Count=12, Max=822783, Min=716800, Avg=772181.33, 90=820735, 99=822783, 99.9=822783, 99.99=822783] 
2019-05-21 07:49:17:104 270 sec: 349 operations; 1.4 current ops/sec; est completion in 14 minutes [READ: Count=14, Max=836607, Min=714752, Avg=760466.29, 90=817663, 99=836607, 99.9=836607, 99.99=836607] 
2019-05-21 07:49:27:104 280 sec: 362 operations; 1.3 current ops/sec; est completion in 14 minutes [READ: Count=13, Max=826367, Min=708096, Avg=760457.85, 90=812031, 99=826367, 99.9=826367, 99.99=826367] 
2019-05-21 07:49:37:104 290 sec: 375 operations; 1.3 current ops/sec; est completion in 14 minutes [READ: Count=13, Max=923135, Min=710656, Avg=763726.77, 90=825343, 99=923135, 99.9=923135, 99.99=923135] 
2019-05-21 07:49:47:103 300 sec: 388 operations; 1.3 current ops/sec; est completion in 14 minutes [READ: Count=13, Max=843775, Min=713216, Avg=779953.23, 90=831999, 99=843775, 99.9=843775, 99.99=843775] 
2019-05-21 07:49:57:104 310 sec: 401 operations; 1.3 current ops/sec; est completion in 14 minutes [READ: Count=13, Max=843775, Min=708096, Avg=766601.85, 90=824319, 99=843775, 99.9=843775, 99.99=843775] 
2019-05-21 07:50:07:104 320 sec: 414 operations; 1.3 current ops/sec; est completion in 14 minutes [READ: Count=13, Max=820735, Min=692736, Avg=763608.62, 90=813567, 99=820735, 99.9=820735, 99.99=820735] 
2019-05-21 07:50:17:104 330 sec: 427 operations; 1.3 current ops/sec; est completion in 13 minutes [READ: Count=13, Max=839167, Min=705024, Avg=771761.23, 90=820735, 99=839167, 99.9=839167, 99.99=839167] 
2019-05-21 07:50:27:104 340 sec: 440 operations; 1.3 current ops/sec; est completion in 13 minutes [READ: Count=13, Max=842751, Min=728576, Avg=782592, 90=827903, 99=842751, 99.9=842751, 99.99=842751] 
2019-05-21 07:50:37:104 350 sec: 453 operations; 1.3 current ops/sec; est completion in 13 minutes [READ: Count=13, Max=842751, Min=705536, Avg=764829.54, 90=820223, 99=842751, 99.9=842751, 99.99=842751] 
2019-05-21 07:50:47:104 360 sec: 466 operations; 1.3 current ops/sec; est completion in 13 minutes [READ: Count=13, Max=871423, Min=726016, Avg=772312.62, 90=860159, 99=871423, 99.9=871423, 99.99=871423] 
2019-05-21 07:50:57:104 370 sec: 479 operations; 1.3 current ops/sec; est completion in 13 minutes [READ: Count=13, Max=828927, Min=720384, Avg=760418.46, 90=809983, 99=828927, 99.9=828927, 99.99=828927] 
2019-05-21 07:51:07:104 380 sec: 492 operations; 1.3 current ops/sec; est completion in 12 minutes [READ: Count=13, Max=851455, Min=728064, Avg=776054.15, 90=817151, 99=851455, 99.9=851455, 99.99=851455] 
