[WARN]  Running against a source checkout. In order to get our runtime dependencies we'll have to invoke Maven. Depending on the state of your system, this may take ~30-45 seconds
[DEBUG]  Running 'mvn -pl com.yahoo.ycsb:rest-binding -am package -DskipTests dependency:build-classpath -DincludeScope=compile -Dmdep.outputFilterFile=true'
WARNING: An illegal reflective access operation has occurred
WARNING: Illegal reflective access by com.google.inject.internal.cglib.core.$ReflectUtils$1 (file:/usr/share/maven/lib/guice.jar) to method java.lang.ClassLoader.defineClass(java.lang.String,byte[],int,int,java.security.ProtectionDomain)
WARNING: Please consider reporting this to the maintainers of com.google.inject.internal.cglib.core.$ReflectUtils$1
WARNING: Use --illegal-access=warn to enable warnings of further illegal reflective access operations
WARNING: All illegal access operations will be denied in a future release
java -cp /home/ubuntu/YCSB/rest/conf:/home/ubuntu/YCSB/rest/target/rest-binding-0.16.0-SNAPSHOT.jar:/home/ubuntu/.m2/repository/org/hdrhistogram/HdrHistogram/2.1.4/HdrHistogram-2.1.4.jar:/home/ubuntu/.m2/repository/org/glassfish/hk2/external/javax.inject/2.2.0/javax.inject-2.2.0.jar:/home/ubuntu/.m2/repository/com/github/stefanbirkner/system-rules/1.16.0/system-rules-1.16.0.jar:/home/ubuntu/.m2/repository/org/codehaus/jackson/jackson-core-asl/1.9.4/jackson-core-asl-1.9.4.jar:/home/ubuntu/.m2/repository/org/glassfish/jersey/core/jersey-server/2.6/jersey-server-2.6.jar:/home/ubuntu/YCSB/core/target/core-0.16.0-SNAPSHOT.jar:/home/ubuntu/.m2/repository/org/glassfish/hk2/hk2-api/2.2.0/hk2-api-2.2.0.jar:/home/ubuntu/.m2/repository/javax/ws/rs/javax.ws.rs-api/2.0/javax.ws.rs-api-2.0.jar:/home/ubuntu/.m2/repository/org/glassfish/hk2/hk2-locator/2.2.0/hk2-locator-2.2.0.jar:/home/ubuntu/.m2/repository/org/eclipse/jdt/core/compiler/ecj/4.4.2/ecj-4.4.2.jar:/home/ubuntu/.m2/repository/org/codehaus/jackson/jackson-mapper-asl/1.9.4/jackson-mapper-asl-1.9.4.jar:/home/ubuntu/.m2/repository/org/glassfish/jersey/bundles/repackaged/jersey-guava/2.6/jersey-guava-2.6.jar:/home/ubuntu/.m2/repository/org/glassfish/hk2/external/aopalliance-repackaged/2.2.0/aopalliance-repackaged-2.2.0.jar:/home/ubuntu/.m2/repository/org/javassist/javassist/3.18.1-GA/javassist-3.18.1-GA.jar:/home/ubuntu/.m2/repository/javax/annotation/javax.annotation-api/1.2/javax.annotation-api-1.2.jar:/home/ubuntu/.m2/repository/org/apache/htrace/htrace-core4/4.1.0-incubating/htrace-core4-4.1.0-incubating.jar:/home/ubuntu/.m2/repository/org/apache/tomcat/embed/tomcat-embed-logging-log4j/8.0.28/tomcat-embed-logging-log4j-8.0.28.jar:/home/ubuntu/.m2/repository/org/apache/tomcat/embed/tomcat-embed-el/8.0.28/tomcat-embed-el-8.0.28.jar:/home/ubuntu/.m2/repository/org/apache/tomcat/embed/tomcat-embed-logging-juli/8.0.28/tomcat-embed-logging-juli-8.0.28.jar:/home/ubuntu/.m2/repository/org/apache/tomcat/embed/tomcat-embed-core/8.0.28/tomcat-embed-core-8.0.28.jar:/home/ubuntu/.m2/repository/org/glassfish/hk2/osgi-resource-locator/1.0.1/osgi-resource-locator-1.0.1.jar:/home/ubuntu/.m2/repository/commons-codec/commons-codec/1.9/commons-codec-1.9.jar:/home/ubuntu/.m2/repository/org/glassfish/jersey/core/jersey-client/2.6/jersey-client-2.6.jar:/home/ubuntu/.m2/repository/org/apache/tomcat/embed/tomcat-embed-websocket/8.0.28/tomcat-embed-websocket-8.0.28.jar:/home/ubuntu/.m2/repository/commons-logging/commons-logging/1.2/commons-logging-1.2.jar:/home/ubuntu/.m2/repository/org/glassfish/hk2/hk2-utils/2.2.0/hk2-utils-2.2.0.jar:/home/ubuntu/.m2/repository/javax/validation/validation-api/1.1.0.Final/validation-api-1.1.0.Final.jar:/home/ubuntu/.m2/repository/org/apache/httpcomponents/httpclient/4.5.1/httpclient-4.5.1.jar:/home/ubuntu/.m2/repository/org/apache/tomcat/tomcat-dbcp/8.0.28/tomcat-dbcp-8.0.28.jar:/home/ubuntu/.m2/repository/org/glassfish/jersey/containers/jersey-container-servlet-core/2.6/jersey-container-servlet-core-2.6.jar:/home/ubuntu/.m2/repository/org/apache/tomcat/embed/tomcat-embed-jasper/8.0.28/tomcat-embed-jasper-8.0.28.jar:/home/ubuntu/.m2/repository/org/glassfish/jersey/core/jersey-common/2.6/jersey-common-2.6.jar:/home/ubuntu/.m2/repository/org/apache/httpcomponents/httpcore/4.4.4/httpcore-4.4.4.jar com.yahoo.ycsb.Client -db com.yahoo.ycsb.webservice.rest.RestClient -s -P workloads/rest_workload -t
Command line: -db com.yahoo.ycsb.webservice.rest.RestClient -s -P workloads/rest_workload -t
YCSB Client 0.16.0-SNAPSHOT

Loading workload...
Starting test.
2019-05-21 06:03:15:299 0 sec: 0 operations; est completion in 0 second 
DBWrapper: report latency for each error is false and specific error codes to track for latency are: []
2019-05-21 06:03:25:248 10 sec: 12 operations; 1.2 current ops/sec; est completion in 20 minutes [READ: Count=12, Max=848895, Min=738816, Avg=787157.33, 90=841215, 99=848895, 99.9=848895, 99.99=848895] 
2019-05-21 06:03:35:243 20 sec: 25 operations; 1.3 current ops/sec; est completion in 19 minutes [READ: Count=13, Max=815103, Min=717824, Avg=768295.38, 90=813567, 99=815103, 99.9=815103, 99.99=815103] 
2019-05-21 06:03:45:246 30 sec: 38 operations; 1.3 current ops/sec; est completion in 19 minutes [READ: Count=13, Max=852479, Min=731136, Avg=779323.08, 90=843775, 99=852479, 99.9=852479, 99.99=852479] 
2019-05-21 06:03:55:243 40 sec: 50 operations; 1.2 current ops/sec; est completion in 19 minutes [READ: Count=12, Max=833023, Min=730112, Avg=770901.33, 90=821759, 99=833023, 99.9=833023, 99.99=833023] 
2019-05-21 06:04:05:243 50 sec: 63 operations; 1.3 current ops/sec; est completion in 19 minutes [READ: Count=13, Max=859647, Min=726528, Avg=768728.62, 90=803839, 99=859647, 99.9=859647, 99.99=859647] 
2019-05-21 06:04:15:243 60 sec: 76 operations; 1.3 current ops/sec; est completion in 18 minutes [READ: Count=13, Max=822783, Min=727040, Avg=779165.54, 90=821247, 99=822783, 99.9=822783, 99.99=822783] 
2019-05-21 06:04:25:243 70 sec: 89 operations; 1.3 current ops/sec; est completion in 18 minutes [READ: Count=13, Max=830975, Min=733184, Avg=773179.08, 90=829439, 99=830975, 99.9=830975, 99.99=830975] 
2019-05-21 06:04:35:248 80 sec: 102 operations; 1.3 current ops/sec; est completion in 18 minutes [READ: Count=13, Max=860159, Min=711168, Avg=767350.15, 90=840703, 99=860159, 99.9=860159, 99.99=860159] 
2019-05-21 06:04:45:243 90 sec: 115 operations; 1.3 current ops/sec; est completion in 18 minutes [READ: Count=13, Max=847871, Min=720896, Avg=779441.23, 90=842751, 99=847871, 99.9=847871, 99.99=847871] 
2019-05-21 06:04:55:243 100 sec: 128 operations; 1.3 current ops/sec; est completion in 17 minutes [READ: Count=13, Max=837631, Min=712704, Avg=774006.15, 90=828927, 99=837631, 99.9=837631, 99.99=837631] 
2019-05-21 06:05:05:243 110 sec: 141 operations; 1.3 current ops/sec; est completion in 17 minutes [READ: Count=13, Max=877567, Min=717312, Avg=769713.23, 90=821247, 99=877567, 99.9=877567, 99.99=877567] 
2019-05-21 06:05:15:243 120 sec: 154 operations; 1.3 current ops/sec; est completion in 17 minutes [READ: Count=13, Max=825343, Min=723456, Avg=768098.46, 90=817663, 99=825343, 99.9=825343, 99.99=825343] 
2019-05-21 06:05:25:243 130 sec: 167 operations; 1.3 current ops/sec; est completion in 17 minutes [READ: Count=13, Max=817663, Min=708096, Avg=762072.62, 90=817151, 99=817663, 99.9=817663, 99.99=817663] 
2019-05-21 06:05:35:243 140 sec: 180 operations; 1.3 current ops/sec; est completion in 17 minutes [READ: Count=13, Max=846335, Min=723968, Avg=787948.31, 90=824831, 99=846335, 99.9=846335, 99.99=846335] 
2019-05-21 06:05:45:243 150 sec: 193 operations; 1.3 current ops/sec; est completion in 16 minutes [READ: Count=13, Max=821247, Min=709632, Avg=775502.77, 90=821247, 99=821247, 99.9=821247, 99.99=821247] 
2019-05-21 06:05:55:243 160 sec: 206 operations; 1.3 current ops/sec; est completion in 16 minutes [READ: Count=13, Max=876031, Min=714752, Avg=766404.92, 90=829951, 99=876031, 99.9=876031, 99.99=876031] 
2019-05-21 06:06:05:243 170 sec: 219 operations; 1.3 current ops/sec; est completion in 16 minutes [READ: Count=13, Max=857087, Min=724992, Avg=776644.92, 90=833535, 99=857087, 99.9=857087, 99.99=857087] 
2019-05-21 06:06:15:243 180 sec: 231 operations; 1.2 current ops/sec; est completion in 16 minutes [READ: Count=12, Max=856575, Min=720896, Avg=775850.67, 90=829951, 99=856575, 99.9=856575, 99.99=856575] 
2019-05-21 06:06:25:243 190 sec: 244 operations; 1.3 current ops/sec; est completion in 16 minutes [READ: Count=13, Max=833023, Min=715264, Avg=780701.54, 90=831487, 99=833023, 99.9=833023, 99.99=833023] 
2019-05-21 06:06:35:243 200 sec: 257 operations; 1.3 current ops/sec; est completion in 16 minutes [READ: Count=13, Max=835583, Min=716288, Avg=774360.62, 90=818175, 99=835583, 99.9=835583, 99.99=835583] 
2019-05-21 06:06:45:243 210 sec: 270 operations; 1.3 current ops/sec; est completion in 15 minutes [READ: Count=13, Max=856063, Min=699392, Avg=769870.77, 90=840703, 99=856063, 99.9=856063, 99.99=856063] 
2019-05-21 06:06:55:243 220 sec: 283 operations; 1.3 current ops/sec; est completion in 15 minutes [READ: Count=13, Max=838655, Min=704512, Avg=768216.62, 90=810495, 99=838655, 99.9=838655, 99.99=838655] 
2019-05-21 06:07:05:243 230 sec: 296 operations; 1.3 current ops/sec; est completion in 15 minutes [READ: Count=13, Max=824319, Min=720384, Avg=776132.92, 90=820735, 99=824319, 99.9=824319, 99.99=824319] 
2019-05-21 06:07:15:243 240 sec: 309 operations; 1.3 current ops/sec; est completion in 15 minutes [READ: Count=13, Max=845823, Min=733696, Avg=774754.46, 90=827391, 99=845823, 99.9=845823, 99.99=845823] 
2019-05-21 06:07:25:244 250 sec: 322 operations; 1.3 current ops/sec; est completion in 15 minutes [READ: Count=13, Max=841727, Min=721920, Avg=773060.92, 90=836095, 99=841727, 99.9=841727, 99.99=841727] 
