2019-05-21 01:17:02:790 260 sec: 339 operations; 1.3 current ops/sec; est completion in 14 minutes [READ: Count=13, Max=835071, Min=711680, Avg=764475.08, 90=834047, 99=835071, 99.9=835071, 99.99=835071] 
2019-05-21 01:17:12:790 270 sec: 352 operations; 1.3 current ops/sec; est completion in 14 minutes [READ: Count=13, Max=837119, Min=723456, Avg=766168.62, 90=829439, 99=837119, 99.9=837119, 99.99=837119] 
2019-05-21 01:17:22:790 280 sec: 365 operations; 1.3 current ops/sec; est completion in 14 minutes [READ: Count=13, Max=869887, Min=656384, Avg=754510.77, 90=815615, 99=869887, 99.9=869887, 99.99=869887] 
2019-05-21 01:17:32:791 290 sec: 378 operations; 1.3 current ops/sec; est completion in 14 minutes [READ: Count=13, Max=837119, Min=705536, Avg=764435.69, 90=829951, 99=837119, 99.9=837119, 99.99=837119] 
2019-05-21 01:17:42:790 300 sec: 391 operations; 1.3 current ops/sec; est completion in 14 minutes [READ: Count=13, Max=849407, Min=692736, Avg=767428.92, 90=846847, 99=849407, 99.9=849407, 99.99=849407] 
2019-05-21 01:17:52:790 310 sec: 404 operations; 1.3 current ops/sec; est completion in 14 minutes [READ: Count=13, Max=861695, Min=697856, Avg=775030.15, 90=854015, 99=861695, 99.9=861695, 99.99=861695] 
2019-05-21 01:18:02:791 320 sec: 417 operations; 1.3 current ops/sec; est completion in 13 minutes [READ: Count=13, Max=851455, Min=677888, Avg=760497.23, 90=839679, 99=851455, 99.9=851455, 99.99=851455] 
2019-05-21 01:18:12:791 330 sec: 430 operations; 1.3 current ops/sec; est completion in 13 minutes [READ: Count=13, Max=840191, Min=683520, Avg=758370.46, 90=826367, 99=840191, 99.9=840191, 99.99=840191] 
2019-05-21 01:18:22:791 340 sec: 443 operations; 1.3 current ops/sec; est completion in 13 minutes [READ: Count=13, Max=895487, Min=707072, Avg=762624, 90=820223, 99=895487, 99.9=895487, 99.99=895487] 
2019-05-21 01:18:32:791 350 sec: 456 operations; 1.3 current ops/sec; est completion in 13 minutes [READ: Count=13, Max=873983, Min=694272, Avg=765932.31, 90=833023, 99=873983, 99.9=873983, 99.99=873983] 
2019-05-21 01:18:42:791 360 sec: 470 operations; 1.4 current ops/sec; est completion in 13 minutes [READ: Count=14, Max=873471, Min=691712, Avg=759222.86, 90=812543, 99=873471, 99.9=873471, 99.99=873471] 
2019-05-21 01:18:52:790 370 sec: 483 operations; 1.3 current ops/sec; est completion in 13 minutes [READ: Count=13, Max=821759, Min=728576, Avg=766877.54, 90=813055, 99=821759, 99.9=821759, 99.99=821759] 
2019-05-21 01:19:02:791 380 sec: 496 operations; 1.3 current ops/sec; est completion in 12 minutes [READ: Count=13, Max=842751, Min=712192, Avg=766168.62, 90=830463, 99=842751, 99.9=842751, 99.99=842751] 
2019-05-21 01:19:12:790 390 sec: 509 operations; 1.3 current ops/sec; est completion in 12 minutes [READ: Count=13, Max=835071, Min=698368, Avg=763726.77, 90=811519, 99=835071, 99.9=835071, 99.99=835071] 
2019-05-21 01:19:22:790 400 sec: 522 operations; 1.3 current ops/sec; est completion in 12 minutes [READ: Count=13, Max=841727, Min=708608, Avg=760654.77, 90=815103, 99=841727, 99.9=841727, 99.99=841727] 
2019-05-21 01:19:32:790 410 sec: 535 operations; 1.3 current ops/sec; est completion in 12 minutes [READ: Count=13, Max=801791, Min=692224, Avg=762702.77, 90=798207, 99=801791, 99.9=801791, 99.99=801791] 
2019-05-21 01:19:42:790 420 sec: 548 operations; 1.3 current ops/sec; est completion in 12 minutes [READ: Count=13, Max=821759, Min=719360, Avg=767744, 90=820735, 99=821759, 99.9=821759, 99.99=821759] 
2019-05-21 01:19:52:790 430 sec: 561 operations; 1.3 current ops/sec; est completion in 12 minutes [READ: Count=13, Max=844799, Min=704512, Avg=766129.23, 90=814591, 99=844799, 99.9=844799, 99.99=844799] 
