2019-05-20 23:46:14:928 260 sec: 337 operations; 1.3 current ops/sec; est completion in 14 minutes [READ: Count=13, Max=822783, Min=716288, Avg=767428.92, 90=822783, 99=822783, 99.9=822783, 99.99=822783] 
2019-05-20 23:46:24:928 270 sec: 351 operations; 1.4 current ops/sec; est completion in 14 minutes [READ: Count=14, Max=832511, Min=719872, Avg=757942.86, 90=799231, 99=832511, 99.9=832511, 99.99=832511] 
2019-05-20 23:46:34:927 280 sec: 363 operations; 1.2 current ops/sec; est completion in 14 minutes [READ: Count=12, Max=868351, Min=708608, Avg=768810.67, 90=819711, 99=868351, 99.9=868351, 99.99=868351] 
2019-05-20 23:46:44:927 290 sec: 377 operations; 1.4 current ops/sec; est completion in 14 minutes [READ: Count=14, Max=833023, Min=720896, Avg=770267.43, 90=822783, 99=833023, 99.9=833023, 99.99=833023] 
2019-05-20 23:46:54:927 300 sec: 390 operations; 1.3 current ops/sec; est completion in 14 minutes [READ: Count=13, Max=837119, Min=719872, Avg=762112, 90=820735, 99=837119, 99.9=837119, 99.99=837119] 
2019-05-20 23:47:04:927 310 sec: 403 operations; 1.3 current ops/sec; est completion in 14 minutes [READ: Count=13, Max=814079, Min=702464, Avg=763451.08, 90=810495, 99=814079, 99.9=814079, 99.99=814079] 
2019-05-20 23:47:14:927 320 sec: 416 operations; 1.3 current ops/sec; est completion in 13 minutes [READ: Count=13, Max=829951, Min=716800, Avg=772706.46, 90=818687, 99=829951, 99.9=829951, 99.99=829951] 
2019-05-20 23:47:24:928 330 sec: 429 operations; 1.3 current ops/sec; est completion in 13 minutes [READ: Count=13, Max=835071, Min=700416, Avg=761442.46, 90=827903, 99=835071, 99.9=835071, 99.99=835071] 
2019-05-20 23:47:34:928 340 sec: 442 operations; 1.3 current ops/sec; est completion in 13 minutes [READ: Count=13, Max=835071, Min=706560, Avg=759000.62, 90=825343, 99=835071, 99.9=835071, 99.99=835071] 
2019-05-20 23:47:44:928 350 sec: 455 operations; 1.3 current ops/sec; est completion in 13 minutes [READ: Count=13, Max=815615, Min=709120, Avg=756322.46, 90=808959, 99=815615, 99.9=815615, 99.99=815615] 
2019-05-20 23:47:54:927 360 sec: 468 operations; 1.3 current ops/sec; est completion in 13 minutes [READ: Count=13, Max=861183, Min=709632, Avg=771170.46, 90=825343, 99=861183, 99.9=861183, 99.99=861183] 
2019-05-20 23:48:04:928 370 sec: 481 operations; 1.3 current ops/sec; est completion in 13 minutes [READ: Count=13, Max=823295, Min=711680, Avg=764711.38, 90=819711, 99=823295, 99.9=823295, 99.99=823295] 
2019-05-20 23:48:14:929 380 sec: 494 operations; 1.3 current ops/sec; est completion in 12 minutes [READ: Count=13, Max=805887, Min=720384, Avg=758685.54, 90=805887, 99=805887, 99.9=805887, 99.99=805887] 
2019-05-20 23:48:24:927 390 sec: 507 operations; 1.3 current ops/sec; est completion in 12 minutes [READ: Count=13, Max=831487, Min=715264, Avg=762820.92, 90=822271, 99=831487, 99.9=831487, 99.99=831487] 
2019-05-20 23:48:34:927 400 sec: 520 operations; 1.3 current ops/sec; est completion in 12 minutes [READ: Count=13, Max=845311, Min=706048, Avg=774596.92, 90=844799, 99=845311, 99.9=845311, 99.99=845311] 
