1557613970.653;200;0.206;0.204
1557613970.888;200;0.204;0.204
1557613971.105;200;0.213;0.212
1557613971.353;200;0.228;0.228
1557613971.562;200;0.206;0.208
1557613971.765;200;0.199;0.200
1557613971.980;200;0.211;0.212
1557613972.205;200;0.221;0.224
1557613972.404;200;0.195;0.196
1557613972.616;200;0.209;0.208
1557613972.826;200;0.207;0.208
1557613973.062;200;0.232;0.232
1557613973.259;200;0.194;0.192
1557613973.464;200;0.202;0.200
1557613973.685;200;0.216;0.216
1557613973.914;200;0.225;0.224
1557613974.137;200;0.219;0.220
1557613974.344;200;0.202;0.200
1557613974.569;200;0.222;0.220
1557613974.792;200;0.219;0.220
1557613974.995;200;0.200;0.200
1557613975.211;200;0.213;0.212
1557613975.424;200;0.209;0.208
1557613975.654;200;0.227;0.228
1557613975.856;200;0.199;0.200
1557613976.059;200;0.199;0.200
1557613976.276;200;0.214;0.212
1557613976.520;200;0.241;0.240
1557613976.739;200;0.213;0.212
1557613976.946;200;0.204;0.204
1557613977.150;200;0.200;0.200
1557613977.373;200;0.216;0.216
1557613977.574;200;0.197;0.200
1557613977.780;200;0.203;0.204
1557613977.989;200;0.206;0.204
1557613978.218;200;0.222;0.224
1557613978.422;200;0.201;0.200
1557613978.636;200;0.209;0.208
1557613978.858;200;0.213;0.216
1557613979.082;200;0.221;0.220
1557613979.282;200;0.192;0.192
1557613979.484;200;0.200;0.200
1557613979.702;200;0.215;0.216
1557613979.929;200;0.223;0.224
1557613980.129;200;0.197;0.200
1557613980.337;200;0.204;0.208
1557613980.557;200;0.217;0.216
1557613980.797;200;0.237;0.240
1557613981.002;200;0.202;0.204
1557613981.201;200;0.196;0.200
1557613981.406;200;0.203;0.204
1557613981.661;200;0.253;0.252
1557613981.853;200;0.189;0.192
1557613982.061;200;0.204;0.208
1557613982.266;200;0.202;0.204
1557613982.495;200;0.226;0.228
1557613982.701;200;0.203;0.200
1557613982.908;200;0.204;0.204
1557613983.122;200;0.211;0.212
1557613983.361;200;0.236;0.232
1557613983.564;200;0.200;0.200
1557613983.769;200;0.203;0.204
1557613983.979;200;0.206;0.208
1557613984.209;200;0.227;0.228
1557613984.412;200;0.200;0.200
1557613984.613;200;0.198;0.196
1557613984.822;200;0.206;0.208
1557613985.039;200;0.214;0.216
1557613985.245;200;0.203;0.204
1557613985.457;200;0.208;0.208
1557613985.684;200;0.225;0.224
1557613985.910;200;0.224;0.224
1557613986.111;200;0.198;0.196
1557613986.314;200;0.200;0.200
1557613986.536;200;0.218;0.216
1557613986.769;200;0.231;0.232
1557613986.964;200;0.192;0.192
1557613987.173;200;0.206;0.208
1557613987.389;200;0.212;0.212
1557613987.612;200;0.221;0.220
1557613987.808;200;0.194;0.192
1557613988.008;200;0.198;0.196
1557613988.230;200;0.217;0.216
1557613988.449;200;0.216;0.220
1557613988.656;200;0.203;0.204
1557613988.864;200;0.203;0.204
1557613989.067;200;0.199;0.200
1557613989.292;200;0.223;0.220
1557613989.489;200;0.195;0.192
1557613989.689;200;0.197;0.200
1557613989.897;200;0.205;0.208
1557613990.121;200;0.221;0.220
1557613990.321;200;0.196;0.196
1557613990.526;200;0.202;0.204
1557613990.736;200;0.207;0.208
1557613990.964;200;0.226;0.224
1557613991.169;200;0.203;0.204
1557613991.372;200;0.200;0.200
1557613991.588;200;0.214;0.212
1557613991.814;200;0.224;0.224
1557613992.016;200;0.196;0.196
1557613992.218;200;0.199;0.200
1557613992.434;200;0.214;0.216
1557613992.654;200;0.218;0.220
1557613992.860;200;0.203;0.200
1557613993.067;200;0.204;0.204
1557613993.270;200;0.201;0.200
1557613993.485;200;0.212;0.212
1557613993.692;200;0.205;0.204
1557613993.904;200;0.196;0.196
