[WARN]  Running against a source checkout. In order to get our runtime dependencies we'll have to invoke Maven. Depending on the state of your system, this may take ~30-45 seconds
[DEBUG]  Running 'mvn -pl com.yahoo.ycsb:rest-binding -am package -DskipTests dependency:build-classpath -DincludeScope=compile -Dmdep.outputFilterFile=true'
WARNING: An illegal reflective access operation has occurred
WARNING: Illegal reflective access by com.google.inject.internal.cglib.core.$ReflectUtils$1 (file:/usr/share/maven/lib/guice.jar) to method java.lang.ClassLoader.defineClass(java.lang.String,byte[],int,int,java.security.ProtectionDomain)
WARNING: Please consider reporting this to the maintainers of com.google.inject.internal.cglib.core.$ReflectUtils$1
WARNING: Use --illegal-access=warn to enable warnings of further illegal reflective access operations
WARNING: All illegal access operations will be denied in a future release
java -cp /home/ubuntu/YCSB/rest/conf:/home/ubuntu/YCSB/rest/target/rest-binding-0.16.0-SNAPSHOT.jar:/home/ubuntu/.m2/repository/org/hdrhistogram/HdrHistogram/2.1.4/HdrHistogram-2.1.4.jar:/home/ubuntu/.m2/repository/org/glassfish/hk2/external/javax.inject/2.2.0/javax.inject-2.2.0.jar:/home/ubuntu/.m2/repository/com/github/stefanbirkner/system-rules/1.16.0/system-rules-1.16.0.jar:/home/ubuntu/.m2/repository/org/codehaus/jackson/jackson-core-asl/1.9.4/jackson-core-asl-1.9.4.jar:/home/ubuntu/.m2/repository/org/glassfish/jersey/core/jersey-server/2.6/jersey-server-2.6.jar:/home/ubuntu/YCSB/core/target/core-0.16.0-SNAPSHOT.jar:/home/ubuntu/.m2/repository/org/glassfish/hk2/hk2-api/2.2.0/hk2-api-2.2.0.jar:/home/ubuntu/.m2/repository/javax/ws/rs/javax.ws.rs-api/2.0/javax.ws.rs-api-2.0.jar:/home/ubuntu/.m2/repository/org/glassfish/hk2/hk2-locator/2.2.0/hk2-locator-2.2.0.jar:/home/ubuntu/.m2/repository/org/eclipse/jdt/core/compiler/ecj/4.4.2/ecj-4.4.2.jar:/home/ubuntu/.m2/repository/org/codehaus/jackson/jackson-mapper-asl/1.9.4/jackson-mapper-asl-1.9.4.jar:/home/ubuntu/.m2/repository/org/glassfish/jersey/bundles/repackaged/jersey-guava/2.6/jersey-guava-2.6.jar:/home/ubuntu/.m2/repository/org/glassfish/hk2/external/aopalliance-repackaged/2.2.0/aopalliance-repackaged-2.2.0.jar:/home/ubuntu/.m2/repository/org/javassist/javassist/3.18.1-GA/javassist-3.18.1-GA.jar:/home/ubuntu/.m2/repository/javax/annotation/javax.annotation-api/1.2/javax.annotation-api-1.2.jar:/home/ubuntu/.m2/repository/org/apache/htrace/htrace-core4/4.1.0-incubating/htrace-core4-4.1.0-incubating.jar:/home/ubuntu/.m2/repository/org/apache/tomcat/embed/tomcat-embed-logging-log4j/8.0.28/tomcat-embed-logging-log4j-8.0.28.jar:/home/ubuntu/.m2/repository/org/apache/tomcat/embed/tomcat-embed-el/8.0.28/tomcat-embed-el-8.0.28.jar:/home/ubuntu/.m2/repository/org/apache/tomcat/embed/tomcat-embed-logging-juli/8.0.28/tomcat-embed-logging-juli-8.0.28.jar:/home/ubuntu/.m2/repository/org/apache/tomcat/embed/tomcat-embed-core/8.0.28/tomcat-embed-core-8.0.28.jar:/home/ubuntu/.m2/repository/org/glassfish/hk2/osgi-resource-locator/1.0.1/osgi-resource-locator-1.0.1.jar:/home/ubuntu/.m2/repository/commons-codec/commons-codec/1.9/commons-codec-1.9.jar:/home/ubuntu/.m2/repository/org/glassfish/jersey/core/jersey-client/2.6/jersey-client-2.6.jar:/home/ubuntu/.m2/repository/org/apache/tomcat/embed/tomcat-embed-websocket/8.0.28/tomcat-embed-websocket-8.0.28.jar:/home/ubuntu/.m2/repository/commons-logging/commons-logging/1.2/commons-logging-1.2.jar:/home/ubuntu/.m2/repository/org/glassfish/hk2/hk2-utils/2.2.0/hk2-utils-2.2.0.jar:/home/ubuntu/.m2/repository/javax/validation/validation-api/1.1.0.Final/validation-api-1.1.0.Final.jar:/home/ubuntu/.m2/repository/org/apache/httpcomponents/httpclient/4.5.1/httpclient-4.5.1.jar:/home/ubuntu/.m2/repository/org/apache/tomcat/tomcat-dbcp/8.0.28/tomcat-dbcp-8.0.28.jar:/home/ubuntu/.m2/repository/org/glassfish/jersey/containers/jersey-container-servlet-core/2.6/jersey-container-servlet-core-2.6.jar:/home/ubuntu/.m2/repository/org/apache/tomcat/embed/tomcat-embed-jasper/8.0.28/tomcat-embed-jasper-8.0.28.jar:/home/ubuntu/.m2/repository/org/glassfish/jersey/core/jersey-common/2.6/jersey-common-2.6.jar:/home/ubuntu/.m2/repository/org/apache/httpcomponents/httpcore/4.4.4/httpcore-4.4.4.jar com.yahoo.ycsb.Client -db com.yahoo.ycsb.webservice.rest.RestClient -s -P workloads/rest_workload -t
Command line: -db com.yahoo.ycsb.webservice.rest.RestClient -s -P workloads/rest_workload -t
YCSB Client 0.16.0-SNAPSHOT

Loading workload...
Starting test.
2019-05-20 22:26:33:378 0 sec: 0 operations; est completion in 0 second 
DBWrapper: report latency for each error is false and specific error codes to track for latency are: []
2019-05-20 22:26:43:329 10 sec: 12 operations; 1.2 current ops/sec; est completion in 27 minutes [READ: Count=12, Max=859647, Min=730624, Avg=781994.67, 90=842751, 99=859647, 99.9=859647, 99.99=859647] 
2019-05-20 22:26:53:327 20 sec: 25 operations; 1.3 current ops/sec; est completion in 26 minutes [READ: Count=13, Max=824319, Min=718336, Avg=768571.08, 90=818687, 99=824319, 99.9=824319, 99.99=824319] 
2019-05-20 22:27:03:327 30 sec: 38 operations; 1.3 current ops/sec; est completion in 25 minutes [READ: Count=13, Max=850943, Min=723456, Avg=775069.54, 90=846847, 99=850943, 99.9=850943, 99.99=850943] 
2019-05-20 22:27:13:327 40 sec: 51 operations; 1.3 current ops/sec; est completion in 25 minutes [READ: Count=13, Max=859135, Min=728064, Avg=773454.77, 90=839167, 99=859135, 99.9=859135, 99.99=859135] 
2019-05-20 22:27:23:327 50 sec: 64 operations; 1.3 current ops/sec; est completion in 25 minutes [READ: Count=13, Max=836607, Min=699904, Avg=762939.08, 90=814079, 99=836607, 99.9=836607, 99.99=836607] 
2019-05-20 22:27:33:327 60 sec: 77 operations; 1.3 current ops/sec; est completion in 24 minutes [READ: Count=13, Max=872447, Min=718848, Avg=769949.54, 90=828927, 99=872447, 99.9=872447, 99.99=872447] 
2019-05-20 22:27:43:327 70 sec: 90 operations; 1.3 current ops/sec; est completion in 24 minutes [READ: Count=13, Max=830463, Min=696320, Avg=756204.31, 90=812543, 99=830463, 99.9=830463, 99.99=830463] 
2019-05-20 22:27:53:327 80 sec: 103 operations; 1.3 current ops/sec; est completion in 24 minutes [READ: Count=13, Max=850431, Min=709632, Avg=773612.31, 90=835583, 99=850431, 99.9=850431, 99.99=850431] 
2019-05-20 22:28:03:327 90 sec: 116 operations; 1.3 current ops/sec; est completion in 24 minutes [READ: Count=13, Max=835071, Min=714240, Avg=773927.38, 90=834047, 99=835071, 99.9=835071, 99.99=835071] 
2019-05-20 22:28:13:327 100 sec: 129 operations; 1.3 current ops/sec; est completion in 24 minutes [READ: Count=13, Max=821759, Min=719360, Avg=761324.31, 90=816127, 99=821759, 99.9=821759, 99.99=821759] 
2019-05-20 22:28:23:327 110 sec: 142 operations; 1.3 current ops/sec; est completion in 24 minutes [READ: Count=13, Max=837631, Min=698880, Avg=753565.54, 90=812031, 99=837631, 99.9=837631, 99.99=837631] 
2019-05-20 22:28:33:327 120 sec: 155 operations; 1.3 current ops/sec; est completion in 23 minutes [READ: Count=13, Max=849919, Min=700928, Avg=762112, 90=820223, 99=849919, 99.9=849919, 99.99=849919] 
2019-05-20 22:28:43:331 130 sec: 168 operations; 1.3 current ops/sec; est completion in 23 minutes [READ: Count=13, Max=850431, Min=708096, Avg=764632.62, 90=823295, 99=850431, 99.9=850431, 99.99=850431] 
2019-05-20 22:28:53:327 140 sec: 181 operations; 1.3 current ops/sec; est completion in 23 minutes [READ: Count=13, Max=808447, Min=711168, Avg=753565.54, 90=796671, 99=808447, 99.9=808447, 99.99=808447] 
2019-05-20 22:29:03:327 150 sec: 195 operations; 1.4 current ops/sec; est completion in 23 minutes [READ: Count=14, Max=836607, Min=729088, Avg=766720, 90=812031, 99=836607, 99.9=836607, 99.99=836607] 
2019-05-20 22:29:13:327 160 sec: 208 operations; 1.3 current ops/sec; est completion in 22 minutes [READ: Count=13, Max=813055, Min=696832, Avg=759985.23, 90=799743, 99=813055, 99.9=813055, 99.99=813055] 
2019-05-20 22:29:23:327 170 sec: 221 operations; 1.3 current ops/sec; est completion in 22 minutes [READ: Count=13, Max=813055, Min=710656, Avg=757031.38, 90=794111, 99=813055, 99.9=813055, 99.99=813055] 
2019-05-20 22:29:33:327 180 sec: 234 operations; 1.3 current ops/sec; est completion in 22 minutes [READ: Count=13, Max=872447, Min=712704, Avg=752344.62, 90=800767, 99=872447, 99.9=872447, 99.99=872447] 
2019-05-20 22:29:43:327 190 sec: 247 operations; 1.3 current ops/sec; est completion in 22 minutes [READ: Count=13, Max=811007, Min=700928, Avg=752541.54, 90=802815, 99=811007, 99.9=811007, 99.99=811007] 
2019-05-20 22:29:53:327 200 sec: 260 operations; 1.3 current ops/sec; est completion in 22 minutes [READ: Count=13, Max=869887, Min=698880, Avg=771918.77, 90=844799, 99=869887, 99.9=869887, 99.99=869887] 
2019-05-20 22:30:03:327 210 sec: 273 operations; 1.3 current ops/sec; est completion in 22 minutes [READ: Count=13, Max=858623, Min=700416, Avg=768137.85, 90=824319, 99=858623, 99.9=858623, 99.99=858623] 
2019-05-20 22:30:13:326 220 sec: 287 operations; 1.4 current ops/sec; est completion in 21 minutes [READ: Count=14, Max=814079, Min=686592, Avg=756772.57, 90=800255, 99=814079, 99.9=814079, 99.99=814079] 
2019-05-20 22:30:23:327 230 sec: 300 operations; 1.3 current ops/sec; est completion in 21 minutes [READ: Count=13, Max=803327, Min=713216, Avg=758488.62, 90=801791, 99=803327, 99.9=803327, 99.99=803327] 
2019-05-20 22:30:33:327 240 sec: 313 operations; 1.3 current ops/sec; est completion in 21 minutes [READ: Count=13, Max=839679, Min=710656, Avg=754707.69, 90=821759, 99=839679, 99.9=839679, 99.99=839679] 
2019-05-20 22:30:43:327 250 sec: 326 operations; 1.3 current ops/sec; est completion in 21 minutes [READ: Count=13, Max=817663, Min=708096, Avg=758094.77, 90=810495, 99=817663, 99.9=817663, 99.99=817663] 
