[WARN]  Running against a source checkout. In order to get our runtime dependencies we'll have to invoke Maven. Depending on the state of your system, this may take ~30-45 seconds
[DEBUG]  Running 'mvn -pl com.yahoo.ycsb:rest-binding -am package -DskipTests dependency:build-classpath -DincludeScope=compile -Dmdep.outputFilterFile=true'
WARNING: An illegal reflective access operation has occurred
WARNING: Illegal reflective access by com.google.inject.internal.cglib.core.$ReflectUtils$1 (file:/usr/share/maven/lib/guice.jar) to method java.lang.ClassLoader.defineClass(java.lang.String,byte[],int,int,java.security.ProtectionDomain)
WARNING: Please consider reporting this to the maintainers of com.google.inject.internal.cglib.core.$ReflectUtils$1
WARNING: Use --illegal-access=warn to enable warnings of further illegal reflective access operations
WARNING: All illegal access operations will be denied in a future release
java -cp /home/ubuntu/YCSB/rest/conf:/home/ubuntu/YCSB/rest/target/rest-binding-0.16.0-SNAPSHOT.jar:/home/ubuntu/.m2/repository/org/hdrhistogram/HdrHistogram/2.1.4/HdrHistogram-2.1.4.jar:/home/ubuntu/.m2/repository/org/glassfish/hk2/external/javax.inject/2.2.0/javax.inject-2.2.0.jar:/home/ubuntu/.m2/repository/com/github/stefanbirkner/system-rules/1.16.0/system-rules-1.16.0.jar:/home/ubuntu/.m2/repository/org/codehaus/jackson/jackson-core-asl/1.9.4/jackson-core-asl-1.9.4.jar:/home/ubuntu/.m2/repository/org/glassfish/jersey/core/jersey-server/2.6/jersey-server-2.6.jar:/home/ubuntu/YCSB/core/target/core-0.16.0-SNAPSHOT.jar:/home/ubuntu/.m2/repository/org/glassfish/hk2/hk2-api/2.2.0/hk2-api-2.2.0.jar:/home/ubuntu/.m2/repository/javax/ws/rs/javax.ws.rs-api/2.0/javax.ws.rs-api-2.0.jar:/home/ubuntu/.m2/repository/org/glassfish/hk2/hk2-locator/2.2.0/hk2-locator-2.2.0.jar:/home/ubuntu/.m2/repository/org/eclipse/jdt/core/compiler/ecj/4.4.2/ecj-4.4.2.jar:/home/ubuntu/.m2/repository/org/codehaus/jackson/jackson-mapper-asl/1.9.4/jackson-mapper-asl-1.9.4.jar:/home/ubuntu/.m2/repository/org/glassfish/jersey/bundles/repackaged/jersey-guava/2.6/jersey-guava-2.6.jar:/home/ubuntu/.m2/repository/org/glassfish/hk2/external/aopalliance-repackaged/2.2.0/aopalliance-repackaged-2.2.0.jar:/home/ubuntu/.m2/repository/org/javassist/javassist/3.18.1-GA/javassist-3.18.1-GA.jar:/home/ubuntu/.m2/repository/javax/annotation/javax.annotation-api/1.2/javax.annotation-api-1.2.jar:/home/ubuntu/.m2/repository/org/apache/htrace/htrace-core4/4.1.0-incubating/htrace-core4-4.1.0-incubating.jar:/home/ubuntu/.m2/repository/org/apache/tomcat/embed/tomcat-embed-logging-log4j/8.0.28/tomcat-embed-logging-log4j-8.0.28.jar:/home/ubuntu/.m2/repository/org/apache/tomcat/embed/tomcat-embed-el/8.0.28/tomcat-embed-el-8.0.28.jar:/home/ubuntu/.m2/repository/org/apache/tomcat/embed/tomcat-embed-logging-juli/8.0.28/tomcat-embed-logging-juli-8.0.28.jar:/home/ubuntu/.m2/repository/org/apache/tomcat/embed/tomcat-embed-core/8.0.28/tomcat-embed-core-8.0.28.jar:/home/ubuntu/.m2/repository/org/glassfish/hk2/osgi-resource-locator/1.0.1/osgi-resource-locator-1.0.1.jar:/home/ubuntu/.m2/repository/commons-codec/commons-codec/1.9/commons-codec-1.9.jar:/home/ubuntu/.m2/repository/org/glassfish/jersey/core/jersey-client/2.6/jersey-client-2.6.jar:/home/ubuntu/.m2/repository/org/apache/tomcat/embed/tomcat-embed-websocket/8.0.28/tomcat-embed-websocket-8.0.28.jar:/home/ubuntu/.m2/repository/commons-logging/commons-logging/1.2/commons-logging-1.2.jar:/home/ubuntu/.m2/repository/org/glassfish/hk2/hk2-utils/2.2.0/hk2-utils-2.2.0.jar:/home/ubuntu/.m2/repository/javax/validation/validation-api/1.1.0.Final/validation-api-1.1.0.Final.jar:/home/ubuntu/.m2/repository/org/apache/httpcomponents/httpclient/4.5.1/httpclient-4.5.1.jar:/home/ubuntu/.m2/repository/org/apache/tomcat/tomcat-dbcp/8.0.28/tomcat-dbcp-8.0.28.jar:/home/ubuntu/.m2/repository/org/glassfish/jersey/containers/jersey-container-servlet-core/2.6/jersey-container-servlet-core-2.6.jar:/home/ubuntu/.m2/repository/org/apache/tomcat/embed/tomcat-embed-jasper/8.0.28/tomcat-embed-jasper-8.0.28.jar:/home/ubuntu/.m2/repository/org/glassfish/jersey/core/jersey-common/2.6/jersey-common-2.6.jar:/home/ubuntu/.m2/repository/org/apache/httpcomponents/httpcore/4.4.4/httpcore-4.4.4.jar com.yahoo.ycsb.Client -db com.yahoo.ycsb.webservice.rest.RestClient -s -P workloads/rest_workload -t
Command line: -db com.yahoo.ycsb.webservice.rest.RestClient -s -P workloads/rest_workload -t
YCSB Client 0.16.0-SNAPSHOT

Loading workload...
Starting test.
2019-05-22 05:31:55:537 0 sec: 0 operations; est completion in 0 second 
DBWrapper: report latency for each error is false and specific error codes to track for latency are: []
2019-05-22 05:32:05:484 10 sec: 12 operations; 1.2 current ops/sec; est completion in 20 minutes [READ: Count=12, Max=856063, Min=708608, Avg=785834.67, 90=844799, 99=856063, 99.9=856063, 99.99=856063] 
2019-05-22 05:32:15:484 20 sec: 25 operations; 1.3 current ops/sec; est completion in 19 minutes [READ: Count=13, Max=916991, Min=698880, Avg=778889.85, 90=831487, 99=916991, 99.9=916991, 99.99=916991] 
2019-05-22 05:32:25:484 30 sec: 38 operations; 1.3 current ops/sec; est completion in 19 minutes [READ: Count=13, Max=881151, Min=707584, Avg=770264.62, 90=814591, 99=881151, 99.9=881151, 99.99=881151] 
2019-05-22 05:32:35:484 40 sec: 50 operations; 1.2 current ops/sec; est completion in 19 minutes [READ: Count=12, Max=836607, Min=731136, Avg=780501.33, 90=835583, 99=836607, 99.9=836607, 99.99=836607] 
2019-05-22 05:32:45:484 50 sec: 63 operations; 1.3 current ops/sec; est completion in 19 minutes [READ: Count=13, Max=819711, Min=712704, Avg=763372.31, 90=805375, 99=819711, 99.9=819711, 99.99=819711] 
2019-05-22 05:32:55:484 60 sec: 76 operations; 1.3 current ops/sec; est completion in 18 minutes [READ: Count=13, Max=840191, Min=712704, Avg=768728.62, 90=836095, 99=840191, 99.9=840191, 99.99=840191] 
2019-05-22 05:33:05:485 70 sec: 89 operations; 1.3 current ops/sec; est completion in 18 minutes [READ: Count=13, Max=847359, Min=709632, Avg=773100.31, 90=836095, 99=847359, 99.9=847359, 99.99=847359] 
2019-05-22 05:33:15:484 80 sec: 102 operations; 1.3 current ops/sec; est completion in 18 minutes [READ: Count=13, Max=819199, Min=722432, Avg=767625.85, 90=810495, 99=819199, 99.9=819199, 99.99=819199] 
2019-05-22 05:33:25:484 90 sec: 115 operations; 1.3 current ops/sec; est completion in 18 minutes [READ: Count=13, Max=879615, Min=691712, Avg=781213.54, 90=867327, 99=879615, 99.9=879615, 99.99=879615] 
2019-05-22 05:33:35:485 100 sec: 128 operations; 1.3 current ops/sec; est completion in 17 minutes [READ: Count=13, Max=839167, Min=717312, Avg=771643.08, 90=839167, 99=839167, 99.9=839167, 99.99=839167] 
2019-05-22 05:33:45:484 110 sec: 141 operations; 1.3 current ops/sec; est completion in 17 minutes [READ: Count=13, Max=824319, Min=723968, Avg=761009.23, 90=810495, 99=824319, 99.9=824319, 99.99=824319] 
2019-05-22 05:33:55:484 120 sec: 154 operations; 1.3 current ops/sec; est completion in 17 minutes [READ: Count=13, Max=860159, Min=732672, Avg=776605.54, 90=820223, 99=860159, 99.9=860159, 99.99=860159] 
2019-05-22 05:34:05:484 130 sec: 167 operations; 1.3 current ops/sec; est completion in 17 minutes [READ: Count=13, Max=856575, Min=714752, Avg=770619.08, 90=833023, 99=856575, 99.9=856575, 99.99=856575] 
2019-05-22 05:34:15:485 140 sec: 180 operations; 1.3 current ops/sec; est completion in 17 minutes [READ: Count=13, Max=851967, Min=717824, Avg=776487.38, 90=834047, 99=851967, 99.9=851967, 99.99=851967] 
2019-05-22 05:34:25:484 150 sec: 193 operations; 1.3 current ops/sec; est completion in 16 minutes [READ: Count=13, Max=851455, Min=721920, Avg=762112, 90=814591, 99=851455, 99.9=851455, 99.99=851455] 
2019-05-22 05:34:35:486 160 sec: 206 operations; 1.3 current ops/sec; est completion in 16 minutes [READ: Count=13, Max=833023, Min=689152, Avg=761363.69, 90=817663, 99=833023, 99.9=833023, 99.99=833023] 
2019-05-22 05:34:45:484 170 sec: 219 operations; 1.3 current ops/sec; est completion in 16 minutes [READ: Count=13, Max=831999, Min=714752, Avg=763648, 90=819199, 99=831999, 99.9=831999, 99.99=831999] 
2019-05-22 05:34:55:484 180 sec: 232 operations; 1.3 current ops/sec; est completion in 16 minutes [READ: Count=13, Max=856063, Min=711168, Avg=761836.31, 90=825855, 99=856063, 99.9=856063, 99.99=856063] 
2019-05-22 05:35:05:485 190 sec: 246 operations; 1.4 current ops/sec; est completion in 16 minutes [READ: Count=14, Max=822783, Min=721920, Avg=762002.29, 90=815103, 99=822783, 99.9=822783, 99.99=822783] 
2019-05-22 05:35:15:485 200 sec: 258 operations; 1.2 current ops/sec; est completion in 16 minutes [READ: Count=12, Max=850943, Min=706560, Avg=774997.33, 90=842751, 99=850943, 99.9=850943, 99.99=850943] 
2019-05-22 05:35:25:484 210 sec: 271 operations; 1.3 current ops/sec; est completion in 15 minutes [READ: Count=13, Max=876543, Min=711680, Avg=778102.15, 90=840191, 99=876543, 99.9=876543, 99.99=876543] 
2019-05-22 05:35:35:485 220 sec: 284 operations; 1.3 current ops/sec; est completion in 15 minutes [READ: Count=13, Max=829951, Min=732160, Avg=775266.46, 90=824319, 99=829951, 99.9=829951, 99.99=829951] 
2019-05-22 05:35:45:484 230 sec: 297 operations; 1.3 current ops/sec; est completion in 15 minutes [READ: Count=13, Max=845823, Min=714752, Avg=773769.85, 90=827903, 99=845823, 99.9=845823, 99.99=845823] 
2019-05-22 05:35:55:484 240 sec: 310 operations; 1.3 current ops/sec; est completion in 15 minutes [READ: Count=13, Max=882175, Min=711168, Avg=771721.85, 90=842239, 99=882175, 99.9=882175, 99.99=882175] 
2019-05-22 05:36:05:484 250 sec: 323 operations; 1.3 current ops/sec; est completion in 15 minutes [READ: Count=13, Max=855039, Min=731648, Avg=776487.38, 90=835583, 99=855039, 99.9=855039, 99.99=855039] 
