2019-05-30 21:58:47:766 260 sec: 318 operations; 1.2 current ops/sec; est completion in 16 minutes [READ: Count=12, Max=934911, Min=736256, Avg=815957.33, 90=900607, 99=934911, 99.9=934911, 99.99=934911] 
2019-05-30 21:58:57:766 270 sec: 330 operations; 1.2 current ops/sec; est completion in 15 minutes [READ: Count=12, Max=927231, Min=723968, Avg=813824, 90=871935, 99=927231, 99.9=927231, 99.99=927231] 
2019-05-30 21:59:07:766 280 sec: 342 operations; 1.2 current ops/sec; est completion in 15 minutes [READ: Count=12, Max=945663, Min=751104, Avg=829397.33, 90=883199, 99=945663, 99.9=945663, 99.99=945663] 
2019-05-30 21:59:17:767 290 sec: 355 operations; 1.3 current ops/sec; est completion in 15 minutes [READ: Count=13, Max=893439, Min=751616, Avg=803268.92, 90=870911, 99=893439, 99.9=893439, 99.99=893439] 
2019-05-30 21:59:27:766 300 sec: 367 operations; 1.2 current ops/sec; est completion in 15 minutes [READ: Count=12, Max=950783, Min=721408, Avg=809685.33, 90=879615, 99=950783, 99.9=950783, 99.99=950783] 
2019-05-30 21:59:37:767 310 sec: 379 operations; 1.2 current ops/sec; est completion in 15 minutes [READ: Count=12, Max=938495, Min=719872, Avg=838784, 90=903167, 99=938495, 99.9=938495, 99.99=938495] 
2019-05-30 21:59:47:767 320 sec: 391 operations; 1.2 current ops/sec; est completion in 15 minutes [READ: Count=12, Max=867327, Min=762880, Avg=812544, 90=864255, 99=867327, 99.9=867327, 99.99=867327] 
2019-05-30 21:59:57:766 330 sec: 404 operations; 1.3 current ops/sec; est completion in 14 minutes [READ: Count=13, Max=901119, Min=745984, Avg=812878.77, 90=890367, 99=901119, 99.9=901119, 99.99=901119] 
2019-05-30 22:00:07:766 340 sec: 416 operations; 1.2 current ops/sec; est completion in 14 minutes [READ: Count=12, Max=878591, Min=724480, Avg=805034.67, 90=855551, 99=878591, 99.9=878591, 99.99=878591] 
2019-05-30 22:00:17:766 350 sec: 428 operations; 1.2 current ops/sec; est completion in 14 minutes [READ: Count=12, Max=869375, Min=722944, Avg=808405.33, 90=865279, 99=869375, 99.9=869375, 99.99=869375] 
2019-05-30 22:00:27:768 360 sec: 441 operations; 1.3 current ops/sec; est completion in 14 minutes [READ: Count=13, Max=896511, Min=764416, Avg=802717.54, 90=870911, 99=896511, 99.9=896511, 99.99=896511] 
2019-05-30 22:00:37:767 370 sec: 453 operations; 1.2 current ops/sec; est completion in 14 minutes [READ: Count=12, Max=952831, Min=725504, Avg=836352, 90=909311, 99=952831, 99.9=952831, 99.99=952831] 
2019-05-30 22:00:47:766 380 sec: 465 operations; 1.2 current ops/sec; est completion in 14 minutes [READ: Count=12, Max=895487, Min=769024, Avg=820309.33, 90=870399, 99=895487, 99.9=895487, 99.99=895487] 
2019-05-30 22:00:57:767 390 sec: 477 operations; 1.2 current ops/sec; est completion in 13 minutes [READ: Count=12, Max=904191, Min=739328, Avg=817066.67, 90=880127, 99=904191, 99.9=904191, 99.99=904191] 
2019-05-30 22:01:07:766 400 sec: 490 operations; 1.3 current ops/sec; est completion in 13 minutes [READ: Count=13, Max=876031, Min=714240, Avg=805316.92, 90=867839, 99=876031, 99.9=876031, 99.99=876031] 
2019-05-30 22:01:17:767 410 sec: 502 operations; 1.2 current ops/sec; est completion in 13 minutes [READ: Count=12, Max=871423, Min=738816, Avg=805674.67, 90=850431, 99=871423, 99.9=871423, 99.99=871423] 
2019-05-30 22:01:27:767 420 sec: 514 operations; 1.2 current ops/sec; est completion in 13 minutes [READ: Count=12, Max=882687, Min=717312, Avg=799573.33, 90=879615, 99=882687, 99.9=882687, 99.99=882687] 
2019-05-30 22:01:37:766 430 sec: 527 operations; 1.3 current ops/sec; est completion in 13 minutes [READ: Count=13, Max=941055, Min=725504, Avg=823512.62, 90=897023, 99=941055, 99.9=941055, 99.99=941055] 
2019-05-30 22:01:47:766 440 sec: 539 operations; 1.2 current ops/sec; est completion in 13 minutes [READ: Count=12, Max=931839, Min=723456, Avg=801877.33, 90=878591, 99=931839, 99.9=931839, 99.99=931839] 
2019-05-30 22:01:57:766 450 sec: 551 operations; 1.2 current ops/sec; est completion in 12 minutes [READ: Count=12, Max=947711, Min=742400, Avg=839296, 90=927231, 99=947711, 99.9=947711, 99.99=947711] 
2019-05-30 22:02:07:766 460 sec: 563 operations; 1.2 current ops/sec; est completion in 12 minutes [READ: Count=12, Max=898559, Min=696320, Avg=802304, 90=863231, 99=898559, 99.9=898559, 99.99=898559] 
2019-05-30 22:02:17:766 470 sec: 576 operations; 1.3 current ops/sec; est completion in 12 minutes [READ: Count=13, Max=966143, Min=749568, Avg=829105.23, 90=900607, 99=966143, 99.9=966143, 99.99=966143] 
2019-05-30 22:02:27:766 480 sec: 588 operations; 1.2 current ops/sec; est completion in 12 minutes [READ: Count=12, Max=985087, Min=735232, Avg=824832, 90=946687, 99=985087, 99.9=985087, 99.99=985087] 
2019-05-30 22:02:37:766 490 sec: 600 operations; 1.2 current ops/sec; est completion in 12 minutes [READ: Count=12, Max=909311, Min=726528, Avg=815658.67, 90=868351, 99=909311, 99.9=909311, 99.99=909311] 
2019-05-30 22:02:47:766 500 sec: 612 operations; 1.2 current ops/sec; est completion in 12 minutes [READ: Count=12, Max=929791, Min=736768, Avg=816042.67, 90=895999, 99=929791, 99.9=929791, 99.99=929791] 
2019-05-30 22:02:57:768 510 sec: 624 operations; 1.2 current ops/sec; est completion in 11 minutes [READ: Count=12, Max=964095, Min=736768, Avg=825642.67, 90=903679, 99=964095, 99.9=964095, 99.99=964095] 
2019-05-30 22:03:07:766 520 sec: 636 operations; 1.2 current ops/sec; est completion in 11 minutes [READ: Count=12, Max=931839, Min=733696, Avg=825728, 90=896511, 99=931839, 99.9=931839, 99.99=931839] 
2019-05-30 22:03:17:766 530 sec: 649 operations; 1.3 current ops/sec; est completion in 11 minutes [READ: Count=13, Max=956415, Min=720896, Avg=808231.38, 90=860671, 99=956415, 99.9=956415, 99.99=956415] 
2019-05-30 22:03:27:766 540 sec: 661 operations; 1.2 current ops/sec; est completion in 11 minutes [READ: Count=12, Max=932863, Min=729088, Avg=831104, 90=871935, 99=932863, 99.9=932863, 99.99=932863] 
2019-05-30 22:03:37:766 550 sec: 673 operations; 1.2 current ops/sec; est completion in 11 minutes [READ: Count=12, Max=998399, Min=727552, Avg=819541.33, 90=893951, 99=998399, 99.9=998399, 99.99=998399] 
2019-05-30 22:03:47:766 560 sec: 685 operations; 1.2 current ops/sec; est completion in 11 minutes [READ: Count=12, Max=954879, Min=711168, Avg=814805.33, 90=898559, 99=954879, 99.9=954879, 99.99=954879] 
2019-05-30 22:03:57:766 570 sec: 697 operations; 1.2 current ops/sec; est completion in 10 minutes [READ: Count=12, Max=898559, Min=772096, Avg=825045.33, 90=878079, 99=898559, 99.9=898559, 99.99=898559] 
2019-05-30 22:04:07:766 580 sec: 709 operations; 1.2 current ops/sec; est completion in 10 minutes [READ: Count=12, Max=904703, Min=726016, Avg=827776, 90=871423, 99=904703, 99.9=904703, 99.99=904703] 
2019-05-30 22:04:17:767 590 sec: 722 operations; 1.3 current ops/sec; est completion in 10 minutes [READ: Count=13, Max=929791, Min=708608, Avg=814217.85, 90=907775, 99=929791, 99.9=929791, 99.99=929791] 
2019-05-30 22:04:27:766 600 sec: 734 operations; 1.2 current ops/sec; est completion in 10 minutes [READ: Count=12, Max=892927, Min=712192, Avg=823338.67, 90=868351, 99=892927, 99.9=892927, 99.99=892927] 
2019-05-30 22:04:37:766 610 sec: 746 operations; 1.2 current ops/sec; est completion in 10 minutes [READ: Count=12, Max=919551, Min=736256, Avg=813312, 90=865279, 99=919551, 99.9=919551, 99.99=919551] 
2019-05-30 22:04:47:766 620 sec: 758 operations; 1.2 current ops/sec; est completion in 10 minutes [READ: Count=12, Max=1040383, Min=729600, Avg=829525.33, 90=900095, 99=1040383, 99.9=1040383, 99.99=1040383] 
2019-05-30 22:04:57:766 630 sec: 771 operations; 1.3 current ops/sec; est completion in 9 minutes [READ: Count=13, Max=894463, Min=708096, Avg=802678.15, 90=866303, 99=894463, 99.9=894463, 99.99=894463] 
2019-05-30 22:05:07:766 640 sec: 782 operations; 1.1 current ops/sec; est completion in 9 minutes [READ: Count=11, Max=943103, Min=739328, Avg=842496, 90=909823, 99=943103, 99.9=943103, 99.99=943103] 
2019-05-30 22:05:17:766 650 sec: 795 operations; 1.3 current ops/sec; est completion in 9 minutes [READ: Count=13, Max=936447, Min=733184, Avg=804765.54, 90=882687, 99=936447, 99.9=936447, 99.99=936447] 
2019-05-30 22:05:27:766 660 sec: 807 operations; 1.2 current ops/sec; est completion in 9 minutes [READ: Count=12, Max=1016319, Min=746496, Avg=842282.67, 90=944639, 99=1016319, 99.9=1016319, 99.99=1016319] 
2019-05-30 22:05:37:766 670 sec: 819 operations; 1.2 current ops/sec; est completion in 9 minutes [READ: Count=12, Max=912383, Min=724992, Avg=808704, 90=895487, 99=912383, 99.9=912383, 99.99=912383] 
2019-05-30 22:05:47:766 680 sec: 832 operations; 1.3 current ops/sec; est completion in 9 minutes [READ: Count=13, Max=937471, Min=718848, Avg=808979.69, 90=904191, 99=937471, 99.9=937471, 99.99=937471] 
2019-05-30 22:05:57:766 690 sec: 844 operations; 1.2 current ops/sec; est completion in 8 minutes [READ: Count=12, Max=886783, Min=707072, Avg=801493.33, 90=859647, 99=886783, 99.9=886783, 99.99=886783] 
2019-05-30 22:06:07:766 700 sec: 856 operations; 1.2 current ops/sec; est completion in 8 minutes [READ: Count=12, Max=881663, Min=726016, Avg=820138.67, 90=880639, 99=881663, 99.9=881663, 99.99=881663] 
2019-05-30 22:06:17:766 710 sec: 869 operations; 1.3 current ops/sec; est completion in 8 minutes [READ: Count=13, Max=900607, Min=690176, Avg=812169.85, 90=858111, 99=900607, 99.9=900607, 99.99=900607] 
2019-05-30 22:06:27:766 720 sec: 880 operations; 1.1 current ops/sec; est completion in 8 minutes [READ: Count=11, Max=937471, Min=743936, Avg=837003.64, 90=891903, 99=937471, 99.9=937471, 99.99=937471] 
2019-05-30 22:06:37:766 730 sec: 893 operations; 1.3 current ops/sec; est completion in 8 minutes [READ: Count=13, Max=945663, Min=749056, Avg=814257.23, 90=856063, 99=945663, 99.9=945663, 99.99=945663] 
2019-05-30 22:06:47:766 740 sec: 905 operations; 1.2 current ops/sec; est completion in 8 minutes [READ: Count=12, Max=913919, Min=717824, Avg=812501.33, 90=873983, 99=913919, 99.9=913919, 99.99=913919] 
2019-05-30 22:06:57:766 750 sec: 917 operations; 1.2 current ops/sec; est completion in 7 minutes [READ: Count=12, Max=954879, Min=733696, Avg=810666.67, 90=911359, 99=954879, 99.9=954879, 99.99=954879] 
2019-05-30 22:07:07:766 760 sec: 930 operations; 1.3 current ops/sec; est completion in 7 minutes [READ: Count=13, Max=932863, Min=741376, Avg=818510.77, 90=926719, 99=932863, 99.9=932863, 99.99=932863] 
2019-05-30 22:07:17:766 770 sec: 942 operations; 1.2 current ops/sec; est completion in 7 minutes [READ: Count=12, Max=914431, Min=758272, Avg=821845.33, 90=883199, 99=914431, 99.9=914431, 99.99=914431] 
2019-05-30 22:07:27:766 780 sec: 954 operations; 1.2 current ops/sec; est completion in 7 minutes [READ: Count=12, Max=1029119, Min=736256, Avg=847872, 90=922623, 99=1029119, 99.9=1029119, 99.99=1029119] 
2019-05-30 22:07:37:766 790 sec: 966 operations; 1.2 current ops/sec; est completion in 7 minutes [READ: Count=12, Max=898559, Min=720896, Avg=827776, 90=890879, 99=898559, 99.9=898559, 99.99=898559] 
2019-05-30 22:07:47:766 800 sec: 977 operations; 1.1 current ops/sec; est completion in 7 minutes [READ: Count=11, Max=960511, Min=751616, Avg=845707.64, 90=914431, 99=960511, 99.9=960511, 99.99=960511] 
2019-05-30 22:07:57:766 810 sec: 989 operations; 1.2 current ops/sec; est completion in 6 minutes [READ: Count=12, Max=930815, Min=742400, Avg=844586.67, 90=916991, 99=930815, 99.9=930815, 99.99=930815] 
2019-05-30 22:08:07:766 820 sec: 1002 operations; 1.3 current ops/sec; est completion in 6 minutes [READ: Count=13, Max=947711, Min=741888, Avg=801693.54, 90=867327, 99=947711, 99.9=947711, 99.99=947711] 
2019-05-30 22:08:17:766 830 sec: 1014 operations; 1.2 current ops/sec; est completion in 6 minutes [READ: Count=12, Max=972287, Min=718848, Avg=820480, 90=947711, 99=972287, 99.9=972287, 99.99=972287] 
2019-05-30 22:08:27:766 840 sec: 1026 operations; 1.2 current ops/sec; est completion in 6 minutes [READ: Count=12, Max=967679, Min=731648, Avg=824576, 90=913407, 99=967679, 99.9=967679, 99.99=967679] 
