2019-05-20 21:21:45:995 260 sec: 341 operations; 1.3 current ops/sec; est completion in 21 minutes [READ: Count=13, Max=827391, Min=691200, Avg=760654.77, 90=807423, 99=827391, 99.9=827391, 99.99=827391] 
2019-05-20 21:21:55:995 270 sec: 354 operations; 1.3 current ops/sec; est completion in 20 minutes [READ: Count=13, Max=845823, Min=724480, Avg=760260.92, 90=813567, 99=845823, 99.9=845823, 99.99=845823] 
2019-05-20 21:22:05:995 280 sec: 368 operations; 1.4 current ops/sec; est completion in 20 minutes [READ: Count=14, Max=833023, Min=633856, Avg=751250.29, 90=815103, 99=833023, 99.9=833023, 99.99=833023] 
2019-05-20 21:22:15:996 290 sec: 381 operations; 1.3 current ops/sec; est completion in 20 minutes [READ: Count=13, Max=808447, Min=727040, Avg=760536.62, 90=805887, 99=808447, 99.9=808447, 99.99=808447] 
2019-05-20 21:22:25:995 300 sec: 394 operations; 1.3 current ops/sec; est completion in 20 minutes [READ: Count=13, Max=836607, Min=707072, Avg=756598.15, 90=822783, 99=836607, 99.9=836607, 99.99=836607] 
2019-05-20 21:22:35:995 310 sec: 407 operations; 1.3 current ops/sec; est completion in 20 minutes [READ: Count=13, Max=843775, Min=675840, Avg=760457.85, 90=820223, 99=843775, 99.9=843775, 99.99=843775] 
2019-05-20 21:22:45:995 320 sec: 420 operations; 1.3 current ops/sec; est completion in 20 minutes [READ: Count=13, Max=830463, Min=699392, Avg=761206.15, 90=794623, 99=830463, 99.9=830463, 99.99=830463] 
2019-05-20 21:22:55:995 330 sec: 433 operations; 1.3 current ops/sec; est completion in 19 minutes [READ: Count=13, Max=825343, Min=724480, Avg=767507.69, 90=822271, 99=825343, 99.9=825343, 99.99=825343] 
2019-05-20 21:23:05:995 340 sec: 447 operations; 1.4 current ops/sec; est completion in 19 minutes [READ: Count=14, Max=807935, Min=705536, Avg=751104, 90=796159, 99=807935, 99.9=807935, 99.99=807935] 
2019-05-20 21:23:15:996 350 sec: 460 operations; 1.3 current ops/sec; est completion in 19 minutes [READ: Count=13, Max=822271, Min=726528, Avg=775660.31, 90=819711, 99=822271, 99.9=822271, 99.99=822271] 
2019-05-20 21:23:25:995 360 sec: 473 operations; 1.3 current ops/sec; est completion in 19 minutes [READ: Count=13, Max=831999, Min=706048, Avg=759867.08, 90=805375, 99=831999, 99.9=831999, 99.99=831999] 
2019-05-20 21:23:35:995 370 sec: 486 operations; 1.3 current ops/sec; est completion in 19 minutes [READ: Count=13, Max=894975, Min=722432, Avg=762742.15, 90=818175, 99=894975, 99.9=894975, 99.99=894975] 
2019-05-20 21:23:45:997 380 sec: 499 operations; 1.3 current ops/sec; est completion in 19 minutes [READ: Count=13, Max=818175, Min=710144, Avg=764160, 90=818175, 99=818175, 99.9=818175, 99.99=818175] 
2019-05-20 21:23:55:996 390 sec: 512 operations; 1.3 current ops/sec; est completion in 18 minutes [READ: Count=13, Max=837119, Min=720896, Avg=772036.92, 90=834559, 99=837119, 99.9=837119, 99.99=837119] 
2019-05-20 21:24:05:995 400 sec: 525 operations; 1.3 current ops/sec; est completion in 18 minutes [READ: Count=13, Max=829951, Min=715264, Avg=759315.69, 90=804351, 99=829951, 99.9=829951, 99.99=829951] 
2019-05-20 21:24:15:995 410 sec: 538 operations; 1.3 current ops/sec; est completion in 18 minutes [READ: Count=13, Max=822271, Min=692736, Avg=750769.23, 90=793599, 99=822271, 99.9=822271, 99.99=822271] 
2019-05-20 21:24:25:997 420 sec: 551 operations; 1.3 current ops/sec; est completion in 18 minutes [READ: Count=13, Max=845823, Min=714240, Avg=764790.15, 90=830463, 99=845823, 99.9=845823, 99.99=845823] 
2019-05-20 21:24:35:995 430 sec: 564 operations; 1.3 current ops/sec; est completion in 18 minutes [READ: Count=13, Max=896511, Min=710144, Avg=770973.54, 90=845311, 99=896511, 99.9=896511, 99.99=896511] 
2019-05-20 21:24:45:995 440 sec: 578 operations; 1.4 current ops/sec; est completion in 18 minutes [READ: Count=14, Max=824831, Min=712704, Avg=758308.57, 90=816127, 99=824831, 99.9=824831, 99.99=824831] 
2019-05-20 21:24:55:996 450 sec: 591 operations; 1.3 current ops/sec; est completion in 17 minutes [READ: Count=13, Max=834559, Min=711168, Avg=758724.92, 90=799743, 99=834559, 99.9=834559, 99.99=834559] 
2019-05-20 21:25:05:995 460 sec: 604 operations; 1.3 current ops/sec; est completion in 17 minutes [READ: Count=13, Max=821759, Min=720384, Avg=762505.85, 90=818687, 99=821759, 99.9=821759, 99.99=821759] 
2019-05-20 21:25:15:995 470 sec: 617 operations; 1.3 current ops/sec; est completion in 17 minutes [READ: Count=13, Max=844799, Min=702976, Avg=759118.77, 90=825855, 99=844799, 99.9=844799, 99.99=844799] 
2019-05-20 21:25:25:997 480 sec: 630 operations; 1.3 current ops/sec; est completion in 17 minutes [READ: Count=13, Max=826879, Min=699904, Avg=753604.92, 90=825343, 99=826879, 99.9=826879, 99.99=826879] 
2019-05-20 21:25:35:995 490 sec: 643 operations; 1.3 current ops/sec; est completion in 17 minutes [READ: Count=13, Max=831487, Min=701952, Avg=757622.15, 90=827391, 99=831487, 99.9=831487, 99.99=831487] 
2019-05-20 21:25:45:995 500 sec: 656 operations; 1.3 current ops/sec; est completion in 17 minutes [READ: Count=13, Max=825855, Min=715776, Avg=772588.31, 90=822271, 99=825855, 99.9=825855, 99.99=825855] 
2019-05-20 21:25:55:995 510 sec: 670 operations; 1.4 current ops/sec; est completion in 16 minutes [READ: Count=14, Max=814591, Min=705024, Avg=760429.71, 90=803839, 99=814591, 99.9=814591, 99.99=814591] 
2019-05-20 21:26:05:996 520 sec: 683 operations; 1.3 current ops/sec; est completion in 16 minutes [READ: Count=13, Max=824319, Min=712192, Avg=764829.54, 90=823807, 99=824319, 99.9=824319, 99.99=824319] 
2019-05-20 21:26:15:995 530 sec: 696 operations; 1.3 current ops/sec; est completion in 16 minutes [READ: Count=13, Max=825855, Min=715776, Avg=769398.15, 90=820735, 99=825855, 99.9=825855, 99.99=825855] 
2019-05-20 21:26:25:995 540 sec: 709 operations; 1.3 current ops/sec; est completion in 16 minutes [READ: Count=13, Max=812031, Min=686592, Avg=749430.15, 90=805887, 99=812031, 99.9=812031, 99.99=812031] 
2019-05-20 21:26:35:995 550 sec: 722 operations; 1.3 current ops/sec; est completion in 16 minutes [READ: Count=13, Max=868863, Min=708608, Avg=763529.85, 90=843263, 99=868863, 99.9=868863, 99.99=868863] 
2019-05-20 21:26:45:995 560 sec: 735 operations; 1.3 current ops/sec; est completion in 16 minutes [READ: Count=13, Max=813567, Min=735232, Avg=766562.46, 90=806911, 99=813567, 99.9=813567, 99.99=813567] 
2019-05-20 21:26:55:995 570 sec: 748 operations; 1.3 current ops/sec; est completion in 15 minutes [READ: Count=13, Max=842751, Min=734720, Avg=779126.15, 90=841215, 99=842751, 99.9=842751, 99.99=842751] 
2019-05-20 21:27:05:995 580 sec: 761 operations; 1.3 current ops/sec; est completion in 15 minutes [READ: Count=13, Max=850431, Min=644608, Avg=754313.85, 90=844799, 99=850431, 99.9=850431, 99.99=850431] 
2019-05-20 21:27:15:995 590 sec: 774 operations; 1.3 current ops/sec; est completion in 15 minutes [READ: Count=13, Max=830975, Min=707584, Avg=761993.85, 90=817663, 99=830975, 99.9=830975, 99.99=830975] 
2019-05-20 21:27:25:995 600 sec: 787 operations; 1.3 current ops/sec; est completion in 15 minutes [READ: Count=13, Max=841215, Min=684544, Avg=759276.31, 90=830463, 99=841215, 99.9=841215, 99.99=841215] 
2019-05-20 21:27:35:995 610 sec: 800 operations; 1.3 current ops/sec; est completion in 15 minutes [READ: Count=13, Max=844799, Min=729600, Avg=778771.69, 90=844799, 99=844799, 99.9=844799, 99.99=844799] 
2019-05-20 21:27:45:995 620 sec: 813 operations; 1.3 current ops/sec; est completion in 15 minutes [READ: Count=13, Max=856575, Min=711168, Avg=768413.54, 90=825855, 99=856575, 99.9=856575, 99.99=856575] 
2019-05-20 21:27:55:995 630 sec: 826 operations; 1.3 current ops/sec; est completion in 14 minutes [READ: Count=13, Max=860671, Min=726528, Avg=769122.46, 90=844799, 99=860671, 99.9=860671, 99.99=860671] 
2019-05-20 21:28:05:995 640 sec: 839 operations; 1.3 current ops/sec; est completion in 14 minutes [READ: Count=13, Max=1432575, Min=716800, Avg=807384.62, 90=869887, 99=1432575, 99.9=1432575, 99.99=1432575] 
2019-05-20 21:28:15:995 650 sec: 852 operations; 1.3 current ops/sec; est completion in 14 minutes [READ: Count=13, Max=852479, Min=715776, Avg=770500.92, 90=830463, 99=852479, 99.9=852479, 99.99=852479] 
2019-05-20 21:28:25:996 660 sec: 865 operations; 1.3 current ops/sec; est completion in 14 minutes [READ: Count=13, Max=866303, Min=710656, Avg=772352, 90=865791, 99=866303, 99.9=866303, 99.99=866303] 
2019-05-20 21:28:35:995 670 sec: 878 operations; 1.3 current ops/sec; est completion in 14 minutes [READ: Count=13, Max=887295, Min=705024, Avg=768689.23, 90=838143, 99=887295, 99.9=887295, 99.99=887295] 
2019-05-20 21:28:45:996 680 sec: 891 operations; 1.3 current ops/sec; est completion in 14 minutes [READ: Count=13, Max=872447, Min=708608, Avg=772352, 90=834047, 99=872447, 99.9=872447, 99.99=872447] 
2019-05-20 21:28:55:995 690 sec: 903 operations; 1.2 current ops/sec; est completion in 13 minutes [READ: Count=12, Max=864767, Min=712192, Avg=770901.33, 90=843263, 99=864767, 99.9=864767, 99.99=864767] 
2019-05-20 21:29:05:995 700 sec: 917 operations; 1.4 current ops/sec; est completion in 13 minutes [READ: Count=14, Max=837631, Min=706048, Avg=767890.29, 90=837119, 99=837631, 99.9=837631, 99.99=837631] 
2019-05-20 21:29:15:996 710 sec: 930 operations; 1.3 current ops/sec; est completion in 13 minutes [READ: Count=13, Max=817663, Min=701440, Avg=759985.23, 90=817151, 99=817663, 99.9=817663, 99.99=817663] 
2019-05-20 21:29:25:995 720 sec: 943 operations; 1.3 current ops/sec; est completion in 13 minutes [READ: Count=13, Max=822783, Min=717824, Avg=772194.46, 90=818687, 99=822783, 99.9=822783, 99.99=822783] 
2019-05-20 21:29:35:995 730 sec: 956 operations; 1.3 current ops/sec; est completion in 13 minutes [READ: Count=13, Max=884735, Min=726528, Avg=777156.92, 90=841727, 99=884735, 99.9=884735, 99.99=884735] 
2019-05-20 21:29:45:995 740 sec: 969 operations; 1.3 current ops/sec; est completion in 13 minutes [READ: Count=13, Max=826879, Min=720384, Avg=768295.38, 90=816127, 99=826879, 99.9=826879, 99.99=826879] 
2019-05-20 21:29:55:995 750 sec: 982 operations; 1.3 current ops/sec; est completion in 12 minutes [READ: Count=13, Max=855039, Min=722432, Avg=770304, 90=827903, 99=855039, 99.9=855039, 99.99=855039] 
2019-05-20 21:30:05:995 760 sec: 994 operations; 1.2 current ops/sec; est completion in 12 minutes [READ: Count=12, Max=840191, Min=707584, Avg=776064, 90=839679, 99=840191, 99.9=840191, 99.99=840191] 
2019-05-20 21:30:15:995 770 sec: 1007 operations; 1.3 current ops/sec; est completion in 12 minutes [READ: Count=13, Max=845823, Min=718336, Avg=778653.54, 90=835071, 99=845823, 99.9=845823, 99.99=845823] 
2019-05-20 21:30:25:996 780 sec: 1020 operations; 1.3 current ops/sec; est completion in 12 minutes [READ: Count=13, Max=886783, Min=717312, Avg=779795.69, 90=870399, 99=886783, 99.9=886783, 99.99=886783] 
2019-05-20 21:30:35:995 790 sec: 1033 operations; 1.3 current ops/sec; est completion in 12 minutes [READ: Count=13, Max=915455, Min=710144, Avg=780268.31, 90=842751, 99=915455, 99.9=915455, 99.99=915455] 
2019-05-20 21:30:45:995 800 sec: 1046 operations; 1.3 current ops/sec; est completion in 12 minutes [READ: Count=13, Max=827391, Min=702464, Avg=762820.92, 90=816127, 99=827391, 99.9=827391, 99.99=827391] 
2019-05-20 21:30:55:995 810 sec: 1059 operations; 1.3 current ops/sec; est completion in 12 minutes [READ: Count=13, Max=831487, Min=695296, Avg=763766.15, 90=816127, 99=831487, 99.9=831487, 99.99=831487] 
2019-05-20 21:31:05:995 820 sec: 1072 operations; 1.3 current ops/sec; est completion in 11 minutes [READ: Count=13, Max=850943, Min=706560, Avg=772864, 90=830975, 99=850943, 99.9=850943, 99.99=850943] 
2019-05-20 21:31:15:995 830 sec: 1085 operations; 1.3 current ops/sec; est completion in 11 minutes [READ: Count=13, Max=825343, Min=717824, Avg=765026.46, 90=813567, 99=825343, 99.9=825343, 99.99=825343] 
2019-05-20 21:31:25:995 840 sec: 1098 operations; 1.3 current ops/sec; est completion in 11 minutes [READ: Count=13, Max=823807, Min=710656, Avg=765577.85, 90=819711, 99=823807, 99.9=823807, 99.99=823807] 
2019-05-20 21:31:35:995 850 sec: 1111 operations; 1.3 current ops/sec; est completion in 11 minutes [READ: Count=13, Max=861695, Min=716800, Avg=773100.31, 90=822271, 99=861695, 99.9=861695, 99.99=861695] 
2019-05-20 21:31:45:997 860 sec: 1123 operations; 1.2 current ops/sec; est completion in 11 minutes [READ: Count=12, Max=938495, Min=718848, Avg=804565.33, 90=859135, 99=938495, 99.9=938495, 99.99=938495] 
2019-05-20 21:31:55:995 870 sec: 1135 operations; 1.2 current ops/sec; est completion in 11 minutes [READ: Count=12, Max=987135, Min=735744, Avg=842154.67, 90=935423, 99=987135, 99.9=987135, 99.99=987135] 
2019-05-20 21:32:05:995 880 sec: 1147 operations; 1.2 current ops/sec; est completion in 10 minutes [READ: Count=12, Max=963071, Min=764416, Avg=857472, 90=947711, 99=963071, 99.9=963071, 99.99=963071] 
2019-05-20 21:32:14:425 888 sec: 2000 operations; 101.19 current ops/sec; [READ: Count=1, Max=1127423, Min=1126400, Avg=1126912, 90=1127423, 99=1127423, 99.9=1127423, 99.99=1127423] [CLEANUP: Count=1, Max=3, Min=3, Avg=3, 90=3, 99=3, 99.9=3, 99.99=3] [READ-FAILED: Count=852, Max=3956735, Min=1780, Avg=8937.97, 90=7191, 99=9631, 99.9=18415, 99.99=3956735] 
