2019-05-31 16:58:59:848 250 sec: 291 operations; 1.1 current ops/sec; est completion in 10 minutes [READ: Count=11, Max=1363967, Min=732672, Avg=867467.64, 90=948735, 99=1363967, 99.9=1363967, 99.99=1363967] 
2019-05-31 16:59:09:846 260 sec: 303 operations; 1.2 current ops/sec; est completion in 9 minutes [READ: Count=12, Max=1309695, Min=736768, Avg=877973.33, 90=941055, 99=1309695, 99.9=1309695, 99.99=1309695] 
2019-05-31 16:59:19:848 270 sec: 315 operations; 1.2 current ops/sec; est completion in 9 minutes [READ: Count=12, Max=988159, Min=706560, Avg=807296, 90=911359, 99=988159, 99.9=988159, 99.99=988159] 
2019-05-31 16:59:29:846 280 sec: 327 operations; 1.2 current ops/sec; est completion in 9 minutes [READ: Count=12, Max=1330175, Min=741376, Avg=855402.67, 90=890879, 99=1330175, 99.9=1330175, 99.99=1330175] 
2019-05-31 16:59:39:846 290 sec: 339 operations; 1.2 current ops/sec; est completion in 9 minutes [READ: Count=12, Max=1309695, Min=730624, Avg=840725.33, 90=859647, 99=1309695, 99.9=1309695, 99.99=1309695] 
2019-05-31 16:59:49:846 300 sec: 350 operations; 1.1 current ops/sec; est completion in 9 minutes [READ: Count=11, Max=1170431, Min=729600, Avg=855924.36, 90=1045503, 99=1170431, 99.9=1170431, 99.99=1170431] 
2019-05-31 16:59:59:847 310 sec: 362 operations; 1.2 current ops/sec; est completion in 9 minutes [READ: Count=12, Max=1283071, Min=728576, Avg=843669.33, 90=950783, 99=1283071, 99.9=1283071, 99.99=1283071] 
2019-05-31 17:00:09:847 320 sec: 374 operations; 1.2 current ops/sec; est completion in 8 minutes [READ: Count=12, Max=1246207, Min=760320, Avg=870506.67, 90=926719, 99=1246207, 99.9=1246207, 99.99=1246207] 
2019-05-31 17:00:19:846 330 sec: 385 operations; 1.1 current ops/sec; est completion in 8 minutes [READ: Count=11, Max=1453055, Min=740352, Avg=856855.27, 90=864767, 99=1453055, 99.9=1453055, 99.99=1453055] 
2019-05-31 17:00:29:846 340 sec: 398 operations; 1.3 current ops/sec; est completion in 8 minutes [READ: Count=13, Max=908287, Min=730112, Avg=804962.46, 90=881151, 99=908287, 99.9=908287, 99.99=908287] 
2019-05-31 17:00:39:848 350 sec: 410 operations; 1.2 current ops/sec; est completion in 8 minutes [READ: Count=12, Max=1269759, Min=732160, Avg=844864, 90=910335, 99=1269759, 99.9=1269759, 99.99=1269759] 
2019-05-31 17:00:49:847 360 sec: 421 operations; 1.1 current ops/sec; est completion in 8 minutes [READ: Count=11, Max=1346559, Min=709632, Avg=871842.91, 90=907263, 99=1346559, 99.9=1346559, 99.99=1346559] 
2019-05-31 17:00:59:847 370 sec: 433 operations; 1.2 current ops/sec; est completion in 8 minutes [READ: Count=12, Max=1155071, Min=739328, Avg=854122.67, 90=948223, 99=1155071, 99.9=1155071, 99.99=1155071] 
2019-05-31 17:01:09:848 380 sec: 444 operations; 1.1 current ops/sec; est completion in 7 minutes [READ: Count=11, Max=1339391, Min=722944, Avg=865186.91, 90=984063, 99=1339391, 99.9=1339391, 99.99=1339391] 
2019-05-31 17:01:19:847 390 sec: 456 operations; 1.2 current ops/sec; est completion in 7 minutes [READ: Count=12, Max=1259519, Min=739840, Avg=858069.33, 90=1077247, 99=1259519, 99.9=1259519, 99.99=1259519] 
2019-05-31 17:01:29:846 400 sec: 468 operations; 1.2 current ops/sec; est completion in 7 minutes [READ: Count=12, Max=1271807, Min=732672, Avg=846016, 90=871423, 99=1271807, 99.9=1271807, 99.99=1271807] 
2019-05-31 17:01:39:847 410 sec: 480 operations; 1.2 current ops/sec; est completion in 7 minutes [READ: Count=12, Max=1310719, Min=758272, Avg=841280, 90=869887, 99=1310719, 99.9=1310719, 99.99=1310719] 
2019-05-31 17:01:49:847 420 sec: 492 operations; 1.2 current ops/sec; est completion in 7 minutes [READ: Count=12, Max=1067007, Min=709632, Avg=830442.67, 90=864767, 99=1067007, 99.9=1067007, 99.99=1067007] 
