[WARN]  Running against a source checkout. In order to get our runtime dependencies we'll have to invoke Maven. Depending on the state of your system, this may take ~30-45 seconds
[DEBUG]  Running 'mvn -pl com.yahoo.ycsb:rest-binding -am package -DskipTests dependency:build-classpath -DincludeScope=compile -Dmdep.outputFilterFile=true'
WARNING: An illegal reflective access operation has occurred
WARNING: Illegal reflective access by com.google.inject.internal.cglib.core.$ReflectUtils$1 (file:/usr/share/maven/lib/guice.jar) to method java.lang.ClassLoader.defineClass(java.lang.String,byte[],int,int,java.security.ProtectionDomain)
WARNING: Please consider reporting this to the maintainers of com.google.inject.internal.cglib.core.$ReflectUtils$1
WARNING: Use --illegal-access=warn to enable warnings of further illegal reflective access operations
WARNING: All illegal access operations will be denied in a future release
java -cp /home/ubuntu/YCSB/rest/conf:/home/ubuntu/YCSB/rest/target/rest-binding-0.16.0-SNAPSHOT.jar:/home/ubuntu/.m2/repository/org/hdrhistogram/HdrHistogram/2.1.4/HdrHistogram-2.1.4.jar:/home/ubuntu/.m2/repository/org/glassfish/hk2/external/javax.inject/2.2.0/javax.inject-2.2.0.jar:/home/ubuntu/.m2/repository/com/github/stefanbirkner/system-rules/1.16.0/system-rules-1.16.0.jar:/home/ubuntu/.m2/repository/org/codehaus/jackson/jackson-core-asl/1.9.4/jackson-core-asl-1.9.4.jar:/home/ubuntu/.m2/repository/org/glassfish/jersey/core/jersey-server/2.6/jersey-server-2.6.jar:/home/ubuntu/YCSB/core/target/core-0.16.0-SNAPSHOT.jar:/home/ubuntu/.m2/repository/org/glassfish/hk2/hk2-api/2.2.0/hk2-api-2.2.0.jar:/home/ubuntu/.m2/repository/javax/ws/rs/javax.ws.rs-api/2.0/javax.ws.rs-api-2.0.jar:/home/ubuntu/.m2/repository/org/glassfish/hk2/hk2-locator/2.2.0/hk2-locator-2.2.0.jar:/home/ubuntu/.m2/repository/org/eclipse/jdt/core/compiler/ecj/4.4.2/ecj-4.4.2.jar:/home/ubuntu/.m2/repository/org/codehaus/jackson/jackson-mapper-asl/1.9.4/jackson-mapper-asl-1.9.4.jar:/home/ubuntu/.m2/repository/org/glassfish/jersey/bundles/repackaged/jersey-guava/2.6/jersey-guava-2.6.jar:/home/ubuntu/.m2/repository/org/glassfish/hk2/external/aopalliance-repackaged/2.2.0/aopalliance-repackaged-2.2.0.jar:/home/ubuntu/.m2/repository/org/javassist/javassist/3.18.1-GA/javassist-3.18.1-GA.jar:/home/ubuntu/.m2/repository/javax/annotation/javax.annotation-api/1.2/javax.annotation-api-1.2.jar:/home/ubuntu/.m2/repository/org/apache/htrace/htrace-core4/4.1.0-incubating/htrace-core4-4.1.0-incubating.jar:/home/ubuntu/.m2/repository/org/apache/tomcat/embed/tomcat-embed-logging-log4j/8.0.28/tomcat-embed-logging-log4j-8.0.28.jar:/home/ubuntu/.m2/repository/org/apache/tomcat/embed/tomcat-embed-el/8.0.28/tomcat-embed-el-8.0.28.jar:/home/ubuntu/.m2/repository/org/apache/tomcat/embed/tomcat-embed-logging-juli/8.0.28/tomcat-embed-logging-juli-8.0.28.jar:/home/ubuntu/.m2/repository/org/apache/tomcat/embed/tomcat-embed-core/8.0.28/tomcat-embed-core-8.0.28.jar:/home/ubuntu/.m2/repository/org/glassfish/hk2/osgi-resource-locator/1.0.1/osgi-resource-locator-1.0.1.jar:/home/ubuntu/.m2/repository/commons-codec/commons-codec/1.9/commons-codec-1.9.jar:/home/ubuntu/.m2/repository/org/glassfish/jersey/core/jersey-client/2.6/jersey-client-2.6.jar:/home/ubuntu/.m2/repository/org/apache/tomcat/embed/tomcat-embed-websocket/8.0.28/tomcat-embed-websocket-8.0.28.jar:/home/ubuntu/.m2/repository/commons-logging/commons-logging/1.2/commons-logging-1.2.jar:/home/ubuntu/.m2/repository/org/glassfish/hk2/hk2-utils/2.2.0/hk2-utils-2.2.0.jar:/home/ubuntu/.m2/repository/javax/validation/validation-api/1.1.0.Final/validation-api-1.1.0.Final.jar:/home/ubuntu/.m2/repository/org/apache/httpcomponents/httpclient/4.5.1/httpclient-4.5.1.jar:/home/ubuntu/.m2/repository/org/apache/tomcat/tomcat-dbcp/8.0.28/tomcat-dbcp-8.0.28.jar:/home/ubuntu/.m2/repository/org/glassfish/jersey/containers/jersey-container-servlet-core/2.6/jersey-container-servlet-core-2.6.jar:/home/ubuntu/.m2/repository/org/apache/tomcat/embed/tomcat-embed-jasper/8.0.28/tomcat-embed-jasper-8.0.28.jar:/home/ubuntu/.m2/repository/org/glassfish/jersey/core/jersey-common/2.6/jersey-common-2.6.jar:/home/ubuntu/.m2/repository/org/apache/httpcomponents/httpcore/4.4.4/httpcore-4.4.4.jar com.yahoo.ycsb.Client -db com.yahoo.ycsb.webservice.rest.RestClient -s -P workloads/rest_workload -t
Command line: -db com.yahoo.ycsb.webservice.rest.RestClient -s -P workloads/rest_workload -t
YCSB Client 0.16.0-SNAPSHOT

Loading workload...
Starting test.
2019-05-27 19:16:29:789 0 sec: 0 operations; est completion in 0 second 
DBWrapper: report latency for each error is false and specific error codes to track for latency are: []
2019-05-27 19:16:39:722 10 sec: 11 operations; 1.1 current ops/sec; est completion in 7 minutes [READ: Count=11, Max=931839, Min=742400, Avg=817733.82, 90=897535, 99=931839, 99.9=931839, 99.99=931839] 
2019-05-27 19:16:49:720 20 sec: 24 operations; 1.3 current ops/sec; est completion in 6 minutes [READ: Count=13, Max=965119, Min=706560, Avg=801929.85, 90=887807, 99=965119, 99.9=965119, 99.99=965119] 
2019-05-27 19:16:59:720 30 sec: 36 operations; 1.2 current ops/sec; est completion in 6 minutes [READ: Count=12, Max=916479, Min=768512, Avg=835669.33, 90=907775, 99=916479, 99.9=916479, 99.99=916479] 
2019-05-27 19:17:09:720 40 sec: 48 operations; 1.2 current ops/sec; est completion in 6 minutes [READ: Count=12, Max=867327, Min=741376, Avg=800000, 90=845311, 99=867327, 99.9=867327, 99.99=867327] 
2019-05-27 19:17:19:721 50 sec: 60 operations; 1.2 current ops/sec; est completion in 6 minutes [READ: Count=12, Max=957951, Min=755712, Avg=830976, 90=891903, 99=957951, 99.9=957951, 99.99=957951] 
2019-05-27 19:17:29:720 60 sec: 72 operations; 1.2 current ops/sec; est completion in 5 minutes [READ: Count=12, Max=894975, Min=698880, Avg=817024, 90=893951, 99=894975, 99.9=894975, 99.99=894975] 
2019-05-27 19:17:39:720 70 sec: 85 operations; 1.3 current ops/sec; est completion in 5 minutes [READ: Count=13, Max=936959, Min=747008, Avg=819337.85, 90=862719, 99=936959, 99.9=936959, 99.99=936959] 
2019-05-27 19:17:49:720 80 sec: 97 operations; 1.2 current ops/sec; est completion in 5 minutes [READ: Count=12, Max=908287, Min=739840, Avg=826240, 90=900607, 99=908287, 99.9=908287, 99.99=908287] 
2019-05-27 19:17:59:720 90 sec: 109 operations; 1.2 current ops/sec; est completion in 5 minutes [READ: Count=12, Max=997887, Min=738304, Avg=828373.33, 90=935423, 99=997887, 99.9=997887, 99.99=997887] 
2019-05-27 19:18:09:720 100 sec: 122 operations; 1.3 current ops/sec; est completion in 5 minutes [READ: Count=13, Max=912383, Min=676864, Avg=783931.08, 90=864767, 99=912383, 99.9=912383, 99.99=912383] 
2019-05-27 19:18:19:722 110 sec: 134 operations; 1.2 current ops/sec; est completion in 5 minutes [READ: Count=12, Max=890879, Min=727040, Avg=818048, 90=887807, 99=890879, 99.9=890879, 99.99=890879] 
2019-05-27 19:18:29:720 120 sec: 146 operations; 1.2 current ops/sec; est completion in 4 minutes [READ: Count=12, Max=916991, Min=754176, Avg=821077.33, 90=875007, 99=916991, 99.9=916991, 99.99=916991] 
2019-05-27 19:18:39:720 130 sec: 158 operations; 1.2 current ops/sec; est completion in 4 minutes [READ: Count=12, Max=905215, Min=681472, Avg=804522.67, 90=896511, 99=905215, 99.9=905215, 99.99=905215] 
2019-05-27 19:18:49:719 140 sec: 171 operations; 1.3 current ops/sec; est completion in 4 minutes [READ: Count=13, Max=859647, Min=729600, Avg=805592.62, 90=856063, 99=859647, 99.9=859647, 99.99=859647] 
2019-05-27 19:18:59:719 150 sec: 183 operations; 1.2 current ops/sec; est completion in 4 minutes [READ: Count=12, Max=850943, Min=725504, Avg=797994.67, 90=835583, 99=850943, 99.9=850943, 99.99=850943] 
2019-05-27 19:19:09:719 160 sec: 196 operations; 1.3 current ops/sec; est completion in 4 minutes [READ: Count=13, Max=887807, Min=714752, Avg=791532.31, 90=844287, 99=887807, 99.9=887807, 99.99=887807] 
2019-05-27 19:19:19:719 170 sec: 208 operations; 1.2 current ops/sec; est completion in 3 minutes [READ: Count=12, Max=933375, Min=722432, Avg=816426.67, 90=885247, 99=933375, 99.9=933375, 99.99=933375] 
2019-05-27 19:19:29:719 180 sec: 221 operations; 1.3 current ops/sec; est completion in 3 minutes [READ: Count=13, Max=883711, Min=693248, Avg=811264, 90=883199, 99=883711, 99.9=883711, 99.99=883711] 
2019-05-27 19:19:39:720 190 sec: 233 operations; 1.2 current ops/sec; est completion in 3 minutes [READ: Count=12, Max=860159, Min=732672, Avg=800469.33, 90=850943, 99=860159, 99.9=860159, 99.99=860159] 
2019-05-27 19:19:49:719 200 sec: 246 operations; 1.3 current ops/sec; est completion in 3 minutes [READ: Count=13, Max=905727, Min=705536, Avg=800551.38, 90=850943, 99=905727, 99.9=905727, 99.99=905727] 
2019-05-27 19:19:59:719 210 sec: 258 operations; 1.2 current ops/sec; est completion in 3 minutes [READ: Count=12, Max=881151, Min=704512, Avg=813098.67, 90=869887, 99=881151, 99.9=881151, 99.99=881151] 
2019-05-27 19:20:09:720 220 sec: 270 operations; 1.2 current ops/sec; est completion in 3 minutes [READ: Count=12, Max=887807, Min=706048, Avg=786389.33, 90=854527, 99=887807, 99.9=887807, 99.99=887807] 
2019-05-27 19:20:19:719 230 sec: 283 operations; 1.3 current ops/sec; est completion in 2 minutes [READ: Count=13, Max=921087, Min=725504, Avg=798424.62, 90=881151, 99=921087, 99.9=921087, 99.99=921087] 
2019-05-27 19:20:29:719 240 sec: 296 operations; 1.3 current ops/sec; est completion in 2 minutes [READ: Count=13, Max=866303, Min=714752, Avg=793934.77, 90=858111, 99=866303, 99.9=866303, 99.99=866303] 
2019-05-27 19:20:39:721 250 sec: 308 operations; 1.2 current ops/sec; est completion in 2 minutes [READ: Count=12, Max=883199, Min=726016, Avg=781952, 90=829439, 99=883199, 99.9=883199, 99.99=883199] 
