[WARN]  Running against a source checkout. In order to get our runtime dependencies we'll have to invoke Maven. Depending on the state of your system, this may take ~30-45 seconds
[DEBUG]  Running 'mvn -pl com.yahoo.ycsb:rest-binding -am package -DskipTests dependency:build-classpath -DincludeScope=compile -Dmdep.outputFilterFile=true'
WARNING: An illegal reflective access operation has occurred
WARNING: Illegal reflective access by com.google.inject.internal.cglib.core.$ReflectUtils$1 (file:/usr/share/maven/lib/guice.jar) to method java.lang.ClassLoader.defineClass(java.lang.String,byte[],int,int,java.security.ProtectionDomain)
WARNING: Please consider reporting this to the maintainers of com.google.inject.internal.cglib.core.$ReflectUtils$1
WARNING: Use --illegal-access=warn to enable warnings of further illegal reflective access operations
WARNING: All illegal access operations will be denied in a future release
java -cp /home/ubuntu/YCSB/rest/conf:/home/ubuntu/YCSB/rest/target/rest-binding-0.16.0-SNAPSHOT.jar:/home/ubuntu/.m2/repository/org/hdrhistogram/HdrHistogram/2.1.4/HdrHistogram-2.1.4.jar:/home/ubuntu/.m2/repository/org/glassfish/hk2/external/javax.inject/2.2.0/javax.inject-2.2.0.jar:/home/ubuntu/.m2/repository/com/github/stefanbirkner/system-rules/1.16.0/system-rules-1.16.0.jar:/home/ubuntu/.m2/repository/org/codehaus/jackson/jackson-core-asl/1.9.4/jackson-core-asl-1.9.4.jar:/home/ubuntu/.m2/repository/org/glassfish/jersey/core/jersey-server/2.6/jersey-server-2.6.jar:/home/ubuntu/YCSB/core/target/core-0.16.0-SNAPSHOT.jar:/home/ubuntu/.m2/repository/org/glassfish/hk2/hk2-api/2.2.0/hk2-api-2.2.0.jar:/home/ubuntu/.m2/repository/javax/ws/rs/javax.ws.rs-api/2.0/javax.ws.rs-api-2.0.jar:/home/ubuntu/.m2/repository/org/glassfish/hk2/hk2-locator/2.2.0/hk2-locator-2.2.0.jar:/home/ubuntu/.m2/repository/org/eclipse/jdt/core/compiler/ecj/4.4.2/ecj-4.4.2.jar:/home/ubuntu/.m2/repository/org/codehaus/jackson/jackson-mapper-asl/1.9.4/jackson-mapper-asl-1.9.4.jar:/home/ubuntu/.m2/repository/org/glassfish/jersey/bundles/repackaged/jersey-guava/2.6/jersey-guava-2.6.jar:/home/ubuntu/.m2/repository/org/glassfish/hk2/external/aopalliance-repackaged/2.2.0/aopalliance-repackaged-2.2.0.jar:/home/ubuntu/.m2/repository/org/javassist/javassist/3.18.1-GA/javassist-3.18.1-GA.jar:/home/ubuntu/.m2/repository/javax/annotation/javax.annotation-api/1.2/javax.annotation-api-1.2.jar:/home/ubuntu/.m2/repository/org/apache/htrace/htrace-core4/4.1.0-incubating/htrace-core4-4.1.0-incubating.jar:/home/ubuntu/.m2/repository/org/apache/tomcat/embed/tomcat-embed-logging-log4j/8.0.28/tomcat-embed-logging-log4j-8.0.28.jar:/home/ubuntu/.m2/repository/org/apache/tomcat/embed/tomcat-embed-el/8.0.28/tomcat-embed-el-8.0.28.jar:/home/ubuntu/.m2/repository/org/apache/tomcat/embed/tomcat-embed-logging-juli/8.0.28/tomcat-embed-logging-juli-8.0.28.jar:/home/ubuntu/.m2/repository/org/apache/tomcat/embed/tomcat-embed-core/8.0.28/tomcat-embed-core-8.0.28.jar:/home/ubuntu/.m2/repository/org/glassfish/hk2/osgi-resource-locator/1.0.1/osgi-resource-locator-1.0.1.jar:/home/ubuntu/.m2/repository/commons-codec/commons-codec/1.9/commons-codec-1.9.jar:/home/ubuntu/.m2/repository/org/glassfish/jersey/core/jersey-client/2.6/jersey-client-2.6.jar:/home/ubuntu/.m2/repository/org/apache/tomcat/embed/tomcat-embed-websocket/8.0.28/tomcat-embed-websocket-8.0.28.jar:/home/ubuntu/.m2/repository/commons-logging/commons-logging/1.2/commons-logging-1.2.jar:/home/ubuntu/.m2/repository/org/glassfish/hk2/hk2-utils/2.2.0/hk2-utils-2.2.0.jar:/home/ubuntu/.m2/repository/javax/validation/validation-api/1.1.0.Final/validation-api-1.1.0.Final.jar:/home/ubuntu/.m2/repository/org/apache/httpcomponents/httpclient/4.5.1/httpclient-4.5.1.jar:/home/ubuntu/.m2/repository/org/apache/tomcat/tomcat-dbcp/8.0.28/tomcat-dbcp-8.0.28.jar:/home/ubuntu/.m2/repository/org/glassfish/jersey/containers/jersey-container-servlet-core/2.6/jersey-container-servlet-core-2.6.jar:/home/ubuntu/.m2/repository/org/apache/tomcat/embed/tomcat-embed-jasper/8.0.28/tomcat-embed-jasper-8.0.28.jar:/home/ubuntu/.m2/repository/org/glassfish/jersey/core/jersey-common/2.6/jersey-common-2.6.jar:/home/ubuntu/.m2/repository/org/apache/httpcomponents/httpcore/4.4.4/httpcore-4.4.4.jar com.yahoo.ycsb.Client -db com.yahoo.ycsb.webservice.rest.RestClient -s -P workloads/rest_workload -t
Command line: -db com.yahoo.ycsb.webservice.rest.RestClient -s -P workloads/rest_workload -t
YCSB Client 0.16.0-SNAPSHOT

Loading workload...
Starting test.
2019-05-22 08:55:20:161 0 sec: 0 operations; est completion in 0 second 
DBWrapper: report latency for each error is false and specific error codes to track for latency are: []
2019-05-22 08:55:30:104 10 sec: 12 operations; 1.2 current ops/sec; est completion in 20 minutes [READ: Count=12, Max=838143, Min=709632, Avg=774698.67, 90=831487, 99=838143, 99.9=838143, 99.99=838143] 
2019-05-22 08:55:40:102 20 sec: 25 operations; 1.3 current ops/sec; est completion in 19 minutes [READ: Count=13, Max=840191, Min=710144, Avg=767665.23, 90=826367, 99=840191, 99.9=840191, 99.99=840191] 
2019-05-22 08:55:50:102 30 sec: 38 operations; 1.3 current ops/sec; est completion in 19 minutes [READ: Count=13, Max=845823, Min=694784, Avg=762939.08, 90=844799, 99=845823, 99.9=845823, 99.99=845823] 
2019-05-22 08:56:00:102 40 sec: 51 operations; 1.3 current ops/sec; est completion in 18 minutes [READ: Count=13, Max=859647, Min=710144, Avg=766995.69, 90=817663, 99=859647, 99.9=859647, 99.99=859647] 
2019-05-22 08:56:10:102 50 sec: 64 operations; 1.3 current ops/sec; est completion in 18 minutes [READ: Count=13, Max=855551, Min=717824, Avg=765932.31, 90=838143, 99=855551, 99.9=855551, 99.99=855551] 
2019-05-22 08:56:20:102 60 sec: 77 operations; 1.3 current ops/sec; est completion in 18 minutes [READ: Count=13, Max=834559, Min=719360, Avg=765892.92, 90=823295, 99=834559, 99.9=834559, 99.99=834559] 
2019-05-22 08:56:30:102 70 sec: 90 operations; 1.3 current ops/sec; est completion in 18 minutes [READ: Count=13, Max=849407, Min=716800, Avg=761796.92, 90=831487, 99=849407, 99.9=849407, 99.99=849407] 
2019-05-22 08:56:40:102 80 sec: 103 operations; 1.3 current ops/sec; est completion in 18 minutes [READ: Count=13, Max=860671, Min=715776, Avg=771131.08, 90=854015, 99=860671, 99.9=860671, 99.99=860671] 
2019-05-22 08:56:50:103 90 sec: 116 operations; 1.3 current ops/sec; est completion in 17 minutes [READ: Count=13, Max=854527, Min=699392, Avg=769201.23, 90=849407, 99=854527, 99.9=854527, 99.99=854527] 
2019-05-22 08:57:00:102 100 sec: 129 operations; 1.3 current ops/sec; est completion in 17 minutes [READ: Count=13, Max=846847, Min=716288, Avg=763529.85, 90=828927, 99=846847, 99.9=846847, 99.99=846847] 
2019-05-22 08:57:10:102 110 sec: 142 operations; 1.3 current ops/sec; est completion in 17 minutes [READ: Count=13, Max=869887, Min=714752, Avg=769201.23, 90=822783, 99=869887, 99.9=869887, 99.99=869887] 
2019-05-22 08:57:20:102 120 sec: 155 operations; 1.3 current ops/sec; est completion in 17 minutes [READ: Count=13, Max=836607, Min=727552, Avg=770737.23, 90=813055, 99=836607, 99.9=836607, 99.99=836607] 
2019-05-22 08:57:30:102 130 sec: 168 operations; 1.3 current ops/sec; est completion in 17 minutes [READ: Count=13, Max=863231, Min=694272, Avg=762387.69, 90=818175, 99=863231, 99.9=863231, 99.99=863231] 
2019-05-22 08:57:40:102 140 sec: 182 operations; 1.4 current ops/sec; est completion in 16 minutes [READ: Count=14, Max=816127, Min=713216, Avg=756333.71, 90=815103, 99=816127, 99.9=816127, 99.99=816127] 
2019-05-22 08:57:50:102 150 sec: 195 operations; 1.3 current ops/sec; est completion in 16 minutes [READ: Count=13, Max=828415, Min=705024, Avg=770225.23, 90=825855, 99=828415, 99.9=828415, 99.99=828415] 
2019-05-22 08:58:00:102 160 sec: 208 operations; 1.3 current ops/sec; est completion in 16 minutes [READ: Count=13, Max=833023, Min=725504, Avg=770934.15, 90=822271, 99=833023, 99.9=833023, 99.99=833023] 
2019-05-22 08:58:10:103 170 sec: 221 operations; 1.3 current ops/sec; est completion in 16 minutes [READ: Count=13, Max=848895, Min=704512, Avg=756361.85, 90=829951, 99=848895, 99.9=848895, 99.99=848895] 
2019-05-22 08:58:20:102 180 sec: 234 operations; 1.3 current ops/sec; est completion in 16 minutes [READ: Count=13, Max=836095, Min=718336, Avg=765656.62, 90=823295, 99=836095, 99.9=836095, 99.99=836095] 
2019-05-22 08:58:30:102 190 sec: 247 operations; 1.3 current ops/sec; est completion in 16 minutes [READ: Count=13, Max=835583, Min=720896, Avg=769870.77, 90=825855, 99=835583, 99.9=835583, 99.99=835583] 
2019-05-22 08:58:40:102 200 sec: 260 operations; 1.3 current ops/sec; est completion in 15 minutes [READ: Count=13, Max=872447, Min=704000, Avg=769752.62, 90=837119, 99=872447, 99.9=872447, 99.99=872447] 
2019-05-22 08:58:50:103 210 sec: 273 operations; 1.3 current ops/sec; est completion in 15 minutes [READ: Count=13, Max=826879, Min=717312, Avg=751832.62, 90=824831, 99=826879, 99.9=826879, 99.99=826879] 
2019-05-22 08:59:00:102 220 sec: 286 operations; 1.3 current ops/sec; est completion in 15 minutes [READ: Count=13, Max=868351, Min=724992, Avg=772982.15, 90=848895, 99=868351, 99.9=868351, 99.99=868351] 
2019-05-22 08:59:10:104 230 sec: 299 operations; 1.3 current ops/sec; est completion in 15 minutes [READ: Count=13, Max=869375, Min=724480, Avg=770185.85, 90=853503, 99=869375, 99.9=869375, 99.99=869375] 
2019-05-22 08:59:20:102 240 sec: 312 operations; 1.3 current ops/sec; est completion in 15 minutes [READ: Count=13, Max=841215, Min=695296, Avg=762230.15, 90=827391, 99=841215, 99.9=841215, 99.99=841215] 
2019-05-22 08:59:30:103 250 sec: 325 operations; 1.3 current ops/sec; est completion in 15 minutes [READ: Count=13, Max=825343, Min=722432, Avg=762663.38, 90=807423, 99=825343, 99.9=825343, 99.99=825343] 
