2019-05-18 00:49:00:335 250 sec: 316 operations; 1.3 current ops/sec; est completion in 1 hour 1 minute [READ: Count=13, Max=870399, Min=731648, Avg=790114.46, 90=861695, 99=870399, 99.9=870399, 99.99=870399] 
2019-05-18 00:49:10:335 260 sec: 328 operations; 1.2 current ops/sec; est completion in 1 hour 1 minute [READ: Count=12, Max=869375, Min=750592, Avg=802432, 90=861695, 99=869375, 99.9=869375, 99.99=869375] 
2019-05-18 00:49:20:335 270 sec: 341 operations; 1.3 current ops/sec; est completion in 1 hour 1 minute [READ: Count=13, Max=883199, Min=689152, Avg=795707.08, 90=869375, 99=883199, 99.9=883199, 99.99=883199] 
2019-05-18 00:49:30:335 280 sec: 353 operations; 1.2 current ops/sec; est completion in 1 hour 1 minute [READ: Count=12, Max=864767, Min=755712, Avg=809600, 90=858623, 99=864767, 99.9=864767, 99.99=864767] 
2019-05-18 00:49:40:335 290 sec: 366 operations; 1.3 current ops/sec; est completion in 1 hour 1 minute [READ: Count=13, Max=857599, Min=744960, Avg=789169.23, 90=854015, 99=857599, 99.9=857599, 99.99=857599] 
2019-05-18 00:49:50:335 300 sec: 379 operations; 1.3 current ops/sec; est completion in 1 hour [READ: Count=13, Max=870911, Min=725504, Avg=782119.38, 90=859135, 99=870911, 99.9=870911, 99.99=870911] 
2019-05-18 00:50:00:335 310 sec: 391 operations; 1.2 current ops/sec; est completion in 1 hour [READ: Count=12, Max=848383, Min=725504, Avg=784640, 90=843775, 99=848383, 99.9=848383, 99.99=848383] 
2019-05-18 00:50:10:335 320 sec: 404 operations; 1.3 current ops/sec; est completion in 1 hour [READ: Count=13, Max=855039, Min=731648, Avg=801772.31, 90=854527, 99=855039, 99.9=855039, 99.99=855039] 
2019-05-18 00:50:20:336 330 sec: 416 operations; 1.2 current ops/sec; est completion in 1 hour [READ: Count=12, Max=866303, Min=758272, Avg=806357.33, 90=854527, 99=866303, 99.9=866303, 99.99=866303] 
2019-05-18 00:50:30:335 340 sec: 429 operations; 1.3 current ops/sec; est completion in 1 hour [READ: Count=13, Max=850943, Min=695808, Avg=787436.31, 90=847871, 99=850943, 99.9=850943, 99.99=850943] 
2019-05-18 00:50:40:335 350 sec: 442 operations; 1.3 current ops/sec; est completion in 1 hour [READ: Count=13, Max=838655, Min=723456, Avg=791965.54, 90=835071, 99=838655, 99.9=838655, 99.99=838655] 
2019-05-18 00:50:50:338 360 sec: 454 operations; 1.2 current ops/sec; est completion in 1 hour [READ: Count=12, Max=899071, Min=707584, Avg=787584, 90=861695, 99=899071, 99.9=899071, 99.99=899071] 
2019-05-18 00:51:00:335 370 sec: 467 operations; 1.3 current ops/sec; est completion in 59 minutes [READ: Count=13, Max=892415, Min=748544, Avg=792280.62, 90=840191, 99=892415, 99.9=892415, 99.99=892415] 
