2019-06-03 17:41:58:206 250 sec: 272 operations; 1.1 current ops/sec; est completion in 3 minutes [READ: Count=11, Max=1189887, Min=702464, Avg=877707.64, 90=1172479, 99=1189887, 99.9=1189887, 99.99=1189887] 
2019-06-03 17:42:08:206 260 sec: 283 operations; 1.1 current ops/sec; est completion in 3 minutes [READ: Count=11, Max=1212415, Min=732672, Avg=881082.18, 90=1103871, 99=1212415, 99.9=1212415, 99.99=1212415] 
2019-06-03 17:42:18:206 270 sec: 294 operations; 1.1 current ops/sec; est completion in 3 minutes [READ: Count=11, Max=1136639, Min=710144, Avg=912942.55, 90=1129471, 99=1136639, 99.9=1136639, 99.99=1136639] 
2019-06-03 17:42:28:206 280 sec: 305 operations; 1.1 current ops/sec; est completion in 3 minutes [READ: Count=11, Max=1221631, Min=765952, Avg=911895.27, 90=1112063, 99=1221631, 99.9=1221631, 99.99=1221631] 
2019-06-03 17:42:38:206 290 sec: 316 operations; 1.1 current ops/sec; est completion in 2 minutes [READ: Count=11, Max=1214463, Min=693760, Avg=936750.55, 90=1178623, 99=1214463, 99.9=1214463, 99.99=1214463] 
2019-06-03 17:42:48:206 300 sec: 327 operations; 1.1 current ops/sec; est completion in 2 minutes [READ: Count=11, Max=1175551, Min=740352, Avg=902516.36, 90=1172479, 99=1175551, 99.9=1175551, 99.99=1175551] 
2019-06-03 17:42:58:206 310 sec: 338 operations; 1.1 current ops/sec; est completion in 2 minutes [READ: Count=11, Max=1405951, Min=712192, Avg=917736.73, 90=1202175, 99=1405951, 99.9=1405951, 99.99=1405951] 
2019-06-03 17:43:08:206 320 sec: 347 operations; 0.9 current ops/sec; est completion in 2 minutes [READ: Count=9, Max=1255423, Min=758272, Avg=1029290.67, 90=1209343, 99=1255423, 99.9=1255423, 99.99=1255423] 
2019-06-03 17:43:18:206 330 sec: 358 operations; 1.1 current ops/sec; est completion in 2 minutes [READ: Count=11, Max=1304575, Min=714752, Avg=958068.36, 90=1264639, 99=1304575, 99.9=1304575, 99.99=1304575] 
2019-06-03 17:43:28:206 340 sec: 369 operations; 1.1 current ops/sec; est completion in 2 minutes [READ: Count=11, Max=1269759, Min=736256, Avg=918434.91, 90=1267711, 99=1269759, 99.9=1269759, 99.99=1269759] 
2019-06-03 17:43:38:206 350 sec: 380 operations; 1.1 current ops/sec; est completion in 1 minute [READ: Count=11, Max=1233919, Min=722432, Avg=887179.64, 90=1076223, 99=1233919, 99.9=1233919, 99.99=1233919] 
2019-06-03 17:43:48:206 360 sec: 392 operations; 1.2 current ops/sec; est completion in 1 minute [READ: Count=12, Max=1279999, Min=736768, Avg=891498.67, 90=1174527, 99=1279999, 99.9=1279999, 99.99=1279999] 
2019-06-03 17:43:58:206 370 sec: 403 operations; 1.1 current ops/sec; est completion in 1 minute [READ: Count=11, Max=1146879, Min=688128, Avg=891275.64, 90=1145855, 99=1146879, 99.9=1146879, 99.99=1146879] 
2019-06-03 17:44:08:206 380 sec: 414 operations; 1.1 current ops/sec; est completion in 1 minute [READ: Count=11, Max=1220607, Min=727040, Avg=900049.45, 90=1177599, 99=1220607, 99.9=1220607, 99.99=1220607] 
2019-06-03 17:44:18:206 390 sec: 425 operations; 1.1 current ops/sec; est completion in 1 minute [READ: Count=11, Max=1233919, Min=718336, Avg=913780.36, 90=1216511, 99=1233919, 99.9=1233919, 99.99=1233919] 
2019-06-03 17:44:28:206 400 sec: 436 operations; 1.1 current ops/sec; est completion in 59 seconds [READ: Count=11, Max=1263615, Min=720384, Avg=884107.64, 90=1159167, 99=1263615, 99.9=1263615, 99.99=1263615] 
2019-06-03 17:44:38:207 410 sec: 447 operations; 1.1 current ops/sec; est completion in 49 seconds [READ: Count=11, Max=1303551, Min=724992, Avg=896512, 90=1203199, 99=1303551, 99.9=1303551, 99.99=1303551] 
2019-06-03 17:44:48:206 420 sec: 459 operations; 1.2 current ops/sec; est completion in 38 seconds [READ: Count=12, Max=1236991, Min=721408, Avg=884437.33, 90=1215487, 99=1236991, 99.9=1236991, 99.99=1236991] 
2019-06-03 17:44:58:206 430 sec: 470 operations; 1.1 current ops/sec; est completion in 28 seconds [READ: Count=11, Max=1215487, Min=728576, Avg=884200.73, 90=1121279, 99=1215487, 99.9=1215487, 99.99=1215487] 
2019-06-03 17:45:08:206 440 sec: 481 operations; 1.1 current ops/sec; est completion in 18 seconds [READ: Count=11, Max=1265663, Min=715776, Avg=891298.91, 90=1225727, 99=1265663, 99.9=1265663, 99.99=1265663] 
2019-06-03 17:45:18:206 450 sec: 492 operations; 1.1 current ops/sec; est completion in 8 second [READ: Count=11, Max=1278975, Min=709120, Avg=864046.55, 90=1193983, 99=1278975, 99.9=1278975, 99.99=1278975] 
2019-06-03 17:45:24:309 456 sec: 500 operations; 1.31 current ops/sec; [READ: Count=8, Max=1234943, Min=682496, Avg=888416, 90=1030655, 99=1234943, 99.9=1234943, 99.99=1234943] [CLEANUP: Count=1, Max=2, Min=2, Avg=2, 90=2, 99=2, 99.9=2, 99.99=2] 
