timestamp;status;request_time;upstream_response_time
1558717393.037;200;0.815;0.816
1558717393.834;200;0.750;0.752
1558717394.716;200;0.878;0.876
1558717395.643;200;0.922;0.924
1558717396.404;200;0.756;0.756
1558717397.201;200;0.794;0.796
1558717397.995;200;0.764;0.764
1558717398.873;200;0.873;0.876
1558717399.699;200;0.822;0.820
1558717400.508;200;0.805;0.804
1558717401.303;200;0.790;0.792
1558717402.175;200;0.868;0.868
1558717402.999;200;0.820;0.820
1558717403.887;200;0.882;0.884
1558717404.701;200;0.811;0.808
1558717405.676;200;0.972;0.972
1558717406.427;200;0.748;0.748
1558717407.208;200;0.777;0.776
1558717408.064;200;0.853;0.852
1558717408.881;200;0.811;0.812
1558717409.709;200;0.825;0.828
1558717410.510;200;0.798;0.800
1558717411.284;200;0.769;0.768
1558717412.204;200;0.915;0.916
1558717413.040;200;0.832;0.832
1558717413.787;200;0.743;0.744
1558717414.644;200;0.843;0.840
1558717415.489;200;0.840;0.840
1558717416.341;200;0.849;0.852
1558717417.135;200;0.791;0.792
1558717417.901;200;0.763;0.764
1558717418.843;200;0.939;0.940
1558717419.593;200;0.746;0.744
1558717420.358;200;0.760;0.760
1558717421.194;200;0.832;0.832
1558717422.024;200;0.827;0.824
1558717422.832;200;0.800;0.800
1558717423.619;200;0.781;0.780
1558717424.422;200;0.797;0.800
1558717425.322;200;0.896;0.896
1558717426.148;200;0.822;0.820
1558717426.895;200;0.740;0.740
1558717427.705;200;0.808;0.808
1558717428.593;200;0.885;0.884
1558717429.411;200;0.816;0.816
1558717430.146;200;0.732;0.732
1558717430.886;200;0.738;0.740
1558717431.774;200;0.886;0.888
1558717432.627;200;0.849;0.848
1558717433.386;200;0.753;0.752
1558717434.211;200;0.821;0.820
1558717435.206;200;0.991;0.992
1558717436.017;200;0.809;0.812
1558717436.868;200;0.847;0.848
1558717437.628;200;0.757;0.756
1558717438.626;200;0.994;0.996
1558717439.442;200;0.814;0.816
1558717440.215;200;0.769;0.768
1558717441.026;200;0.808;0.808
1558717441.889;200;0.861;0.860
1558717442.668;200;0.776;0.776
1558717443.467;200;0.796;0.796
1558717444.258;200;0.788;0.788
1558717445.142;200;0.882;0.884
1558717445.929;200;0.783;0.784
1558717446.639;200;0.707;0.708
1558717447.474;200;0.832;0.832
1558717448.317;200;0.840;0.836
1558717449.109;200;0.787;0.788
1558717449.963;200;0.850;0.852
1558717450.741;200;0.775;0.772
1558717451.645;200;0.899;0.900
1558717452.406;200;0.758;0.760
1558717453.217;200;0.806;0.808
1558717454.024;200;0.804;0.804
1558717454.835;200;0.807;0.808
1558717455.542;200;0.705;0.704
1558717456.343;200;0.798;0.800
1558717457.085;200;0.739;0.736
1558717458.020;200;0.932;0.932
1558717458.788;200;0.763;0.764
1558717459.509;200;0.718;0.720
1558717460.263;200;0.752;0.752
1558717461.083;200;0.817;0.816
1558717462.009;200;0.923;0.920
1558717462.738;200;0.725;0.724
1558717463.488;200;0.746;0.744
1558717464.315;200;0.823;0.824
1558717465.127;200;0.808;0.808
1558717465.931;200;0.801;0.800
1558717466.694;200;0.760;0.760
1558717467.527;200;0.827;0.828
1558717468.372;200;0.841;0.840
1558717469.111;200;0.736;0.736
1558717469.867;200;0.753;0.752
1558717470.718;200;0.845;0.844
1558717471.506;200;0.778;0.780
1558717472.359;200;0.851;0.852
1558717473.182;200;0.816;0.816
1558717474.096;200;0.912;0.912
1558717475.003;200;0.900;0.900
1558717475.844;200;0.838;0.836
1558717476.602;200;0.755;0.756
1558717477.528;200;0.924;0.924
1558717478.278;200;0.742;0.744
1558717479.206;200;0.925;0.924
1558717480.030;200;0.822;0.824
1558717480.931;200;0.899;0.900
1558717481.753;200;0.820;0.820
1558717482.444;200;0.689;0.688
1558717483.188;200;0.740;0.740
1558717484.048;200;0.858;0.856
1558717484.790;200;0.739;0.740
1558717485.683;200;0.892;0.892
1558717486.534;200;0.849;0.852
1558717487.355;200;0.819;0.820
1558717488.187;200;0.830;0.828
1558717489.012;200;0.823;0.820
1558717489.744;200;0.729;0.728
1558717490.610;200;0.863;0.864
1558717491.366;200;0.752;0.752
1558717492.155;200;0.784;0.784
1558717492.968;200;0.808;0.808
1558717493.879;200;0.906;0.904
1558717494.764;200;0.853;0.852
1558717495.488;200;0.721;0.720
1558717496.319;200;0.828;0.828
1558717497.166;200;0.844;0.844
1558717497.931;200;0.763;0.764
1558717498.740;200;0.805;0.804
1558717499.507;200;0.764;0.764
1558717500.446;200;0.933;0.932
1558717501.271;200;0.823;0.824
1558717502.028;200;0.753;0.752
1558717502.749;200;0.715;0.716
1558717503.604;200;0.852;0.852
1558717504.421;200;0.814;0.816
1558717505.282;200;0.856;0.856
1558717506.118;200;0.828;0.828
1558717506.984;200;0.862;0.860
1558717507.874;200;0.886;0.888
1558717508.683;200;0.807;0.808
1558717509.489;200;0.802;0.800
1558717510.309;200;0.816;0.812
1558717511.046;200;0.735;0.736
1558717511.882;200;0.833;0.832
1558717512.665;200;0.778;0.780
1558717513.587;200;0.916;0.916
1558717514.410;200;0.819;0.820
1558717515.137;200;0.723;0.720
1558717515.908;200;0.769;0.768
1558717516.766;200;0.852;0.852
1558717517.491;200;0.723;0.724
1558717518.356;200;0.860;0.860
1558717519.136;200;0.769;0.768
1558717520.003;200;0.863;0.864
1558717520.837;200;0.831;0.832
1558717521.619;200;0.779;0.780
1558717522.385;200;0.761;0.760
1558717523.196;200;0.806;0.804
1558717524.032;200;0.833;0.832
1558717524.847;200;0.811;0.812
1558717525.659;200;0.808;0.808
1558717526.593;200;0.931;0.932
1558717527.390;200;0.794;0.796
1558717528.123;200;0.731;0.732
1558717528.904;200;0.778;0.776
1558717529.782;200;0.875;0.876
1558717530.477;200;0.693;0.696
1558717531.256;200;0.776;0.776
1558717532.008;200;0.748;0.748
1558717532.963;200;0.948;0.948
1558717533.711;200;0.744;0.744
1558717534.415;200;0.700;0.700
1558717535.261;200;0.843;0.844
1558717536.052;200;0.788;0.788
1558717536.792;200;0.737;0.736
1558717537.557;200;0.762;0.764
1558717538.439;200;0.879;0.880
1558717539.389;200;0.947;0.944
1558717540.203;200;0.808;0.808
1558717540.938;200;0.731;0.732
1558717541.679;200;0.739;0.740
1558717542.509;200;0.827;0.828
