timestamp;status;request_time;upstream_response_time
1558647351.827;200;0.756;0.760
1558647352.570;200;0.706;0.708
1558647353.470;200;0.897;0.896
1558647354.301;200;0.829;0.832
1558647355.142;200;0.835;0.836
1558647355.921;200;0.776;0.776
1558647356.702;200;0.759;0.760
1558647357.641;200;0.935;0.932
1558647358.452;200;0.808;0.812
1558647359.234;200;0.779;0.780
1558647360.096;200;0.858;0.856
1558647360.972;200;0.874;0.872
1558647361.781;200;0.806;0.804
1558647362.603;200;0.819;0.824
1558647363.363;200;0.757;0.760
1558647364.265;200;0.899;0.896
1558647364.999;200;0.732;0.736
1558647365.770;200;0.767;0.768
1558647366.615;200;0.842;0.844
1558647367.414;200;0.796;0.796
1558647368.232;200;0.814;0.812
1558647369.010;200;0.775;0.776
1558647369.842;200;0.829;0.832
1558647370.766;200;0.921;0.920
1558647371.524;200;0.754;0.752
1558647372.278;200;0.746;0.748
1558647373.095;200;0.813;0.812
1558647374.004;200;0.901;0.904
1558647374.882;200;0.875;0.876
1558647375.679;200;0.794;0.796
1558647376.467;200;0.781;0.780
1558647377.363;200;0.893;0.896
1558647378.129;200;0.762;0.764
1558647378.912;200;0.779;0.784
1558647379.734;200;0.819;0.820
1558647380.523;200;0.782;0.780
1558647381.334;200;0.804;0.804
1558647382.112;200;0.774;0.776
1558647382.906;200;0.791;0.792
1558647383.794;200;0.882;0.884
1558647384.549;200;0.753;0.756
1558647385.249;200;0.697;0.700
1558647386.111;200;0.859;0.864
1558647386.902;200;0.787;0.788
1558647387.791;200;0.885;0.888
1558647388.561;200;0.768;0.768
1558647389.368;200;0.804;0.808
1558647390.234;200;0.863;0.864
1558647390.973;200;0.736;0.740
1558647391.731;200;0.754;0.756
1558647392.481;200;0.746;0.748
1558647393.273;200;0.789;0.792
1558647394.041;200;0.766;0.768
1558647394.774;200;0.731;0.732
1558647395.553;200;0.775;0.776
1558647396.426;200;0.871;0.872
1558647397.185;200;0.756;0.756
1558647397.988;200;0.800;0.804
1558647398.753;200;0.762;0.764
1558647399.552;200;0.798;0.796
1558647400.305;200;0.749;0.752
1558647401.045;200;0.737;0.740
1558647401.887;200;0.837;0.840
1558647402.705;200;0.815;0.816
