timestamp;status;request_time;upstream_response_time
1558645022.562;200;0.733;0.736
1558645023.418;200;0.811;0.816
1558645024.221;200;0.798;0.800
1558645025.072;200;0.846;0.848
1558645025.824;200;0.749;0.752
1558645026.603;200;0.775;0.780
1558645027.346;200;0.721;0.728
1558645028.269;200;0.919;0.920
1558645028.991;200;0.717;0.720
1558645029.765;200;0.771;0.772
1558645030.673;200;0.905;0.908
1558645031.496;200;0.818;0.816
1558645032.275;200;0.775;0.780
1558645033.140;200;0.862;0.864
1558645033.948;200;0.802;0.800
1558645034.875;200;0.924;0.928
1558645035.616;200;0.738;0.740
1558645036.432;200;0.811;0.816
1558645037.214;200;0.779;0.780
1558645038.009;200;0.788;0.792
1558645038.844;200;0.832;0.836
1558645039.558;200;0.711;0.712
1558645040.341;200;0.779;0.780
1558645041.175;200;0.828;0.832
1558645041.930;200;0.751;0.756
1558645042.741;200;0.805;0.808
1558645043.504;200;0.760;0.760
1558645044.309;200;0.802;0.804
1558645045.170;200;0.855;0.860
1558645045.909;200;0.736;0.736
1558645046.658;200;0.746;0.752
1558645047.454;200;0.792;0.796
1558645048.197;200;0.740;0.740
1558645049.040;200;0.835;0.836
1558645049.785;200;0.740;0.744
1558645050.683;200;0.895;0.900
1558645051.499;200;0.813;0.812
1558645052.249;200;0.746;0.744
1558645053.157;200;0.902;0.904
1558645054.009;200;0.848;0.852
1558645054.783;200;0.769;0.772
1558645055.623;200;0.837;0.840
1558645056.394;200;0.767;0.768
1558645057.239;200;0.842;0.840
1558645058.088;200;0.846;0.848
1558645058.921;200;0.831;0.832
1558645059.774;200;0.851;0.852
1558645060.574;200;0.796;0.800
1558645061.364;200;0.788;0.784
1558645062.188;200;0.822;0.824
1558645062.996;200;0.805;0.808
1558645063.873;200;0.872;0.872
1558645064.768;200;0.891;0.896
1558645065.514;200;0.743;0.744
1558645066.377;200;0.860;0.860
1558645067.142;200;0.762;0.764
1558645067.882;200;0.736;0.740
1558645068.723;200;0.836;0.840
1558645069.434;200;0.708;0.712
1558645070.325;200;0.886;0.888
1558645071.163;200;0.833;0.836
1558645071.960;200;0.794;0.792
1558645072.868;200;0.899;0.904
1558645073.657;200;0.782;0.784
