[WARN]  Running against a source checkout. In order to get our runtime dependencies we'll have to invoke Maven. Depending on the state of your system, this may take ~30-45 seconds
[DEBUG]  Running 'mvn -pl com.yahoo.ycsb:rest-binding -am package -DskipTests dependency:build-classpath -DincludeScope=compile -Dmdep.outputFilterFile=true'
WARNING: An illegal reflective access operation has occurred
WARNING: Illegal reflective access by com.google.inject.internal.cglib.core.$ReflectUtils$1 (file:/usr/share/maven/lib/guice.jar) to method java.lang.ClassLoader.defineClass(java.lang.String,byte[],int,int,java.security.ProtectionDomain)
WARNING: Please consider reporting this to the maintainers of com.google.inject.internal.cglib.core.$ReflectUtils$1
WARNING: Use --illegal-access=warn to enable warnings of further illegal reflective access operations
WARNING: All illegal access operations will be denied in a future release
java -cp /home/ubuntu/YCSB/rest/conf:/home/ubuntu/YCSB/rest/target/rest-binding-0.16.0-SNAPSHOT.jar:/home/ubuntu/.m2/repository/org/hdrhistogram/HdrHistogram/2.1.4/HdrHistogram-2.1.4.jar:/home/ubuntu/.m2/repository/org/glassfish/hk2/external/javax.inject/2.2.0/javax.inject-2.2.0.jar:/home/ubuntu/.m2/repository/com/github/stefanbirkner/system-rules/1.16.0/system-rules-1.16.0.jar:/home/ubuntu/.m2/repository/org/codehaus/jackson/jackson-core-asl/1.9.4/jackson-core-asl-1.9.4.jar:/home/ubuntu/.m2/repository/org/glassfish/jersey/core/jersey-server/2.6/jersey-server-2.6.jar:/home/ubuntu/YCSB/core/target/core-0.16.0-SNAPSHOT.jar:/home/ubuntu/.m2/repository/org/glassfish/hk2/hk2-api/2.2.0/hk2-api-2.2.0.jar:/home/ubuntu/.m2/repository/javax/ws/rs/javax.ws.rs-api/2.0/javax.ws.rs-api-2.0.jar:/home/ubuntu/.m2/repository/org/glassfish/hk2/hk2-locator/2.2.0/hk2-locator-2.2.0.jar:/home/ubuntu/.m2/repository/org/eclipse/jdt/core/compiler/ecj/4.4.2/ecj-4.4.2.jar:/home/ubuntu/.m2/repository/org/codehaus/jackson/jackson-mapper-asl/1.9.4/jackson-mapper-asl-1.9.4.jar:/home/ubuntu/.m2/repository/org/glassfish/jersey/bundles/repackaged/jersey-guava/2.6/jersey-guava-2.6.jar:/home/ubuntu/.m2/repository/org/glassfish/hk2/external/aopalliance-repackaged/2.2.0/aopalliance-repackaged-2.2.0.jar:/home/ubuntu/.m2/repository/org/javassist/javassist/3.18.1-GA/javassist-3.18.1-GA.jar:/home/ubuntu/.m2/repository/javax/annotation/javax.annotation-api/1.2/javax.annotation-api-1.2.jar:/home/ubuntu/.m2/repository/org/apache/htrace/htrace-core4/4.1.0-incubating/htrace-core4-4.1.0-incubating.jar:/home/ubuntu/.m2/repository/org/apache/tomcat/embed/tomcat-embed-logging-log4j/8.0.28/tomcat-embed-logging-log4j-8.0.28.jar:/home/ubuntu/.m2/repository/org/apache/tomcat/embed/tomcat-embed-el/8.0.28/tomcat-embed-el-8.0.28.jar:/home/ubuntu/.m2/repository/org/apache/tomcat/embed/tomcat-embed-logging-juli/8.0.28/tomcat-embed-logging-juli-8.0.28.jar:/home/ubuntu/.m2/repository/org/apache/tomcat/embed/tomcat-embed-core/8.0.28/tomcat-embed-core-8.0.28.jar:/home/ubuntu/.m2/repository/org/glassfish/hk2/osgi-resource-locator/1.0.1/osgi-resource-locator-1.0.1.jar:/home/ubuntu/.m2/repository/commons-codec/commons-codec/1.9/commons-codec-1.9.jar:/home/ubuntu/.m2/repository/org/glassfish/jersey/core/jersey-client/2.6/jersey-client-2.6.jar:/home/ubuntu/.m2/repository/org/apache/tomcat/embed/tomcat-embed-websocket/8.0.28/tomcat-embed-websocket-8.0.28.jar:/home/ubuntu/.m2/repository/commons-logging/commons-logging/1.2/commons-logging-1.2.jar:/home/ubuntu/.m2/repository/org/glassfish/hk2/hk2-utils/2.2.0/hk2-utils-2.2.0.jar:/home/ubuntu/.m2/repository/javax/validation/validation-api/1.1.0.Final/validation-api-1.1.0.Final.jar:/home/ubuntu/.m2/repository/org/apache/httpcomponents/httpclient/4.5.1/httpclient-4.5.1.jar:/home/ubuntu/.m2/repository/org/apache/tomcat/tomcat-dbcp/8.0.28/tomcat-dbcp-8.0.28.jar:/home/ubuntu/.m2/repository/org/glassfish/jersey/containers/jersey-container-servlet-core/2.6/jersey-container-servlet-core-2.6.jar:/home/ubuntu/.m2/repository/org/apache/tomcat/embed/tomcat-embed-jasper/8.0.28/tomcat-embed-jasper-8.0.28.jar:/home/ubuntu/.m2/repository/org/glassfish/jersey/core/jersey-common/2.6/jersey-common-2.6.jar:/home/ubuntu/.m2/repository/org/apache/httpcomponents/httpcore/4.4.4/httpcore-4.4.4.jar com.yahoo.ycsb.Client -db com.yahoo.ycsb.webservice.rest.RestClient -s -P workloads/rest_workload -t
Command line: -db com.yahoo.ycsb.webservice.rest.RestClient -s -P workloads/rest_workload -t
YCSB Client 0.16.0-SNAPSHOT

Loading workload...
Starting test.
2019-05-20 17:36:24:950 0 sec: 0 operations; est completion in 0 second 
DBWrapper: report latency for each error is false and specific error codes to track for latency are: []
2019-05-20 17:36:34:903 10 sec: 12 operations; 1.2 current ops/sec; est completion in 13 minutes [READ: Count=12, Max=871935, Min=714752, Avg=774954.67, 90=819199, 99=871935, 99.9=871935, 99.99=871935] 
2019-05-20 17:36:44:901 20 sec: 25 operations; 1.3 current ops/sec; est completion in 13 minutes [READ: Count=13, Max=868863, Min=724992, Avg=782001.23, 90=844287, 99=868863, 99.9=868863, 99.99=868863] 
2019-05-20 17:36:54:901 30 sec: 38 operations; 1.3 current ops/sec; est completion in 12 minutes [READ: Count=13, Max=814079, Min=739328, Avg=761245.54, 90=813567, 99=814079, 99.9=814079, 99.99=814079] 
2019-05-20 17:37:04:902 40 sec: 51 operations; 1.3 current ops/sec; est completion in 12 minutes [READ: Count=13, Max=829439, Min=717824, Avg=771446.15, 90=822271, 99=829439, 99.9=829439, 99.99=829439] 
2019-05-20 17:37:14:901 50 sec: 64 operations; 1.3 current ops/sec; est completion in 12 minutes [READ: Count=13, Max=827391, Min=720896, Avg=763175.38, 90=819199, 99=827391, 99.9=827391, 99.99=827391] 
2019-05-20 17:37:24:901 60 sec: 77 operations; 1.3 current ops/sec; est completion in 12 minutes [READ: Count=13, Max=827903, Min=652800, Avg=755101.54, 90=808959, 99=827903, 99.9=827903, 99.99=827903] 
2019-05-20 17:37:34:902 70 sec: 90 operations; 1.3 current ops/sec; est completion in 11 minutes [READ: Count=13, Max=880127, Min=697344, Avg=759906.46, 90=830975, 99=880127, 99.9=880127, 99.99=880127] 
2019-05-20 17:37:44:900 80 sec: 103 operations; 1.3 current ops/sec; est completion in 11 minutes [READ: Count=13, Max=863231, Min=720896, Avg=767665.23, 90=821247, 99=863231, 99.9=863231, 99.99=863231] 
2019-05-20 17:37:54:901 90 sec: 116 operations; 1.3 current ops/sec; est completion in 11 minutes [READ: Count=13, Max=854527, Min=731136, Avg=772194.46, 90=835583, 99=854527, 99.9=854527, 99.99=854527] 
2019-05-20 17:38:04:901 100 sec: 129 operations; 1.3 current ops/sec; est completion in 11 minutes [READ: Count=13, Max=838143, Min=727552, Avg=766168.62, 90=832511, 99=838143, 99.9=838143, 99.99=838143] 
2019-05-20 17:38:14:901 110 sec: 142 operations; 1.3 current ops/sec; est completion in 11 minutes [READ: Count=13, Max=825343, Min=723456, Avg=762584.62, 90=812543, 99=825343, 99.9=825343, 99.99=825343] 
2019-05-20 17:38:24:900 120 sec: 155 operations; 1.3 current ops/sec; est completion in 10 minutes [READ: Count=13, Max=823295, Min=711168, Avg=763175.38, 90=813055, 99=823295, 99.9=823295, 99.99=823295] 
2019-05-20 17:38:34:902 130 sec: 168 operations; 1.3 current ops/sec; est completion in 10 minutes [READ: Count=13, Max=861183, Min=721920, Avg=780740.92, 90=829951, 99=861183, 99.9=861183, 99.99=861183] 
2019-05-20 17:38:44:902 140 sec: 181 operations; 1.3 current ops/sec; est completion in 10 minutes [READ: Count=13, Max=847359, Min=732160, Avg=776920.62, 90=842751, 99=847359, 99.9=847359, 99.99=847359] 
2019-05-20 17:38:54:900 150 sec: 194 operations; 1.3 current ops/sec; est completion in 10 minutes [READ: Count=13, Max=841215, Min=708608, Avg=758764.31, 90=817663, 99=841215, 99.9=841215, 99.99=841215] 
2019-05-20 17:39:04:900 160 sec: 207 operations; 1.3 current ops/sec; est completion in 10 minutes [READ: Count=13, Max=845311, Min=730624, Avg=768059.08, 90=844287, 99=845311, 99.9=845311, 99.99=845311] 
2019-05-20 17:39:14:901 170 sec: 220 operations; 1.3 current ops/sec; est completion in 10 minutes [READ: Count=13, Max=832511, Min=718336, Avg=770894.77, 90=815103, 99=832511, 99.9=832511, 99.99=832511] 
2019-05-20 17:39:24:901 180 sec: 233 operations; 1.3 current ops/sec; est completion in 9 minutes [READ: Count=13, Max=851967, Min=714752, Avg=764041.85, 90=834047, 99=851967, 99.9=851967, 99.99=851967] 
2019-05-20 17:39:34:901 190 sec: 246 operations; 1.3 current ops/sec; est completion in 9 minutes [READ: Count=13, Max=850431, Min=734208, Avg=778338.46, 90=831487, 99=850431, 99.9=850431, 99.99=850431] 
2019-05-20 17:39:44:901 200 sec: 259 operations; 1.3 current ops/sec; est completion in 9 minutes [READ: Count=13, Max=820223, Min=718848, Avg=762308.92, 90=811519, 99=820223, 99.9=820223, 99.99=820223] 
2019-05-20 17:39:54:901 210 sec: 272 operations; 1.3 current ops/sec; est completion in 9 minutes [READ: Count=13, Max=863743, Min=707584, Avg=769358.77, 90=831999, 99=863743, 99.9=863743, 99.99=863743] 
2019-05-20 17:40:04:901 220 sec: 285 operations; 1.3 current ops/sec; est completion in 9 minutes [READ: Count=13, Max=876543, Min=717312, Avg=778180.92, 90=861695, 99=876543, 99.9=876543, 99.99=876543] 
2019-05-20 17:40:14:901 230 sec: 298 operations; 1.3 current ops/sec; est completion in 9 minutes [READ: Count=13, Max=861183, Min=694272, Avg=768334.77, 90=841727, 99=861183, 99.9=861183, 99.99=861183] 
2019-05-20 17:40:24:901 240 sec: 311 operations; 1.3 current ops/sec; est completion in 8 minutes [READ: Count=13, Max=846847, Min=722944, Avg=770737.23, 90=819199, 99=846847, 99.9=846847, 99.99=846847] 
2019-05-20 17:40:34:900 250 sec: 324 operations; 1.3 current ops/sec; est completion in 8 minutes [READ: Count=13, Max=889855, Min=721920, Avg=773179.08, 90=844287, 99=889855, 99.9=889855, 99.99=889855] 
