[WARN]  Running against a source checkout. In order to get our runtime dependencies we'll have to invoke Maven. Depending on the state of your system, this may take ~30-45 seconds
[DEBUG]  Running 'mvn -pl com.yahoo.ycsb:rest-binding -am package -DskipTests dependency:build-classpath -DincludeScope=compile -Dmdep.outputFilterFile=true'
WARNING: An illegal reflective access operation has occurred
WARNING: Illegal reflective access by com.google.inject.internal.cglib.core.$ReflectUtils$1 (file:/usr/share/maven/lib/guice.jar) to method java.lang.ClassLoader.defineClass(java.lang.String,byte[],int,int,java.security.ProtectionDomain)
WARNING: Please consider reporting this to the maintainers of com.google.inject.internal.cglib.core.$ReflectUtils$1
WARNING: Use --illegal-access=warn to enable warnings of further illegal reflective access operations
WARNING: All illegal access operations will be denied in a future release
java -cp /home/ubuntu/YCSB/rest/conf:/home/ubuntu/YCSB/rest/target/rest-binding-0.16.0-SNAPSHOT.jar:/home/ubuntu/.m2/repository/org/hdrhistogram/HdrHistogram/2.1.4/HdrHistogram-2.1.4.jar:/home/ubuntu/.m2/repository/org/glassfish/hk2/external/javax.inject/2.2.0/javax.inject-2.2.0.jar:/home/ubuntu/.m2/repository/com/github/stefanbirkner/system-rules/1.16.0/system-rules-1.16.0.jar:/home/ubuntu/.m2/repository/org/codehaus/jackson/jackson-core-asl/1.9.4/jackson-core-asl-1.9.4.jar:/home/ubuntu/.m2/repository/org/glassfish/jersey/core/jersey-server/2.6/jersey-server-2.6.jar:/home/ubuntu/YCSB/core/target/core-0.16.0-SNAPSHOT.jar:/home/ubuntu/.m2/repository/org/glassfish/hk2/hk2-api/2.2.0/hk2-api-2.2.0.jar:/home/ubuntu/.m2/repository/javax/ws/rs/javax.ws.rs-api/2.0/javax.ws.rs-api-2.0.jar:/home/ubuntu/.m2/repository/org/glassfish/hk2/hk2-locator/2.2.0/hk2-locator-2.2.0.jar:/home/ubuntu/.m2/repository/org/eclipse/jdt/core/compiler/ecj/4.4.2/ecj-4.4.2.jar:/home/ubuntu/.m2/repository/org/codehaus/jackson/jackson-mapper-asl/1.9.4/jackson-mapper-asl-1.9.4.jar:/home/ubuntu/.m2/repository/org/glassfish/jersey/bundles/repackaged/jersey-guava/2.6/jersey-guava-2.6.jar:/home/ubuntu/.m2/repository/org/glassfish/hk2/external/aopalliance-repackaged/2.2.0/aopalliance-repackaged-2.2.0.jar:/home/ubuntu/.m2/repository/org/javassist/javassist/3.18.1-GA/javassist-3.18.1-GA.jar:/home/ubuntu/.m2/repository/javax/annotation/javax.annotation-api/1.2/javax.annotation-api-1.2.jar:/home/ubuntu/.m2/repository/org/apache/htrace/htrace-core4/4.1.0-incubating/htrace-core4-4.1.0-incubating.jar:/home/ubuntu/.m2/repository/org/apache/tomcat/embed/tomcat-embed-logging-log4j/8.0.28/tomcat-embed-logging-log4j-8.0.28.jar:/home/ubuntu/.m2/repository/org/apache/tomcat/embed/tomcat-embed-el/8.0.28/tomcat-embed-el-8.0.28.jar:/home/ubuntu/.m2/repository/org/apache/tomcat/embed/tomcat-embed-logging-juli/8.0.28/tomcat-embed-logging-juli-8.0.28.jar:/home/ubuntu/.m2/repository/org/apache/tomcat/embed/tomcat-embed-core/8.0.28/tomcat-embed-core-8.0.28.jar:/home/ubuntu/.m2/repository/org/glassfish/hk2/osgi-resource-locator/1.0.1/osgi-resource-locator-1.0.1.jar:/home/ubuntu/.m2/repository/commons-codec/commons-codec/1.9/commons-codec-1.9.jar:/home/ubuntu/.m2/repository/org/glassfish/jersey/core/jersey-client/2.6/jersey-client-2.6.jar:/home/ubuntu/.m2/repository/org/apache/tomcat/embed/tomcat-embed-websocket/8.0.28/tomcat-embed-websocket-8.0.28.jar:/home/ubuntu/.m2/repository/commons-logging/commons-logging/1.2/commons-logging-1.2.jar:/home/ubuntu/.m2/repository/org/glassfish/hk2/hk2-utils/2.2.0/hk2-utils-2.2.0.jar:/home/ubuntu/.m2/repository/javax/validation/validation-api/1.1.0.Final/validation-api-1.1.0.Final.jar:/home/ubuntu/.m2/repository/org/apache/httpcomponents/httpclient/4.5.1/httpclient-4.5.1.jar:/home/ubuntu/.m2/repository/org/apache/tomcat/tomcat-dbcp/8.0.28/tomcat-dbcp-8.0.28.jar:/home/ubuntu/.m2/repository/org/glassfish/jersey/containers/jersey-container-servlet-core/2.6/jersey-container-servlet-core-2.6.jar:/home/ubuntu/.m2/repository/org/apache/tomcat/embed/tomcat-embed-jasper/8.0.28/tomcat-embed-jasper-8.0.28.jar:/home/ubuntu/.m2/repository/org/glassfish/jersey/core/jersey-common/2.6/jersey-common-2.6.jar:/home/ubuntu/.m2/repository/org/apache/httpcomponents/httpcore/4.4.4/httpcore-4.4.4.jar com.yahoo.ycsb.Client -db com.yahoo.ycsb.webservice.rest.RestClient -s -P workloads/rest_workload -t
Command line: -db com.yahoo.ycsb.webservice.rest.RestClient -s -P workloads/rest_workload -t
YCSB Client 0.16.0-SNAPSHOT

Loading workload...
Starting test.
2019-05-20 19:58:07:178 0 sec: 0 operations; est completion in 0 second 
DBWrapper: report latency for each error is false and specific error codes to track for latency are: []
2019-05-20 19:58:17:125 10 sec: 12 operations; 1.2 current ops/sec; est completion in 27 minutes [READ: Count=12, Max=913407, Min=728064, Avg=793898.67, 90=905727, 99=913407, 99.9=913407, 99.99=913407] 
2019-05-20 19:58:27:118 20 sec: 25 operations; 1.3 current ops/sec; est completion in 26 minutes [READ: Count=13, Max=855551, Min=732160, Avg=767704.62, 90=822271, 99=855551, 99.9=855551, 99.99=855551] 
2019-05-20 19:58:37:115 30 sec: 38 operations; 1.3 current ops/sec; est completion in 25 minutes [READ: Count=13, Max=854015, Min=677888, Avg=761875.69, 90=848383, 99=854015, 99.9=854015, 99.99=854015] 
2019-05-20 19:58:47:114 40 sec: 51 operations; 1.3 current ops/sec; est completion in 25 minutes [READ: Count=13, Max=837631, Min=700416, Avg=765932.31, 90=833023, 99=837631, 99.9=837631, 99.99=837631] 
2019-05-20 19:58:57:115 50 sec: 64 operations; 1.3 current ops/sec; est completion in 25 minutes [READ: Count=13, Max=884735, Min=710144, Avg=774360.62, 90=855039, 99=884735, 99.9=884735, 99.99=884735] 
2019-05-20 19:59:07:117 60 sec: 77 operations; 1.3 current ops/sec; est completion in 24 minutes [READ: Count=13, Max=835071, Min=702464, Avg=757228.31, 90=830975, 99=835071, 99.9=835071, 99.99=835071] 
2019-05-20 19:59:17:114 70 sec: 90 operations; 1.3 current ops/sec; est completion in 24 minutes [READ: Count=13, Max=852991, Min=721920, Avg=769358.77, 90=852991, 99=852991, 99.9=852991, 99.99=852991] 
2019-05-20 19:59:27:117 80 sec: 103 operations; 1.3 current ops/sec; est completion in 24 minutes [READ: Count=13, Max=840703, Min=715776, Avg=765577.85, 90=828927, 99=840703, 99.9=840703, 99.99=840703] 
2019-05-20 19:59:37:115 90 sec: 116 operations; 1.3 current ops/sec; est completion in 24 minutes [READ: Count=13, Max=858623, Min=720384, Avg=777353.85, 90=850943, 99=858623, 99.9=858623, 99.99=858623] 
2019-05-20 19:59:47:115 100 sec: 129 operations; 1.3 current ops/sec; est completion in 24 minutes [READ: Count=13, Max=862719, Min=721408, Avg=765735.38, 90=848895, 99=862719, 99.9=862719, 99.99=862719] 
2019-05-20 19:59:57:116 110 sec: 142 operations; 1.3 current ops/sec; est completion in 24 minutes [READ: Count=13, Max=850943, Min=722432, Avg=768452.92, 90=845311, 99=850943, 99.9=850943, 99.99=850943] 
2019-05-20 20:00:07:115 120 sec: 155 operations; 1.3 current ops/sec; est completion in 23 minutes [READ: Count=13, Max=826879, Min=715264, Avg=755101.54, 90=821247, 99=826879, 99.9=826879, 99.99=826879] 
2019-05-20 20:00:17:115 130 sec: 168 operations; 1.3 current ops/sec; est completion in 23 minutes [READ: Count=13, Max=852991, Min=733184, Avg=776684.31, 90=849407, 99=852991, 99.9=852991, 99.99=852991] 
2019-05-20 20:00:27:116 140 sec: 181 operations; 1.3 current ops/sec; est completion in 23 minutes [READ: Count=13, Max=851455, Min=719872, Avg=765144.62, 90=845311, 99=851455, 99.9=851455, 99.99=851455] 
2019-05-20 20:00:37:115 150 sec: 194 operations; 1.3 current ops/sec; est completion in 23 minutes [READ: Count=13, Max=833023, Min=708096, Avg=760260.92, 90=814079, 99=833023, 99.9=833023, 99.99=833023] 
2019-05-20 20:00:47:115 160 sec: 207 operations; 1.3 current ops/sec; est completion in 23 minutes [READ: Count=13, Max=827391, Min=715776, Avg=768768, 90=824319, 99=827391, 99.9=827391, 99.99=827391] 
2019-05-20 20:00:57:116 170 sec: 220 operations; 1.3 current ops/sec; est completion in 22 minutes [READ: Count=13, Max=835071, Min=735232, Avg=780622.77, 90=829439, 99=835071, 99.9=835071, 99.99=835071] 
2019-05-20 20:01:07:116 180 sec: 233 operations; 1.3 current ops/sec; est completion in 22 minutes [READ: Count=13, Max=840191, Min=720896, Avg=757858.46, 90=818175, 99=840191, 99.9=840191, 99.99=840191] 
2019-05-20 20:01:17:115 190 sec: 246 operations; 1.3 current ops/sec; est completion in 22 minutes [READ: Count=13, Max=860671, Min=708096, Avg=763726.77, 90=833535, 99=860671, 99.9=860671, 99.99=860671] 
2019-05-20 20:01:27:115 200 sec: 259 operations; 1.3 current ops/sec; est completion in 22 minutes [READ: Count=13, Max=879615, Min=690176, Avg=765341.54, 90=817663, 99=879615, 99.9=879615, 99.99=879615] 
2019-05-20 20:01:37:114 210 sec: 272 operations; 1.3 current ops/sec; est completion in 22 minutes [READ: Count=13, Max=845823, Min=714240, Avg=768137.85, 90=832511, 99=845823, 99.9=845823, 99.99=845823] 
2019-05-20 20:01:47:114 220 sec: 285 operations; 1.3 current ops/sec; est completion in 22 minutes [READ: Count=13, Max=834559, Min=686080, Avg=759670.15, 90=819199, 99=834559, 99.9=834559, 99.99=834559] 
2019-05-20 20:01:57:115 230 sec: 299 operations; 1.4 current ops/sec; est completion in 21 minutes [READ: Count=14, Max=868351, Min=714240, Avg=758272, 90=794623, 99=868351, 99.9=868351, 99.99=868351] 
2019-05-20 20:02:07:116 240 sec: 311 operations; 1.2 current ops/sec; est completion in 21 minutes [READ: Count=12, Max=870911, Min=711168, Avg=767488, 90=836095, 99=870911, 99.9=870911, 99.99=870911] 
2019-05-20 20:02:17:115 250 sec: 325 operations; 1.4 current ops/sec; est completion in 21 minutes [READ: Count=14, Max=872447, Min=706560, Avg=765110.86, 90=828927, 99=872447, 99.9=872447, 99.99=872447] 
