[WARN]  Running against a source checkout. In order to get our runtime dependencies we'll have to invoke Maven. Depending on the state of your system, this may take ~30-45 seconds
[DEBUG]  Running 'mvn -pl com.yahoo.ycsb:rest-binding -am package -DskipTests dependency:build-classpath -DincludeScope=compile -Dmdep.outputFilterFile=true'
WARNING: An illegal reflective access operation has occurred
WARNING: Illegal reflective access by com.google.inject.internal.cglib.core.$ReflectUtils$1 (file:/usr/share/maven/lib/guice.jar) to method java.lang.ClassLoader.defineClass(java.lang.String,byte[],int,int,java.security.ProtectionDomain)
WARNING: Please consider reporting this to the maintainers of com.google.inject.internal.cglib.core.$ReflectUtils$1
WARNING: Use --illegal-access=warn to enable warnings of further illegal reflective access operations
WARNING: All illegal access operations will be denied in a future release
java -cp /home/ubuntu/YCSB/rest/conf:/home/ubuntu/YCSB/rest/target/rest-binding-0.16.0-SNAPSHOT.jar:/home/ubuntu/.m2/repository/org/hdrhistogram/HdrHistogram/2.1.4/HdrHistogram-2.1.4.jar:/home/ubuntu/.m2/repository/org/glassfish/hk2/external/javax.inject/2.2.0/javax.inject-2.2.0.jar:/home/ubuntu/.m2/repository/com/github/stefanbirkner/system-rules/1.16.0/system-rules-1.16.0.jar:/home/ubuntu/.m2/repository/org/codehaus/jackson/jackson-core-asl/1.9.4/jackson-core-asl-1.9.4.jar:/home/ubuntu/.m2/repository/org/glassfish/jersey/core/jersey-server/2.6/jersey-server-2.6.jar:/home/ubuntu/YCSB/core/target/core-0.16.0-SNAPSHOT.jar:/home/ubuntu/.m2/repository/org/glassfish/hk2/hk2-api/2.2.0/hk2-api-2.2.0.jar:/home/ubuntu/.m2/repository/javax/ws/rs/javax.ws.rs-api/2.0/javax.ws.rs-api-2.0.jar:/home/ubuntu/.m2/repository/org/glassfish/hk2/hk2-locator/2.2.0/hk2-locator-2.2.0.jar:/home/ubuntu/.m2/repository/org/eclipse/jdt/core/compiler/ecj/4.4.2/ecj-4.4.2.jar:/home/ubuntu/.m2/repository/org/codehaus/jackson/jackson-mapper-asl/1.9.4/jackson-mapper-asl-1.9.4.jar:/home/ubuntu/.m2/repository/org/glassfish/jersey/bundles/repackaged/jersey-guava/2.6/jersey-guava-2.6.jar:/home/ubuntu/.m2/repository/org/glassfish/hk2/external/aopalliance-repackaged/2.2.0/aopalliance-repackaged-2.2.0.jar:/home/ubuntu/.m2/repository/org/javassist/javassist/3.18.1-GA/javassist-3.18.1-GA.jar:/home/ubuntu/.m2/repository/javax/annotation/javax.annotation-api/1.2/javax.annotation-api-1.2.jar:/home/ubuntu/.m2/repository/org/apache/htrace/htrace-core4/4.1.0-incubating/htrace-core4-4.1.0-incubating.jar:/home/ubuntu/.m2/repository/org/apache/tomcat/embed/tomcat-embed-logging-log4j/8.0.28/tomcat-embed-logging-log4j-8.0.28.jar:/home/ubuntu/.m2/repository/org/apache/tomcat/embed/tomcat-embed-el/8.0.28/tomcat-embed-el-8.0.28.jar:/home/ubuntu/.m2/repository/org/apache/tomcat/embed/tomcat-embed-logging-juli/8.0.28/tomcat-embed-logging-juli-8.0.28.jar:/home/ubuntu/.m2/repository/org/apache/tomcat/embed/tomcat-embed-core/8.0.28/tomcat-embed-core-8.0.28.jar:/home/ubuntu/.m2/repository/org/glassfish/hk2/osgi-resource-locator/1.0.1/osgi-resource-locator-1.0.1.jar:/home/ubuntu/.m2/repository/commons-codec/commons-codec/1.9/commons-codec-1.9.jar:/home/ubuntu/.m2/repository/org/glassfish/jersey/core/jersey-client/2.6/jersey-client-2.6.jar:/home/ubuntu/.m2/repository/org/apache/tomcat/embed/tomcat-embed-websocket/8.0.28/tomcat-embed-websocket-8.0.28.jar:/home/ubuntu/.m2/repository/commons-logging/commons-logging/1.2/commons-logging-1.2.jar:/home/ubuntu/.m2/repository/org/glassfish/hk2/hk2-utils/2.2.0/hk2-utils-2.2.0.jar:/home/ubuntu/.m2/repository/javax/validation/validation-api/1.1.0.Final/validation-api-1.1.0.Final.jar:/home/ubuntu/.m2/repository/org/apache/httpcomponents/httpclient/4.5.1/httpclient-4.5.1.jar:/home/ubuntu/.m2/repository/org/apache/tomcat/tomcat-dbcp/8.0.28/tomcat-dbcp-8.0.28.jar:/home/ubuntu/.m2/repository/org/glassfish/jersey/containers/jersey-container-servlet-core/2.6/jersey-container-servlet-core-2.6.jar:/home/ubuntu/.m2/repository/org/apache/tomcat/embed/tomcat-embed-jasper/8.0.28/tomcat-embed-jasper-8.0.28.jar:/home/ubuntu/.m2/repository/org/glassfish/jersey/core/jersey-common/2.6/jersey-common-2.6.jar:/home/ubuntu/.m2/repository/org/apache/httpcomponents/httpcore/4.4.4/httpcore-4.4.4.jar com.yahoo.ycsb.Client -db com.yahoo.ycsb.webservice.rest.RestClient -s -P workloads/rest_workload -t
Command line: -db com.yahoo.ycsb.webservice.rest.RestClient -s -P workloads/rest_workload -t
YCSB Client 0.16.0-SNAPSHOT

Loading workload...
Starting test.
2019-05-24 19:07:20:227 0 sec: 0 operations; est completion in 0 second 
DBWrapper: report latency for each error is false and specific error codes to track for latency are: []
2019-05-24 19:07:30:188 10 sec: 11 operations; 1.1 current ops/sec; est completion in 22 minutes [READ: Count=11, Max=912383, Min=755712, Avg=819735.27, 90=899071, 99=912383, 99.9=912383, 99.99=912383] 
2019-05-24 19:07:40:187 20 sec: 24 operations; 1.3 current ops/sec; est completion in 20 minutes [READ: Count=13, Max=915455, Min=734720, Avg=808979.69, 90=882687, 99=915455, 99.9=915455, 99.99=915455] 
2019-05-24 19:07:50:185 30 sec: 36 operations; 1.2 current ops/sec; est completion in 20 minutes [READ: Count=12, Max=885247, Min=734720, Avg=806144, 90=847359, 99=885247, 99.9=885247, 99.99=885247] 
2019-05-24 19:08:00:185 40 sec: 48 operations; 1.2 current ops/sec; est completion in 20 minutes [READ: Count=12, Max=946687, Min=739328, Avg=828458.67, 90=913919, 99=946687, 99.9=946687, 99.99=946687] 
2019-05-24 19:08:10:186 50 sec: 60 operations; 1.2 current ops/sec; est completion in 20 minutes [READ: Count=12, Max=906239, Min=707072, Avg=824874.67, 90=882687, 99=906239, 99.9=906239, 99.99=906239] 
2019-05-24 19:08:20:186 60 sec: 72 operations; 1.2 current ops/sec; est completion in 19 minutes [READ: Count=12, Max=936447, Min=745472, Avg=832170.67, 90=909823, 99=936447, 99.9=936447, 99.99=936447] 
2019-05-24 19:08:30:186 70 sec: 84 operations; 1.2 current ops/sec; est completion in 19 minutes [READ: Count=12, Max=1071103, Min=727040, Avg=827797.33, 90=880127, 99=1071103, 99.9=1071103, 99.99=1071103] 
2019-05-24 19:08:40:185 80 sec: 96 operations; 1.2 current ops/sec; est completion in 19 minutes [READ: Count=12, Max=933887, Min=728064, Avg=824618.67, 90=906239, 99=933887, 99.9=933887, 99.99=933887] 
2019-05-24 19:08:50:186 90 sec: 108 operations; 1.2 current ops/sec; est completion in 19 minutes [READ: Count=12, Max=901119, Min=720384, Avg=822826.67, 90=898047, 99=901119, 99.9=901119, 99.99=901119] 
2019-05-24 19:09:00:186 100 sec: 120 operations; 1.2 current ops/sec; est completion in 19 minutes [READ: Count=12, Max=1001983, Min=717824, Avg=840405.33, 90=973823, 99=1001983, 99.9=1001983, 99.99=1001983] 
2019-05-24 19:09:10:186 110 sec: 132 operations; 1.2 current ops/sec; est completion in 19 minutes [READ: Count=12, Max=976383, Min=733696, Avg=828800, 90=918015, 99=976383, 99.9=976383, 99.99=976383] 
2019-05-24 19:09:20:185 120 sec: 145 operations; 1.3 current ops/sec; est completion in 18 minutes [READ: Count=13, Max=904703, Min=739328, Avg=819140.92, 90=898047, 99=904703, 99.9=904703, 99.99=904703] 
2019-05-24 19:09:30:186 130 sec: 157 operations; 1.2 current ops/sec; est completion in 18 minutes [READ: Count=12, Max=923135, Min=733696, Avg=822784, 90=918527, 99=923135, 99.9=923135, 99.99=923135] 
2019-05-24 19:09:40:187 140 sec: 169 operations; 1.2 current ops/sec; est completion in 18 minutes [READ: Count=12, Max=899071, Min=706560, Avg=801664, 90=888319, 99=899071, 99.9=899071, 99.99=899071] 
2019-05-24 19:09:50:185 150 sec: 181 operations; 1.2 current ops/sec; est completion in 18 minutes [READ: Count=12, Max=932351, Min=700928, Avg=824490.67, 90=900095, 99=932351, 99.9=932351, 99.99=932351] 
2019-05-24 19:10:00:186 160 sec: 194 operations; 1.3 current ops/sec; est completion in 17 minutes [READ: Count=13, Max=896511, Min=731136, Avg=804726.15, 90=866303, 99=896511, 99.9=896511, 99.99=896511] 
2019-05-24 19:10:10:186 170 sec: 206 operations; 1.2 current ops/sec; est completion in 17 minutes [READ: Count=12, Max=949247, Min=698880, Avg=801109.33, 90=878079, 99=949247, 99.9=949247, 99.99=949247] 
2019-05-24 19:10:20:186 180 sec: 219 operations; 1.3 current ops/sec; est completion in 17 minutes [READ: Count=13, Max=948223, Min=728064, Avg=803387.08, 90=844287, 99=948223, 99.9=948223, 99.99=948223] 
2019-05-24 19:10:30:186 190 sec: 231 operations; 1.2 current ops/sec; est completion in 17 minutes [READ: Count=12, Max=979455, Min=724480, Avg=843349.33, 90=887295, 99=979455, 99.9=979455, 99.99=979455] 
2019-05-24 19:10:40:187 200 sec: 242 operations; 1.1 current ops/sec; est completion in 17 minutes [READ: Count=11, Max=945151, Min=764928, Avg=847383.27, 90=917503, 99=945151, 99.9=945151, 99.99=945151] 
2019-05-24 19:10:50:186 210 sec: 255 operations; 1.3 current ops/sec; est completion in 17 minutes [READ: Count=13, Max=908287, Min=708096, Avg=817368.62, 90=870399, 99=908287, 99.9=908287, 99.99=908287] 
2019-05-24 19:11:00:185 220 sec: 267 operations; 1.2 current ops/sec; est completion in 16 minutes [READ: Count=12, Max=901631, Min=759296, Avg=822741.33, 90=894975, 99=901631, 99.9=901631, 99.99=901631] 
2019-05-24 19:11:10:185 230 sec: 279 operations; 1.2 current ops/sec; est completion in 16 minutes [READ: Count=12, Max=932863, Min=732160, Avg=819242.67, 90=897535, 99=932863, 99.9=932863, 99.99=932863] 
2019-05-24 19:11:20:185 240 sec: 291 operations; 1.2 current ops/sec; est completion in 16 minutes [READ: Count=12, Max=989183, Min=719872, Avg=822528, 90=888831, 99=989183, 99.9=989183, 99.99=989183] 
2019-05-24 19:11:30:186 250 sec: 303 operations; 1.2 current ops/sec; est completion in 16 minutes [READ: Count=12, Max=935423, Min=748544, Avg=828885.33, 90=916991, 99=935423, 99.9=935423, 99.99=935423] 
